Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
35,SIGMAADV.NS,573.65,528000.0,Technology Services,Information Technology Services,98.0,88.0,98.0,97.0,33.4393,30.3357,490870.0,505770.0,638.1,100.0,101100000000.0,No,454.58,251.39,485.2,290.69
25,CUPID.NS,216.77,61474160.0,Consumer Non-Durables,Household/Personal Care,98.0,95.0,97.0,97.0,12.1493,11.8321,26312620.0,58184300.0,226.0,25.51,291480000000.0,No,156.79,97.27,165.42,115.9
33,STLTECH.NS,533.85,3591550.0,Technology Services,Information Technology Services,98.0,10.0,97.0,98.0,33.45,29.8893,4285010.0,2471910.0,679.9,84.6,274350000000.00003,No,533.47,242.32,552.14,302.35
66,HFCL.NS,212.78,12862540.0,Electronic Technology,Telecommunications Equipment,97.0,91.0,98.0,98.0,9.2707,8.4464,54566910.0,21692310.0,229.5,59.82,325610000000.0,No,182.99,101.4,190.43,115.64
63,BLISSGVS.NS,521.1,110830.0,Health Technology,Pharmaceuticals: Major,97.0,88.0,96.0,98.0,26.8357,26.6786,2126720.0,851400.0,553.0,118.0,55360000000.0,No,416.89,245.38,440.91,288.9
102,CEMPRO.NS,1596.6,694710.0,Industrial Services,Engineering & Construction,96.0,97.0,98.0,96.0,67.3214,64.6857,1561050.0,778220.0,1647.3,503.3,274279999999.99997,No,1150.49,822.74,1214.65,839.51
103,JAYBARMARU.NS,199.18,2203340.0,Distribution Services,Wholesale Distributors,96.0,96.0,97.0,95.0,9.3186,9.3186,1530350.0,983470.0,207.0,71.01,21560000000.0,No,139.05,104.45,148.45,111.03
96,THANGAMAYL.NS,6459.0,313960.0,Consumer Durables,Other Consumer Specialties,96.0,87.0,92.0,95.0,424.2143,417.2857,215860.0,338140.0,7165.0,1750.1,200760000000.0,No,5043.82,3714.89,5265.48,4190.58
98,OMNI.NS,550.75,383000.0,Producer Manufacturing,Metal Fabrication,96.0,86.0,92.0,,31.8571,31.6821,674020.0,642600.0,590.1,176.25,68110000000.0,No,476.93,,489.75,
135,IBULLSLTD.NS,30.9,12388870.0,Finance,Real Estate Development,95.0,94.0,98.0,95.0,1.4643,1.4421,11313110.0,10069660.0,32.5,8.9,69170000000.0,No,23.85,17.37,24.82,16.83
132,IOLCP.NS,173.78,9031340.0,Process Industries,Chemicals: Specialty,95.0,94.0,97.0,95.0,9.9657,9.8329,5469320.0,12073200.0,179.0,67.19,51010000000.0,No,131.12,96.1,137.12,98.51
106,SKMEGGPROD.NS,352.25,978280.0,Process Industries,Agricultural Commodities/Milling,95.0,97.0,96.0,95.0,22.485,22.4457,1133310.0,1280480.0,372.0,142.5,18570000000.0,No,240.76,197.31,255.37,201.8
120,RPTECH.NS,777.7,390400.0,Distribution Services,Electronics Distributors,95.0,96.0,96.0,95.0,35.025,34.7821,1277840.0,792150.0,812.85,275.6,51250000000.0,No,628.45,427.25,655.11,474.54
134,INDSWFTLAB.NS,229.86,778050.0,Health Technology,Pharmaceuticals: Major,95.0,96.0,93.0,97.0,11.4671,11.0929,1534300.0,1581140.0,248.0,87.15,19960000000.0,No,170.58,129.14,181.76,145.29
117,KIRLOSENG.NS,2362.3,401400.0,Producer Manufacturing,Electrical Products,95.0,92.0,93.0,94.0,111.4,107.7286,836120.0,931250.0,2720.0,855.8,343730000000.0,No,1998.85,1422.99,2070.38,1612.4
119,KSHINTL.NS,867.85,209020.0,Producer Manufacturing,Electrical Products,95.0,65.0,93.0,96.0,40.0571,38.8786,527680.0,355010.0,908.9,330.0,58800000000.0,No,781.97,,807.56,560.48
113,ACUTAAS.NS,3459.7,173260.0,Health Technology,Pharmaceuticals: Major,95.0,75.0,89.0,95.0,145.8428,144.8714,486880.0,393760.0,3740.0,1125.0,283250000000.0,No,3147.38,2220.35,3238.98,2494.98
123,ATHERENERG.NS,1201.8,3482440.0,Consumer Durables,Motor Vehicles,95.0,86.0,86.0,94.0,51.8571,51.8571,4694280.0,4664110.0,1253.6,329.2,460660000000.0,No,1012.07,784.62,1037.57,844.03
