Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
36,SIGMAADV.NS,703.95,700.95,145.25K,Technology Services,Information Technology Services,98.0,91.0,98.0,98.0,34.1179,27.5464,421.19K,322090.0,721.5,108.75,124.06B,No,597.99,551.1,293.57,585.99,348.66,497
22,SANGINITA.NS,57.92,59.1,45.45K,Process Industries,Chemicals: Specialty,98.0,86.0,98.0,98.0,1.3357,0.19,149.62K,287310.0,68.02,9.09,1.50B,No,60.17,47.94,23.29,51.11,29.66,497
25,CUPID.NS,262.71,262.13,25886.88K,Consumer Non-Durables,Household/Personal Care,98.0,93.0,97.0,98.0,10.2457,9.7343,30372.58K,31199740.0,267.95,31.82,353.26B,No,228.33,196.37,114.61,211.42,136.25,498
33,STLTECH.NS,637.75,638.9,1312.04K,Technology Services,Information Technology Services,98.0,89.0,95.0,98.0,34.5286,28.2821,2984.58K,2792930.0,679.9,84.6,327.75B,No,563.07,582.52,284.72,588.95,368.67,498
51,UFBL.NS,798.1,807.6,196.39K,Consumer Services,Restaurants,97.0,71.0,98.0,98.0,41.7464,39.0107,426.47K,220210.0,845.0,172.34,31.19B,No,716.14,665.35,352.3,707.49,433.93,496
88,DIACABS.NS,360.5,364.05,2040.91K,Producer Manufacturing,Electrical Products,96.0,98.0,97.0,97.0,22.1971,21.7436,7333.63K,5709710.0,366.2,115.57,189.97B,No,295.7,243.16,170.12,261.14,186.42,498
110,SBCL.NS,1105.05,920.9,10974.16K,Non-Energy Minerals,Other Metals/Minerals,96.0,97.0,97.0,96.0,46.725,41.675,546.07K,816510.0,1105.05,368.6,63.66B,No,773.57,751.15,553.23,800.56,612.92,497
103,E2E.NS,602.8,575.45,3378.07K,Technology Services,Information Technology Services,96.0,97.0,96.0,96.0,35.1893,27.25,2018.71K,2478640.0,627.7,183.36,123.85B,No,495.38,440.38,302.4,459.69,338.13,497
76,BLISSGVS.NS,479.8,477.55,540.99K,Health Technology,Pharmaceuticals: Major,96.0,16.0,96.0,97.0,21.3929,20.625,1747.53K,257300.0,553.0,118.0,50.98B,No,476.97,477.7,275.98,481.74,328.0,498
83,RPTECH.NS,896.7,894.65,327.22K,Distribution Services,Electronics Distributors,96.0,86.0,95.0,96.0,44.6679,42.6822,1355.33K,879610.0,967.7,275.6,59.09B,No,807.82,734.59,473.09,777.02,538.11,498
94,SKYGOLD.NS,779.6,719.4,8039.98K,Consumer Durables,Other Consumer Specialties,96.0,93.0,94.0,96.0,34.1429,30.9429,1448.46K,905920.0,815.95,259.0,120.74B,No,664.58,588.73,422.75,611.9,467.15,498
95,ATHERENERG.NS,1466.2,1481.5,3970.94K,Consumer Durables,Motor Vehicles,96.0,90.0,93.0,95.0,63.7286,58.5643,4883.80K,5715280.0,1520.0,398.2,577.87B,No,1305.08,1157.46,849.89,1205.38,937.14,318
104,SANSERA.NS,3812.4,3863.8,194.94K,Producer Manufacturing,Auto Parts: Oem,96.0,87.0,93.0,95.0,126.6286,120.2429,311.46K,211480.0,3938.0,1216.3,237.91B,No,3382.81,3182.0,2312.98,3298.83,2635.32,498
86,HFCL.NS,212.97,207.98,19189.77K,Electronic Technology,Telecommunications Equipment,96.0,41.0,93.0,97.0,11.8186,10.6429,39467.92K,29783770.0,229.5,59.82,325.90B,No,206.86,202.43,113.2,204.39,133.66,497
106,SICAGEN.NS,66.66,74.06,626.05K,Distribution Services,Wholesale Distributors,96.0,93.0,82.0,,4.1379,3.6693,46.69K,216350.0,74.06,24.35,2.64B,No,53.42,53.8,,56.01,,82
80,MTARTECH.NS,6940.0,7085.5,148.28K,Electronic Technology,Aerospace & Defense,96.0,46.0,65.0,96.0,342.25,227.4286,1293.01K,272410.0,8714.0,1390.5,213.47B,No,6145.95,6951.51,4521.55,6897.5,5476.63,497
116,KABRAEXTRU.NS,510.75,448.6,2085.50K,Producer Manufacturing,Industrial Machinery,95.0,98.0,98.0,97.0,35.5929,33.1607,169.71K,543620.0,519.0,180.0,17.86B,No,384.0,304.77,248.67,331.94,264.1,496
146,AEGISLOG.NS,1333.7,1371.0,975.21K,Distribution Services,Wholesale Distributors,95.0,74.0,97.0,93.0,74.6,72.7357,3004.72K,1286320.0,1497.8,576.1,468.13B,No,1328.93,1167.91,823.45,1234.85,865.91,496
140,SETL.NS,283.75,281.0,423.55K,Health Technology,Medical Specialties,95.0,39.0,97.0,96.0,12.6893,12.0857,1024.55K,434770.0,305.3,104.56,57.30B,No,279.31,237.32,164.73,252.51,170.11,392
134,DIGILOGIC.BO,179.45,170.95,82.80K,Electronic Technology,Electronic Equipment/Instruments,95.0,97.0,96.0,94.0,9.7464,8.7107,95.12K,206760.0,183.0,72.95,5.20B,No,132.9,126.1,,132.13,,133
119,SHILPAMED.NS,807.55,759.75,6376.92K,Health Technology,Pharmaceuticals: Major,95.0,94.0,96.0,97.0,35.1929,33.5607,1806.95K,4740220.0,819.0,259.5,157.94B,No,647.87,600.81,419.86,631.08,465.75,498
