Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
2,SALSAIN.BO,234.15,0.25K,Finance,Financial Conglomerates,98.0,5.0,0.0,98.0,14.3536,13.6786,1.22K,0.51K,828.95,14.58,1.63B,No,382.23,189.26,326.49,275.57
10,SMTEL.BO,407.55,0.39K,Commercial Services,Miscellaneous Commercial Services,98.0,79.0,11.0,97.0,24.4714,18.6179,1.39K,0.72K,494.85,15.08,7.36B,No,417.16,254.27,417.32,342.64
15,EASTSILK.NS,49.83,1.34K,Process Industries,Textiles,98.0,4.0,1.0,1.0,1.9221,1.64,3.15K,2.15K,99.25,1.8,249.15M,No,58.15,64.0,56.45,68.01
40,PHCAP.BO,951.7,10.29K,Finance,Investment Banks/Brokers,97.0,90.0,92.0,98.0,26.7143,24.9,3.38K,3.17K,962.5,165.05,2.86B,No,746.57,446.68,787.45,582.08
49,GDLLEAS.BO,70.4,0.99K,Finance,Finance/Rental/Leasing,97.0,55.0,3.0,7.0,3.1379,2.7643,2.09K,0.33K,169.8,8.33,352.71M,No,74.38,83.7,74.53,100.92
56,ISTRNETWK.BO,48.74,29.61K,Commercial Services,Miscellaneous Commercial Services,97.0,75.0,33.0,27.0,2.01,1.42,26.55K,26.60K,72.15,5.16,3.44B,No,46.87,42.8,47.65,46.76
67,RAJPALAYAM.NS,833.25,0.51K,Process Industries,Textiles,97.0,66.0,,,30.95,29.9036,1.88K,2.26K,875.0,314.45,,No,,,765.54,
78,CPPLUS.NS,3348.2,236.03K,Consumer Durables,Electronics/Appliances,96.0,95.0,97.0,96.0,192.4428,168.7357,431.52K,420.27K,3714.4,1015.0,394.59B,No,2592.15,1768.48,2740.99,1964.11
79,BAJAJCON.NS,602.85,616.77K,Consumer Non-Durables,Household/Personal Care,96.0,81.0,94.0,96.0,24.5893,24.0071,1426.39K,860.62K,620.85,168.25,78.74B,No,510.25,346.93,532.62,394.6
84,OMNI.NS,493.2,884.53K,Producer Manufacturing,Metal Fabrication,96.0,89.0,97.0,,35.9964,34.7964,997.75K,498.03K,548.0,176.25,60.99B,No,418.04,,437.72,
89,KOVAI.NS,5833.5,4.15K,Health Services,Hospital/Nursing Management,96.0,71.0,,,149.5357,145.8929,3.93K,4.83K,6052.6,2576.65,63.83B,No,,,5276.84,
97,PARMESHWAR.BO,196.4,28.00K,Non-Energy Minerals,Other Metals/Minerals,96.0,8.0,94.0,91.0,8.5214,6.9143,30.54K,18.20K,241.5,60.01,3.01B,No,184.65,124.8,188.49,151.23
113,BBOX.NS,1018.2,456.60K,Technology Services,Information Technology Services,95.0,86.0,96.0,95.0,51.7893,51.075,1108.07K,731.40K,1103.0,435.05,180.83B,No,793.53,587.37,845.88,625.56
141,SKPMIL.BO,122.0,3.00K,Process Industries,Pulp & Paper,94.0,29.0,57.0,84.0,5.2214,4.35,0.86K,1.25K,149.3,29.7,1.65B,No,117.19,98.11,122.0,111.85
142,SEDEMAC.NS,2698.0,225.75K,Producer Manufacturing,Auto Parts: Oem,94.0,95.0,,,132.2286,129.85,213.23K,233.02K,2937.1,1413.1,119.16B,No,2030.9,,2127.17,
149,HSIL.BO,366.45,11.60K,Health Technology,Medical Specialties,94.0,15.0,86.0,83.0,18.5929,17.7607,45.53K,26.76K,446.0,91.0,5.33B,No,345.75,303.99,355.86,305.8
152,BRRL.BO,949.0,0.80K,Consumer Durables,Homebuilding,94.0,36.0,70.0,96.0,52.525,43.0571,1.63K,1.66K,1011.0,226.0,9.80B,No,953.02,632.96,945.76,772.33
155,SYRMA.NS,1298.3,786.70K,Electronic Technology,Electronic Production Equipment,94.0,93.0,94.0,94.0,49.0072,47.5286,1581.27K,1245.74K,1335.0,500.0,250.09B,No,1048.99,853.53,1094.03,881.68
167,RAPICUT.BO,191.05,5.39K,Non-Energy Minerals,Other Metals/Minerals,94.0,30.0,80.0,94.0,13.7536,13.5786,10.75K,8.36K,204.95,66.66,1.03B,No,185.82,129.78,189.96,153.66
173,RACHIT.BO,210.0,1.00K,Consumer Non-Durables,Apparel/Footwear,93.0,82.0,95.0,91.0,7.8,5.3679,21.27K,22.30K,222.1,83.35,1.04B,No,174.96,,186.49,144.02
178,PAISALO.NS,58.25,4227.34K,Finance,Finance/Rental/Leasing,93.0,92.0,95.0,92.0,2.3886,2.3386,12886.21K,12843.09K,61.0,29.38,52.98B,No,48.97,39.06,51.49,40.65
180,COCKERILL.NS,9239.5,15.54K,Non-Energy Minerals,Steel,93.0,98.0,,,797.6429,765.0,29.98K,79.30K,10871.5,5015.25,,No,,,,
188,VALIANT.BO,1207.75,9.12K,Electronic Technology,Telecommunications Equipment,93.0,64.0,63.0,95.0,70.6929,70.6929,14.54K,13.31K,1304.2,440.0,14.12B,No,1075.94,881.34,1109.27,970.7
206,ROSSTECH.NS,1020.4,434.40K,Electronic Technology,Telecommunications Equipment,92.0,82.0,87.0,88.0,57.1214,55.5429,143.70K,82.29K,1122.0,393.4,38.61B,No,961.21,755.4,969.53,785.83
208,POWERINDIA.NS,35950.0,126.62K,Electronic Technology,Electronic Equipment/Instruments,92.0,71.0,86.0,95.0,1358.2143,1255.7143,165.80K,170.77K,38785.0,16111.0,1602.38B,No,33004.0,23517.35,34115.0,25813.97
209,CNCRD.BO,2776.35,6.85K,Electronic Technology,Electronic Equipment/Instruments,92.0,79.0,80.0,77.0,173.1571,164.5964,11.04K,10.99K,3069.85,1000.62,28.10B,No,2602.33,2233.79,2695.57,2474.67
211,KMEW.NS,2075.9,198.60K,Producer Manufacturing,Trucks/Construction/Farm Machinery,92.0,48.0,75.0,85.0,101.8929,99.6857,133.71K,74.96K,2285.4,762.95,50.74B,No,1907.76,1574.92,1906.04,1737.96
230,SCPL.NS,478.35,27.41K,Consumer Non-Durables,Food: Meat/Fish/Dairy,92.0,76.0,86.0,96.0,29.4179,26.4429,16.44K,30.55K,524.9,190.03,5.02B,No,401.9,307.07,417.35,341.51
234,GVT&D.NS,5152.5,887.18K,Producer Manufacturing,Electrical Products,92.0,81.0,79.0,94.0,230.5857,211.5429,839.80K,807.74K,5222.1,2265.0,1319.28B,No,4550.95,3498.37,4705.09,3789.99
236,VINDHYATEL.NS,2204.5,81.05K,Industrial Services,Engineering & Construction,91.0,95.0,95.0,90.0,159.7071,153.1714,101.35K,120.29K,2345.0,963.9,26.13B,No,1658.63,1410.94,1742.49,1400.75
240,BELRISE.NS,238.85,4708.97K,Producer Manufacturing,Auto Parts: Oem,91.0,83.0,74.0,90.0,8.1614,7.3379,5100.90K,6845.83K,245.6,97.72,212.55B,No,215.39,178.73,218.59,192.12
241,ELPROINTL.NS,169.49,33.54K,Electronic Technology,Electronic Components,91.0,57.0,,,2.9736,2.9714,219.52K,46.74K,177.5,102.0,28.73B,No,,,,
242,PARAS.NS,1285.65,14158.76K,Electronic Technology,Aerospace & Defense,91.0,96.0,93.0,92.0,62.8536,60.5429,2436.18K,6279.20K,1302.0,580.5,103.61B,No,832.71,717.93,880.2,736.59
243,APLAB.BO,102.85,1.14K,Electronic Technology,Electronic Equipment/Instruments,91.0,11.0,85.0,87.0,6.7921,6.4136,8.96K,3.36K,122.0,37.71,2.59B,No,94.52,79.58,97.73,81.08
247,BMW.BO,61.75,287.97K,Non-Energy Minerals,Steel,91.0,88.0,95.0,93.0,3.4614,3.3986,491.33K,838.86K,65.19,26.06,13.90B,No,50.05,42.36,52.82,41.95
249,SBC.NS,37.5,16373.65K,Distribution Services,Wholesale Distributors,91.0,80.0,63.0,87.0,1.125,1.1243,12497.16K,12404.04K,40.45,14.21,17.86B,No,35.12,28.85,35.73,31.88
261,UTLSOLAR.NS,319.6,340.91K,Electronic Technology,Semiconductors,91.0,85.0,94.0,91.0,21.625,18.5536,685.18K,525.95K,365.0,172.0,98.09B,No,284.4,,294.67,234.97
263,NITTAGELA.NS,1552.9,23.00K,Consumer Non-Durables,Food: Specialty/Candy,91.0,76.0,,,121.1036,111.8321,21.06K,31.81K,1870.0,882.0,,No,,,,
274,GKL.BO,37.46,50.37K,Consumer Durables,Other Consumer Specialties,90.0,5.0,18.0,82.0,2.1221,2.1221,58.74K,23.35K,49.49,11.8,563.38M,No,39.77,33.25,39.59,38.19
281,BSE.NS,3999.2,6982.31K,Finance,Investment Banks/Brokers,90.0,62.0,89.0,90.0,144.6143,138.8214,4340.66K,3866.14K,4446.8,2021.5,1624.19B,No,3816.83,2922.39,3894.94,3166.65
286,E2E.NS,386.4,1236.26K,Technology Services,Information Technology Services,90.0,90.0,93.0,95.0,23.5121,18.5907,1292.55K,2658.86K,453.8,183.36,79.36B,No,332.64,275.75,348.63,266.85
287,DATAPATTNS.NS,4769.6,2232.66K,Electronic Technology,Electronic Production Equipment,90.0,86.0,82.0,92.0,245.3571,240.8214,1284.70K,1704.00K,4794.7,2131.0,267.02B,No,3959.64,3085.8,4088.19,3273.94
290,SKMEGGPROD.NS,244.31,389.79K,Process Industries,Agricultural Commodities/Milling,90.0,95.0,92.0,79.0,15.9057,15.54,802.32K,857.20K,257.4,120.0,12.88B,No,191.89,185.51,199.35,187.84
299,BLUSPRING.NS,109.35,12170.86K,Commercial Services,Miscellaneous Commercial Services,90.0,95.0,96.0,87.0,6.635,6.4071,690.53K,1361.42K,110.18,43.98,16.34B,No,71.71,69.01,75.12,64.93
302,BHEL.NS,392.25,7880.02K,Producer Manufacturing,Electrical Products,89.0,29.0,90.0,88.0,13.3071,13.1429,17365.04K,11446.10K,424.9,205.12,1365.84B,No,369.18,285.85,378.47,305.06
311,MCX.NS,2857.3,3414.33K,Finance,Investment Banks/Brokers,89.0,4.0,60.0,88.0,110.6643,110.4929,3654.61K,3156.00K,3480.0,1460.8,727.22B,No,2969.09,2298.72,2983.51,2546.79
314,NIDHGRN.BO,413.3,0.65K,Finance,Investment Banks/Brokers,89.0,90.0,88.0,56.0,21.5107,19.1286,1.13K,2.38K,480.75,170.75,3.31B,No,328.95,353.41,353.12,342.14
316,WALCHANNAG.NS,280.05,7204.68K,Producer Manufacturing,Industrial Machinery,89.0,84.0,93.0,93.0,15.64,15.34,2076.26K,2597.72K,285.0,131.15,19.02B,No,230.13,187.87,239.2,191.87
320,IIRM.BO,114.15,24.73K,Producer Manufacturing,Miscellaneous Manufacturing,89.0,64.0,90.0,92.0,6.9929,6.8321,23.81K,19.89K,128.99,68.0,7.78B,No,100.94,87.04,104.72,91.03
328,PANACEABIO.NS,532.2,282.71K,Health Technology,Pharmaceuticals: Major,89.0,96.0,92.0,92.0,44.4143,41.3929,736.59K,3545.69K,647.0,292.4,32.60B,No,409.63,388.0,431.61,380.36
336,MOBAVENUE.BO,308.45,135.37K,Technology Services,Packaged Software,88.0,95.0,67.0,77.0,15.9171,14.34,41.63K,158.45K,315.6,133.2,23.84B,No,249.01,235.78,255.58,247.24
338,SOUTHWEST.NS,251.0,135.16K,Energy Minerals,Coal,88.0,67.0,70.0,80.0,16.5657,16.38,488.52K,748.79K,275.0,121.0,7.49B,No,243.92,193.07,244.47,212.62
340,NEPHROPLUS.NS,737.0,112.98K,Health Services,Medical/Nursing Services,88.0,85.0,78.0,,36.9143,36.9143,188.43K,256.75K,769.75,446.0,73.95B,No,600.95,,621.08,
341,ASARFI.BO,229.3,15.00K,Health Services,Hospital/Nursing Management,88.0,87.0,88.0,73.0,9.7,8.9607,61.95K,48.90K,256.95,117.2,4.51B,No,211.37,175.35,213.39,189.79
