Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
21,CUPID.NS,219.66,45141100.0,Consumer Non-Durables,Household/Personal Care,98.0,95.0,98.0,97.0,12.1493,11.8321,27112050.0,62157750.0,226.0,25.51,295370000000.0,No,156.79,97.27,165.42,115.9
30,SIGMAADV.NS,559.85,455780.0,Technology Services,Information Technology Services,98.0,88.0,98.0,97.0,33.4393,30.3357,496600.0,549820.0,638.1,103.42,98670000000.0,No,454.58,251.39,485.2,290.69
28,STLTECH.NS,540.05,2099920.0,Technology Services,Information Technology Services,98.0,9.0,97.0,98.0,33.45,29.8893,4124020.0000000005,2682550.0,679.9,84.6,277540000000.0,No,533.47,242.32,552.14,302.35
55,HFCL.NS,223.08,32150210.0,Electronic Technology,Telecommunications Equipment,97.0,91.0,98.0,98.0,9.2707,8.4464,54211970.0,20318570.0,229.5,59.82,341370000000.0,No,182.99,101.4,190.43,115.64
52,BLISSGVS.NS,514.5,118040.0,Health Technology,Pharmaceuticals: Major,97.0,87.0,97.0,98.0,26.8357,26.6786,2080940.0,482770.0,553.0,118.0,54660000000.0,No,416.89,245.38,440.91,288.9
86,CEMPRO.NS,1601.4,672120.0,Industrial Services,Engineering & Construction,96.0,97.0,98.0,96.0,67.3214,64.6857,1551460.0,782440.0,1647.3,503.3,275100000000.0,No,1150.49,822.74,1214.65,839.51
89,SKMEGGPROD.NS,334.25,750600.0,Process Industries,Agricultural Commodities/Milling,96.0,97.0,97.0,95.0,22.485,22.4457,1147600.0,1263100.0,372.0,142.5,17620000000.0,No,240.76,197.31,255.37,201.8
93,GVPIL.NS,829.6,39250.0,Industrial Services,Engineering & Construction,96.0,3.0,95.0,96.0,47.5107,47.4786,370900.0,303530.0,1084.0,270.9,55770000000.0,No,846.55,494.66,863.07,571.3
81,THANGAMAYL.NS,6617.0,227730.0,Consumer Durables,Other Consumer Specialties,96.0,86.0,92.0,95.0,424.2143,417.2857,218600.0,325150.0,7165.0,1750.1,205670000000.0,No,5043.82,3714.89,5265.48,4190.58
83,OMNI.NS,561.85,484960.0,Producer Manufacturing,Metal Fabrication,96.0,86.0,92.0,,31.8571,31.6821,657050.0,544970.0,590.1,176.25,69480000000.0,No,476.93,,489.75,
114,IBULLSLTD.NS,31.59,4915990.0,Finance,Real Estate Development,95.0,94.0,98.0,95.0,1.4643,1.4421,11283530.0,11315290.0,32.5,8.9,70720000000.0,No,23.85,17.37,24.82,16.83
102,RPTECH.NS,775.75,522710.00000000006,Distribution Services,Electronics Distributors,95.0,96.0,96.0,95.0,35.025,34.7821,1264720.0,648080.0,812.85,275.6,51120000000.0,No,628.45,427.25,655.11,474.54
111,INDOBORAX.NS,450.65,651500.0,Process Industries,Chemicals: Specialty,95.0,94.0,96.0,94.0,19.6393,18.0036,258870.0,328000.0,499.0,224.0,14460000000.0,No,353.11,276.23,375.95,292.91
123,PAISALO.NS,72.03,25911230.0,Finance,Finance/Rental/Leasing,95.0,90.0,96.0,95.0,3.2379,3.1536,15065550.0,27736390.0,74.9,29.86,65510000000.00001,No,57.35,42.01,60.15,44.92
94,RUBICON.NS,1451.1,171120.0,Health Technology,Biotechnology,95.0,84.0,95.0,96.0,61.1071,59.4286,553820.0,302110.0,1527.0,570.75,239070000000.0,No,1205.27,,1242.24,933.85
124,SENORES.NS,1480.9,174530.0,Health Technology,Pharmaceuticals: Major,95.0,80.0,95.0,93.0,55.0072,55.0072,471690.0,338520.0,1487.9,601.1,68200000000.0,No,1181.87,889.36,1244.28,959.03
113,INDSWFTLAB.NS,226.82,618860.0,Health Technology,Pharmaceuticals: Major,95.0,96.0,93.0,97.0,11.4671,11.0929,1513290.0,1495040.0,248.45,87.15,19720000000.0,No,170.58,129.14,181.76,145.29
99,KIRLOSENG.NS,2414.2,247970.0,Producer Manufacturing,Electrical Products,95.0,92.0,93.0,94.0,111.4,107.7286,819610.0,893660.0,2720.0,855.8,351280000000.0,No,1998.85,1422.99,2070.38,1612.4
101,KSHINTL.NS,882.05,226150.0,Producer Manufacturing,Electrical Products,95.0,64.0,93.0,97.0,40.0571,38.8786,520710.00000000006,370170.0,908.9,330.0,59760000000.0,No,781.97,,807.56,560.48
95,ACUTAAS.NS,3546.9,191330.0,Health Technology,Pharmaceuticals: Major,95.0,75.0,89.0,95.0,145.8428,144.8714,477920.0,378320.0,3740.0,1125.0,290390000000.0,No,3147.38,2220.35,3238.98,2494.98
104,ATHERENERG.NS,1296.4,17105410.0,Consumer Durables,Motor Vehicles,95.0,85.0,86.0,94.0,51.8571,51.8571,4586460.0,3892720.0,1318.9,329.2,496920000000.0,No,1012.07,784.62,1037.57,844.03
118,BAJAJCON.NS,568.45,1816950.0,Consumer Non-Durables,Household/Personal Care,95.0,39.0,85.0,96.0,26.5571,25.85,1461430.0,1463050.0,692.0,220.1,74250000000.0,No,577.11,384.6,588.64,442.48
134,SETL.NS,285.5,1174320.0,Health Technology,Medical Specialties,94.0,98.0,97.0,95.0,19.1886,16.5693,948470.0,1959510.0,305.3,104.56,5970000000.0,No,183.16,155.21,196.23,151.93
145,BALAMINES.NS,2314.2,150560.0,Process Industries,Chemicals: Specialty,94.0,71.0,97.0,96.0,126.45,123.8857,469970.0,517450.00000000006,2443.6,968.1,74980000000.0,No,1960.36,1383.2,2052.84,1444.22
148,RAMCOSYS.NS,815.45,1269830.0,Technology Services,Information Technology Services,94.0,97.0,96.0,90.0,71.6786,71.0107,2223650.0,3687890.0,967.5,342.1,30650000000.0,No,573.85,527.46,611.92,506.26
139,WELCORP.NS,1680.1,1407330.0,Producer Manufacturing,Industrial Machinery,94.0,88.0,95.0,96.0,60.7071,59.3357,1157430.0,2025930.0,1698.8,710.0,443050000000.0,No,1407.43,1000.23,1436.83,1068.35
129,SHREEJISPG.NS,587.35,1969720.0,Transportation,Other Transportation,94.0,88.0,94.0,90.0,16.275,15.7464,1050030.0,1332930.0,593.35,222.0,95690000000.0,No,473.17,368.93,492.99,409.72
152,SYRMA.NS,1404.6,629150.0,Electronic Technology,Electronic Production Equipment,94.0,79.0,93.0,95.0,53.8286,51.8143,1621140.0,1200740.0,1517.7,634.5,270560000000.0,No,1227.38,912.03,1265.84,971.44
