Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,%_From_52WKH
19,STLTECH.NS,536.15,596.11K,Technology Services,Information Technology Services,98.0,98.0,98.0,98.0,7310.14K,2327400.0,536.15,69.76,261.73B,0.0
29,MTARTECH.NS,7879.5,1526.06K,Electronic Technology,Aerospace & Defense,98.0,97.0,98.0,98.0,1085.54K,2663970.0,8449.5,1390.5,242.37B,-6.75
40,CUPID.NS,129.06,10643.69K,Consumer Non-Durables,Household/Personal Care,97.0,87.0,95.0,97.0,19952.99K,14825220.0,133.92,17.68,173.54B,-3.63
56,BLISSGVS.NS,425.3,7739.06K,Health Technology,Pharmaceuticals: Major,97.0,98.0,97.0,97.0,2378.43K,5304150.0,438.0,118.0,44.99B,-2.9
57,HFCL.NS,179.94,111038.93K,Electronic Technology,Telecommunications Equipment,97.0,98.0,98.0,97.0,52515.71K,59455810.0,189.08,59.82,275.36B,-4.83
58,OMNI.NS,497.65,3306.75K,Producer Manufacturing,Metal Fabrication,97.0,93.0,,,1169.56K,504010.0,515.0,176.25,61.54B,-3.37
61,SIGMAADV.NS,424.8,1673.04K,Technology Services,Information Technology Services,97.0,98.0,98.0,,307.69K,339610.0,424.8,79.5,74.87B,0.0
62,GVPIL.NS,865.15,546.47K,Industrial Services,Engineering & Construction,97.0,97.0,97.0,97.0,206.45K,433920.0,867.45,253.2,58.16B,-0.27
63,DEEDEV.NS,593.4,310.37K,Producer Manufacturing,Industrial Machinery,97.0,97.0,98.0,97.0,1601.50K,386860.0,593.4,183.0,41.10B,0.0
76,KSHINTL.NS,793.15,643.48K,Producer Manufacturing,Electrical Products,96.0,87.0,98.0,,495.80K,886180.0,857.35,330.0,53.74B,-7.49
81,AEROFLEX.NS,401.4,2204.84K,Producer Manufacturing,Industrial Machinery,96.0,96.0,97.0,97.0,3204.23K,2342250.0,458.7,158.0,53.12B,-12.49
82,BAJAJCON.NS,552.8,744.46K,Consumer Non-Durables,Household/Personal Care,96.0,90.0,93.0,97.0,1403.60K,851220.0,581.0,168.25,72.21B,-4.85
83,VIDYAWIRES.NS,108.65,15119.30K,Non-Energy Minerals,Other Metals/Minerals,96.0,93.0,98.0,,6466.90K,7885600.0,117.35,42.51,23.11B,-7.41
84,BBOX.NS,1037.15,1516.50K,Technology Services,Information Technology Services,96.0,98.0,97.0,97.0,1031.36K,1502590.0,1050.0,435.05,184.20B,-1.22
86,SAKAR.NS,796.5,155.10K,Health Technology,Pharmaceuticals: Major,96.0,91.0,95.0,97.0,171.82K,394090.0,837.75,306.35,17.48B,-4.92
92,APOLLO.NS,409.0,18990.35K,Electronic Technology,Electronic Production Equipment,96.0,95.0,96.0,92.0,17934.30K,49202510.0,433.8,162.34,146.14B,-5.72
93,UFBL.NS,493.2,345.82K,Consumer Services,Restaurants,96.0,97.0,97.0,97.0,373.37K,1592170.0,511.0,172.34,19.28B,-3.48
96,TDPOWERSYS.NS,1318.6,1542.06K,Producer Manufacturing,Electrical Products,96.0,87.0,94.0,96.0,1376.50K,2422760.0,1379.6,453.1,206.00B,-4.42
97,MODISONLTD.NS,284.6,1417.19K,Industrial Services,Engineering & Construction,95.0,98.0,97.0,96.0,150.18K,589060.0,300.95,114.0,9.24B,-5.43
99,MCLEODRUSS.NS,78.41,491.33K,Consumer Non-Durables,Food: Specialty/Candy,95.0,96.0,97.0,93.0,687.12K,715630.0,78.41,28.5,8.19B,0.0
101,ACUTAAS.NS,3132.5,601.49K,Health Technology,Pharmaceuticals: Major,95.0,94.0,94.0,96.0,549.38K,443540.0,3184.9,1059.0,256.46B,-1.65
102,WHEELS.NS,1575.8,225.22K,Producer Manufacturing,Auto Parts: Oem,95.0,97.0,96.0,96.0,225.06K,516799.99999999994,1744.0,705.85,38.50B,-9.64
104,ATHERENERG.NS,964.1,7556.30K,Consumer Durables,Motor Vehicles,95.0,66.0,90.0,91.0,4454.40K,3631110.0,1003.9,301.0,369.23B,-3.96
106,IDEAFORGE.NS,845.0,375.51K,Electronic Technology,Aerospace & Defense,95.0,97.0,97.0,96.0,2187.67K,1129880.0,888.0,366.0,36.66B,-4.84
107,ARFIN.NS,92.51,2664.67K,Non-Energy Minerals,Aluminum,95.0,42.0,87.0,94.0,1801.60K,2113440.0,106.2,31.43,15.61B,-12.89
108,ADANIPOWER.NS,243.37,71840.14K,Utilities,Electric Utilities,95.0,79.0,96.0,94.0,48609.26K,49401000.0,254.2,105.42,4693.32B,-4.26
111,GVT&D.NS,5148.6,2378.77K,Producer Manufacturing,Electrical Products,95.0,85.0,92.0,95.0,751.19K,886490.0,5222.1,2195.4,1318.28B,-1.41
