IndustryRank,Ticker,Price,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol10,52WKH,52WKL,MCAP,SMA20,SMA50,SMA200,SMA10W,SMA30W
1,DAPS.BO,24.49,Commercial Services,Advertising/Marketing Services,65.0,51.0,53.0,80.0,0.3707,0.3329,2.80K,26.5,12.01,126.73M,24.55,24.13,21.28,24.24,21.52
2,SIGNPOST.NS,264.55,Commercial Services,Advertising/Marketing Services,55.0,48.0,41.0,57.0,11.1607,11.0,439.99K,336.8,191.41,14.14B,260.9,284.27,251.82,280.6,265.57
3,BRIGHT.BO,354.75,Commercial Services,Advertising/Marketing Services,34.0,47.0,30.0,16.0,5.9786,5.3821,27.90K,450.0,310.05,7.74B,353.13,362.06,385.19,360.09,376.47
4,EMIAC.BO,95.0,Commercial Services,Advertising/Marketing Services,27.0,62.0,37.0,,2.5436,2.0614,7.92K,121.0,87.0,1.16B,93.29,94.43,,94.83,
5,CITIZEN.BO,208.0,Commercial Services,Advertising/Marketing Services,26.0,1.0,16.0,8.0,11.0,8.6393,1.53K,318.45,175.55,2.92B,228.44,264.88,262.63,259.82,251.89
1,MTARTECH.NS,7799.5,Electronic Technology,Aerospace & Defense,97.0,79.0,54.0,94.0,269.4643,237.0714,104.88K,8714.0,1400.0,239.91B,7054.43,6689.95,4997.14,6780.65,6049.52
2,PARAS.NS,1504.0,Electronic Technology,Aerospace & Defense,93.0,87.0,90.0,93.0,75.4714,69.6786,1198.49K,1585.0,580.5,121.20B,1430.35,1322.22,899.84,1339.39,1009.37
3,AEQUS.NS,231.9,Electronic Technology,Aerospace & Defense,86.0,32.0,84.0,87.0,8.2879,8.2693,2176.74K,274.39,113.3,151.86B,248.9,241.91,,241.28,196.04
4,IDEAFORGE.NS,775.2,Electronic Technology,Aerospace & Defense,81.0,6.0,7.0,87.0,32.1214,32.0357,247.99K,992.25,366.0,38.53B,801.07,840.23,626.0,839.52,698.37
5,HAL.NS,5031.1,Electronic Technology,Aerospace & Defense,69.0,61.0,74.0,69.0,102.7143,90.9143,592.12K,5149.9,3479.1,3364.67B,4926.27,4703.69,4379.46,4791.55,4385.37
