Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
1,Computer Communications,Electronic Technology,94,96,96,95,KERNEX.NS
2,Precious Metals,Non-Energy Minerals,94,60,26,54,"MIDWEST.BO,DECNGOLD.NS"
3,Cable/Satellite Tv,Consumer Services,87,48,55,89,NDLVENTURE.NS
4,Insurance Brokers/Services,Finance,78,84,12,0,RRFIN.BO
5,Computer Peripherals,Electronic Technology,74,83,69,73,"SAMTELIN.BO,NETWEB.NS,PANACHE.NS,INDTONER.BO,CONTROLPR.NS"
6,Telecommunications Equipment,Electronic Technology,73,64,71,74,"HFCL.NS,ADCINDIA.BO,MIRCELECTR.NS,ASTRAMICRO.NS,VALIANT.BO,ROSSTECH.NS,PRECISIO.BO,SMARTLINK.NS,TEJASNET.NS,AVANTEL.NS,DLINKINDIA.NS,KAVDEFENCE.NS,DCI.NS,BPL.NS,PUNJCOMMU.BO"
7,Biotechnology,Health Technology,72,55,64,67,"TITANBIO.BO,RUBICON.NS,ANL.BO,AKUMS.NS,FERMENTA.NS,ANTHEM.NS,HALEOSLABS.NS,FABTECH.NS"
8,Airlines,Transportation,69,87,73,71,"AFCOM.BO,TAALTECH.NS,INDIGO.NS"
9,Pharmaceuticals: Generic,Health Technology,67,76,73,74,"ZIMLAB.NS,ZENLABS.BO,JAGSNPHARM.NS,DENISCHEM.BO"
10,Marine Shipping,Transportation,66,46,62,64,"PPARIVAH.BO,DREDGECORP.NS,GESHIP.NS,COASTCORP.NS,GLOTTIS.NS,GPPL.NS,TRANSWORLD.NS"
11,Electronics Distributors,Distribution Services,65,63,62,55,"RPTECH.NS,COLAB.BO,PALREDTEC.NS,PANIDPR.BO,BRISK.BO,CNL.NS,STARCOM.BO,LABELKRAFT.BO,REDINGTON.NS,OPTIEMUS.NS,ACCEDERE.BO,MISQUITA.BO"
12,Aerospace & Defense,Electronic Technology,65,67,69,70,"MTARTECH.NS,PARAS.NS,IDEAFORGE.NS,AEQUS.NS,KRISHNADEF.NS,SIKA.NS,HAL.NS,ROSSELLIND.NS,BEL.NS,TANAA.BO,BDL.NS,DRONACHRYA.BO"
13,Electronic Equipment/Instruments,Electronic Technology,64,55,60,61,"APARINDS.NS,POWERINDIA.NS,CNCRD.BO,APLAB.BO,DIGILOGIC.BO,APLABPP.BO,SPECTRUM.NS,NAGPI.BO,GENUSPOWER.NS,DENORA.NS,HONAUT.NS,TVSELECT.NS,HPL.NS,WAAREEINDO.NS,JGTL.BO,SHRADDHA.BO,HINDHARD.BO,NITIRAJ.NS,WEL.NS"
14,Electronic Components,Electronic Technology,64,51,59,54,"UNIVCABLES.NS,ELPROINTL.NS,MRTX.BO,CENTUM.NS,BCCFUBA.BO,GUJARATPOLY.BO,INCAP.BO,HEG.NS,MEIL.NS,FINELINE.BO"
15,Miscellaneous,Miscellaneous,61,68,70,70,"INOVSYNTH.BO,ASHIKA.NS,SCILAL.NS"
16,Electronic Production Equipment,Electronic Technology,60,70,64,62,"SYRMA.NS,AVALON.NS,APOLLO.NS,DATAPATTNS.NS,CYIENTDLM.NS,NELCO.NS,PGEL.NS,DIXON.NS,KAYNES.NS,ELIN.NS"
17,Electrical Products,Producer Manufacturing,60,56,62,63,"MODINSU.BO,BHAGYANGR.NS,HIIL.BO,INDOSMC.BO,KSHINTL.NS,KIRLOSENG.NS,COSPOWER.BO,YASHHV.BO,TDPOWERSYS.NS,ATLANTAELE.NS,PRECWIRE.NS,INDOTECH.NS,GVT&D.NS,QPOWER.NS,RRKABEL.NS,SCHNEIDER.NS,PARACABLES.NS,POWERICA.NS,ADVAIT.NS,RISHABH.NS,DIACABS.NS,HIRECT.NS,BHEL.NS,EXICOM.NS,JDCABLES.BO,CYBELEIND.BO,BIRLACABLE.NS,POLYCAB.NS,KEI.NS,CGPOWER.NS,FINCABLES.NS,RAMRAT.NS,ENRIN.NS,VOLTAMP.NS,SWITCHTE.BO,CORDSCABLE.NS,ABB.NS,QUADFUTURE.NS,STARDELTA.BO,VETO.NS,HBLENGINE.NS,SUZLON.NS,SIEMENS.NS,PLAZACABLE.NS,ELECON.NS,SERVOTECH.NS,SHILCTECH.NS,FOCUS.NS,BBL.NS,ACCORDTS.BO,CLN.BO,EVEREADY.NS,S&SPOWER.NS,JIGAR.BO,KECL.NS,DYCL.NS,ESABINDIA.NS,INTEGSW.BO,DCXINDIA.NS,IKIO.NS,LGBBROSLTD.NS,TARIL.NS,SWELECTES.NS,STDBAT.BO,BONLON.NS,PANCARBON.BO,LAKSELEC.BO,SALZERELEC.NS,PROSTARM.NS,NIPPOBATRY.NS,ARE&M.NS,HONDAPOWER.NS,ALFATRAN.BO,RNITAI.BO,HIGHENE.BO,PANAENERG.BO,EPIC.BO,VGUARD.NS,KAYCEEI.BO,WSI.NS,RMC.NS,NDMETAL.BO,MARSONS.NS,CALCOM.BO,RTSPOWR.BO,HAVELLS.NS,INOXWIND.NS,CLENON.BO,JSLINDL.BO,DEL.BO,JYOTI.BO,DLTNCBL.BO,URAVIDEF.NS"
18,Alternative Power Generation,Utilities,60,51,54,55,"CLEANMAX.NS,ADANIGREEN.NS,INOXGREEN.NS,SUGSLLOYD.BO,RELTD.NS,UEL.NS,WAAREERTL.NS,POWERGRID.NS,KPEL.NS,NTPCGREEN.NS,KPIGREEN.NS"
19,Hospital/Nursing Management,Health Services,60,55,56,51,"KOVAI.NS,PARKHOSPS.NS,KMCSHIL.BO,HANNAH.BO,ASARFI.BO,YATHARTH.NS,ASTERDM.NS,KIMS.NS,GKSL.NS,APOLLOHOSP.NS,FORTIS.NS,MEDANTA.NS,RAINBOW.NS,KKSHL.BO,NH.NS,GPTHEALTH.NS,ARTEMISMED.NS,CMMHOSP.BO,HCG.NS,MAXHEALTH.NS,SHALBY.NS,AASHKA.BO,JLHL.NS,SHARMEH.BO,INDRAMEDCO.NS,FORTISMLR.BO,SHANMUGA.BO,NGIND.BO"
20,Pharmaceuticals: Major,Health Technology,60,56,59,59,"VINRKLB.BO,VENUSREM.NS,BLISSGVS.NS,PARMAX.BO,NOVARTIND.NS,NGLFINE.NS,ACUTAAS.NS,SAKAR.NS,FREDUN.BO,SENORES.NS,PHRMASI.BO,NOVELIX.BO,SPARC.NS,INDSWFTLAB.NS,ASTONEALAB.BO,LAURUSLABS.NS,SHILPAMED.NS,BAFNAPH.NS,VIKRAMTH.BO,ORCHPHARMA.NS,SUVEN.NS,BETA.NS,SUPRIYA.NS,SUDARSHAN.BO,PANACEABIO.NS,SAIPARENT.NS,KPL.NS,WOCKPHARMA.NS,GODAVARI.BO,AMANTA.NS,MARKSANS.NS,COLINZ.BO,KOPRAN.NS,AAREYDRUGS.NS,VIYASH.NS,NEULANDLAB.NS,SGRL.BO,CAPLIPOINT.NS,GLAND.NS,CONCORD.BO,HESTERBIO.NS,EMCURE.NS,CORONA.NS,ANG.BO,THEMISMED.NS,INNOVACAP.NS,STAR.NS,GUJTHEM.NS,SMSPHARMA.NS,BPLPHARMA.BO,MOREPENLAB.NS,TORNTPHARM.NS,JBCHEPHARM.NS,ZYDUSLIFE.NS,AJANTPHARM.NS,ALIVUS.NS,MANKIND.NS,BIOCON.NS,ZOTA.NS,PGHL.NS,IPCALAB.NS,GUFICBIO.NS,WANBURY.NS,PARNAXLAB.BO,VRL.BO,SOLARA.NS,TYCHE.BO,BALPHARMA.NS,KILITCH.NS,GLENMARK.NS,DIVISLAB.NS,SUNPHARMA.NS,LINCOLN.NS,RPGLIFE.NS,UNICHEMLAB.NS,WINDLAS.NS,ANURAS.NS,KREBSBIO.NS,INDGN.NS,BACPHAR.BO,FDC.NS,BLUEJET.NS,PPLPHARMA.NS,HEXAGON.NS,ALKEM.NS,JENBURPH.BO,BIOFILCHEM.NS,INDOCO.NS,SANOFICONR.NS,SHUKRAPHAR.BO,MERCURYLAB.BO,DRREDDY.NS,ROOPAIND.BO,MEDICO.NS,JUBLPHARMA.NS,SUNLOC.BO,PANCHSHEEL.BO,MAKERSL.BO,SMRUTHIORG.BO,LACTOSE.BO,HIKAL.NS,NATCOPHARM.NS,VALIANTLAB.NS,ALEMBICLTD.NS,KIMIABL.BO,ERIS.NS,COHANCE.NS,ALBERTDAVD.NS,AMBALALSA.NS,APLLTD.NS,AUROLAB.BO,ANUHPHR.NS,ASTRAZEN.NS,AARTIPHARM.NS,AARTIDRUGS.NS,PRAVEG.NS,ONESOURCE.NS,TLL.BO,TTKHLTCARE.NS,SYSCHEM.BO,BROOKS.NS,ZENOTECH.BO,STARSOURCE.BO,GLAXO.NS,ALPA.NS,ABBOTINDIA.NS,PFIZER.NS,DCAL.NS,PHARMAID.BO,SANOFI.NS,BAJAJHCARE.NS,GUJTERC.BO,SHELTER.BO,OXYGENTAPH.BO,SANJIVIN.BO,MEDICAMEQ.NS"
