Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
1,Discount Stores,Retail Trade,99,99,97,98,SPICELOUNG.BO
2,Computer Communications,Electronic Technology,90,89,91,84,KERNEX.NS
3,Computer Peripherals,Electronic Technology,80,54,77,79,"NETWEB.NS,CONTROLPR.NS,PANACHE.NS,INDTONER.BO"
4,Wireless Telecommunications,Communications,80,77,68,72,"BHARTIARTL.NS,BHARTIHEXA.NS,AIRTELPP.BO"
5,Major Banks,Finance,76,72,79,74,"HDFCBANK.NS,KOTAKBANK.NS,AXISBANK.NS,BANKBARODA.NS,PNB.NS,CANBK.NS,UNIONBANK.NS,IDBI.NS,INDIANB.NS,IOB.NS,INDUSINDBK.NS,BANKINDIA.NS,FEDERALBNK.NS,MAHABANK.NS,CENTRALBK.NS,BANDHANBNK.NS,RBLBANK.NS,CSBBANK.NS"
6,Airlines,Transportation,74,64,51,46,"INDIGO.NS,AFCOM.BO,TAALENT.BO"
7,Catalog/Specialty Distribution,Retail Trade,74,56,81,66,ETHOSLTD.NS
8,Savings Banks,Finance,74,53,35,0,NSDL.BO
9,Multi-Line Insurance,Finance,71,67,59,65,"HDFCLIFE.NS,ABCAPITAL.NS,GODIGIT.NS,NIACL.NS,RELIGARE.NS"
10,Aluminum,Non-Energy Minerals,70,67,70,77,"VEDL.NS,NATIONALUM.NS,ARFIN.NS,MAANALU.NS,EUROBOND.NS,ORIENTCER.NS,ALUFLUOR.BO,SUDAI.BO,SPINAROO.BO,HINDALUMI.BO,NIRAVCOM.BO,MAITRI.BO,SAMPAT.BO"
11,Consumer Sundries,Consumer Non-Durables,70,69,66,67,"WELSPUNLIV.NS,BIL.NS,LINC.NS,RADIXIND.BO,GPSL.BO"
12,Hospital/Nursing Management,Health Services,70,46,59,68,"MAXHEALTH.NS,APOLLOHOSP.NS,FORTIS.NS,NH.NS,MEDANTA.NS,ASTERDM.NS,KIMS.NS,RAINBOW.NS,JLHL.NS,HCG.NS,YATHARTH.NS,KOVAI.BO,INDRAMEDCO.NS,SHALBY.NS,GPTHEALTH.NS,KMCSHIL.BO,ASARFI.BO,FORTISMLR.BO,SHANMUGA.BO,SHARMEH.BO,NGIND.BO,CMMHOSP.BO,ARTEMISMED.NS"
13,Real Estate Investment Trusts,Finance,70,52,65,68,"KRT.BO,EMBASSY.BO,MINDSPACE.BO,BIRET.BO,INDUSINVIT.BO,FUNDVISER.BO,ANNAINFRA.BO"
14,Motor Vehicles,Consumer Durables,69,56,51,65,"MARUTI.NS,M&M.NS,TATAMOTORS.NS,HYUNDAI.NS,EICHERMOT.NS,TVSMOTOR.NS,HEROMOTOCO.NS,OLAELEC.NS,FORCEMOT.NS,ATHERENERG.NS,OLECTRA.NS,SMLISUZU.NS,SANDHAR.NS,ATULAUTO.NS,ATLASCYCLE.NS,SEVL.BO"
15,Life/Health Insurance,Finance,69,72,64,58,"LICI.NS,BAJAJFINSV.NS,SBILIFE.NS,ICICIPRULI.NS,MFSL.NS,STARHEALTH.NS,NIVABUPA.NS"
16,Electronics/Appliance Stores,Retail Trade,68,46,74,70,"AVL.NS,EMIL.NS,ROBU.BO,LOGICA.BO,UML.BO"
17,Oil Refining/Marketing,Energy Minerals,67,68,69,63,"RELIANCE.NS,ONGC.NS,BPCL.NS,HINDPETRO.NS,OIL.NS,MRPL.NS,CASTROLIND.NS,CHENNPETRO.NS,GULFOILLUB.NS,VEEDOL.NS,GULFPETRO.NS,CONTPTR.BO"
18,Specialty Insurance,Finance,66,72,70,60,"ICICIGI.NS,GICRE.NS"
19,Regional Banks,Finance,66,67,76,66,"ICICIBANK.NS,SBIN.NS,AUBANK.NS,IDFCFIRSTB.NS,KARURVYSYA.NS,CUB.NS,J&KBANK.NS,UJJIVANSFB.NS,TMB.NS,EQUITASBNK.NS,KTKBANK.NS,JSFB.NS,DCBBANK.NS,FINOPB.NS,DAMCAPITAL.NS,SURYODAY.NS,CAPITALSFB.NS,MONEYBOXX.BO,EMERALD.BO,JAGSONFI.BO,CMBL.BO,MUNOTHFI.BO"
20,Office Equipment/Supplies,Producer Manufacturing,64,65,54,59,"DOMS.NS,NAVNETEDUL.NS,FLAIR.NS,WSTCSTPAPR.NS,EUROPRATIK.NS,MOHITPPR.BO"
21,Electronic Production Equipment,Electronic Technology,64,50,65,60,"DIXON.NS,KAYNES.NS,SYRMA.NS,DATAPATTNS.NS,PGEL.NS,APOLLO.NS,AVALON.NS,CYIENTDLM.NS,NELCO.NS,ELIN.NS,CONTAINE.BO"
22,Electronic Equipment/Instruments,Electronic Technology,62,71,64,53,"POWERINDIA.NS,APARINDS.NS,HONAUT.NS,GENUSPOWER.NS,HPL.NS,SPECTRUM.NS,WEL.NS,CNCRD.BO,TVSELECT.NS,SHRADDHA.BO,DENORA.NS,JGTL.BO,NITIRAJ.NS,APLABPP.BO,APLAB.BO,HINDHARD.BO,NAGPI.BO"
23,Aerospace & Defense,Electronic Technology,62,57,51,48,"HAL.NS,BEL.NS,BDL.NS,MTARTECH.NS,PARAS.NS,SIKA.BO,IDEAFORGE.NS,TANAA.BO,ROSSELLIND.NS,DRONACHRYA.BO"
24,Investment Trusts/Mutual Funds,Miscellaneous,61,58,68,65,"ALTIUSINVIT.BO,CUBEINVIT.BO,ENERGYINF.BO,SUMMITSEC.NS,ANZEN.BO,PSPLATINA.BO,JINDCAP.BO"
25,Auto Parts: Oem,Producer Manufacturing,61,53,58,60,"BOSCHLTD.NS,MOTHERSON.NS,CUMMINSIND.NS,UNOMINDA.NS,ESCORTS.NS,EXIDEIND.NS,MSUMI.NS,TVSHLTD.NS,SONACOMS.NS,ZFCVINDIA.NS,SUNDRMFAST.NS,GABRIEL.NS,JBMA.NS,CIEINDIA.NS,BELRISE.NS,MINDACORP.NS,SHRIPISTON.NS,ASKAUTOLTD.NS,VARROC.NS,SANSERA.NS,LUMAXTECH.NS,SUPRAJIT.NS,PRICOLLTD.NS,SHARDAMOTR.NS,FIEMIND.NS,SWARAJENG.NS,SJS.NS,LUMAXIND.NS,JAMNAAUTO.NS,SHANTIGEAR.NS,SUNCLAY.NS,SSWL.NS,NRBBEARING.NS,AUTOAXLES.NS,CARRARO.NS,NDRAUTO.NS,RANEHOLDIN.NS,RML.NS,INDNIPPON.NS,WHEELS.NS,DIVGIITTS.NS,PRECAM.NS,UNIPARTS.NS,IGARASHI.NS,HITECHGEAR.NS,ALICON.NS,GNA.NS,RACLGEAR.NS,KROSS.NS,ACGL.BO,RICOAUTO.NS,BHARATSE.NS,ISTLTD.BO,MUNJALAU.NS,ASAL.NS,ZFSTEERING.BO,ENKEIWHEL.BO,KINETICENG.BO,HINDCOMPOS.NS,MUNJALSHOW.NS,PAVNAIND.NS,REMSONSIND.NS,SHIVAMAUTO.NS,MENNPIS.BO,AUTOIND.NS,SINTERCOM.NS,PPAP.NS,EMMFORCE.BO,JAYUSH.BO,OMAXAUTO.NS,UCAL.NS,SUNDRMBRAK.NS,BIMETAL.BO,KALYANIFRG.NS,MACPLASQ.BO,JMA.NS,HIMTEK.BO,SNL.BO,SAMKRG.BO,SALAUTO.BO,KRANTI.BO,PORWAL.BO,ARISINT.BO,JAGANLAM.BO,RASANDIK.BO,GSAUTO.BO"
26,Medical/Nursing Services,Health Services,60,55,64,66,"LALPATHLAB.NS,AGARWALEYE.NS,VIJAYA.NS,METROPOLIS.NS,JSLL.NS,THYROCARE.NS,KRSNAA.NS,DRAGARWQ.BO,LAXMIDENTL.NS,SURAKSHA.NS,MAXIND.NS,LOTUSEYE.NS,STARIMAGIN.BO,ASPIRA.BO,JSTL.BO,SML.BO,MEDINOV.BO,CTLLAB.BO"
27,Marine Shipping,Transportation,60,62,68,61,"GESHIP.NS,GPPL.NS,ALLCARGO.NS,DREDGECORP.NS,ATL.NS,TRANSWORLD.NS,COASTCORP.NS,PPARIVAH.BO"
28,Integrated Oil,Energy Minerals,59,59,70,67,"IOC.NS,HINDOILEXP.NS,ANTELOPUS.NS,IRMENERGY.NS,GNRL.BO"
29,Financial Publishing/Services,Commercial Services,59,50,48,40,"ICRA.NS,CARERATING.NS"
