Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
1,KETOMOTORS.BO,239.6,40.15K,Process Industries,Chemicals: Agricultural,98.0,97.0,98.0,97.0,6.1,0.0,5.70K,4.19K,252.2,4.57,16.88B,No,158.25,108.11,174.46,119.09
2,ISERA.BO,143.9,0.00K,Technology Services,Packaged Software,98.0,96.0,97.0,98.0,1.5829,0.1971,3.04K,3.72K,143.9,1.8,1.21B,No,102.5,46.24,108.98,65.11
3,SELECTRIC.BO,2348.6,4.08K,Electronic Technology,Electronic Production Equipment,98.0,99.0,,,96.9779,28.175,24.23K,62.87K,2348.6,155.1,28.41B,No,,,,
4,SALSAIN.BO,280.35,2.41K,Finance,Financial Conglomerates,98.0,79.0,0.0,98.0,9.9857,8.0214,1.16K,0.66K,828.95,14.58,1.95B,No,256.14,211.1,249.24,301.48
5,SAMTELIN.BO,63.34,2.77K,Producer Manufacturing,Miscellaneous Manufacturing,98.0,85.0,98.0,98.0,1.6657,0.7457,7.26K,10.73K,63.34,1.89,448.95M,No,49.73,19.55,52.4,28.23
6,MODMA.BO,58.0,2.50K,Producer Manufacturing,Metal Fabrication,98.0,1.0,97.0,98.0,2.4343,2.06,3.68K,1.28K,85.79,1.1,6.76B,No,68.97,25.63,68.23,35.6
7,LIPPISYS.BO,244.1,21.64K,Producer Manufacturing,Industrial Machinery,98.0,98.0,98.0,98.0,13.4764,10.9921,39.34K,29.38K,244.1,19.9,1.71B,No,136.62,59.6,155.21,78.18
8,JTLDEFENCE.BO,646.65,33.16K,Non-Energy Minerals,Other Metals/Minerals,98.0,98.0,99.0,98.0,18.5857,7.8643,2.96K,3.27K,646.65,55.58,6.81B,No,412.3,155.96,445.54,206.48
9,ARIHANT.NS,808.45,5.34K,Finance,Real Estate Development,98.0,17.0,,,45.3714,45.1,6.97K,10.17K,1100.0,39.65,8.78B,No,847.59,,842.33,
10,TANDHANIN.BO,160.8,4.27K,Finance,Investment Banks/Brokers,98.0,89.0,98.0,98.0,3.4179,1.8821,1.76K,7.10K,160.8,10.48,8.00B,No,122.81,50.42,130.96,69.65
11,MRUTR.BO,67.54,0.59K,Finance,Investment Banks/Brokers,98.0,97.0,98.0,98.0,1.095,0.0279,3.05K,15.53K,67.54,0.46,48.79B,No,44.35,17.55,48.24,25.33
12,APOLLOIN.BO,106.49,0.06K,Process Industries,Agricultural Commodities/Milling,98.0,97.0,98.0,98.0,1.8414,0.27,5.28K,6.89K,106.49,5.16,1.11B,No,70.3,26.95,75.69,37.8
13,PARMSILK.BO,406.1,0.13K,Process Industries,Textiles,98.0,98.0,98.0,98.0,18.0643,4.6286,0.47K,2.43K,449.9,31.19,1.22B,No,211.0,115.64,243.2,143.57
14,KARTKIN.BO,9436.0,0.04K,Finance,Financial Conglomerates,98.0,74.0,98.0,98.0,364.7107,206.4929,0.03K,0.05K,10741.85,1087.8,2.30B,No,8683.01,3441.67,8870.93,4569.59
15,EASTSILK.NS,48.74,0.02K,Process Industries,Textiles,98.0,18.0,4.0,5.0,2.18,2.0493,1.20K,0.42K,99.25,1.8,243.70M,No,53.49,65.24,52.19,63.05
16,SMTEL.BO,443.9,0.13K,Commercial Services,Miscellaneous Commercial Services,98.0,64.0,53.0,96.0,25.4679,23.275,0.37K,0.31K,494.85,24.28,8.02B,No,413.08,292.1,409.27,378.33
17,CALLISTA.BO,182.3,1.90K,Consumer Durables,Home Furnishings,98.0,56.0,10.0,90.0,3.7,2.7786,1.90K,1.31K,225.95,8.33,1.38B,No,168.5,135.56,173.36,167.53
18,SESHACHAL.BO,56.48,1.90K,Technology Services,Information Technology Services,98.0,0.0,0.0,61.0,2.5714,0.0,0.37K,0.56K,105.31,2.39,39.22M,No,90.22,67.15,86.68,85.68
19,TRADWIN.BO,584.65,0.00K,Consumer Services,Other Consumer Services,98.0,7.0,53.0,79.0,29.3536,21.7464,0.05K,0.09K,846.45,47.04,1.75B,No,614.65,452.33,616.4,608.39
20,BATLIBOI.NS,83.18,15.89K,Producer Manufacturing,Industrial Machinery,98.0,78.0,,,2.2814,2.2814,35.09K,27.15K,97.45,15.7,3.93B,No,80.87,,80.36,
21,COVANCE.BO,270.0,8.76K,Technology Services,Information Technology Services,98.0,98.0,92.0,97.0,9.8893,4.6714,6.26K,13.66K,270.0,21.72,5.98B,No,176.47,134.74,186.2,166.27
22,VINRKLB.BO,34.3,0.00K,Health Technology,Pharmaceuticals: Major,98.0,5.0,9.0,98.0,0.7929,0.5529,2.97K,0.92K,46.65,4.5,206.76M,No,37.95,21.54,37.76,29.67
23,SPICEISLIN.BO,522.65,22.60K,Process Industries,Textiles,98.0,83.0,95.0,97.0,30.8643,29.7893,20.38K,14.17K,549.0,42.56,3.26B,No,435.61,248.37,452.52,323.74
24,RANJITSE.BO,60.89,0.49K,Finance,Finance/Rental/Leasing,98.0,13.0,4.0,98.0,1.1957,0.9079,0.45K,0.01K,122.1,6.24,163.64M,No,68.81,,65.4,66.02
25,CUPID.NS,216.77,61474.16K,Consumer Non-Durables,Household/Personal Care,98.0,95.0,97.0,97.0,12.1493,11.8321,26312.62K,58184.30K,226.0,25.51,291.48B,No,156.79,97.27,165.42,115.9
26,SHANTAI.BO,93.21,2.43K,Process Industries,Textiles,98.0,12.0,88.0,98.0,0.2036,0.0,5.90K,1.16K,102.01,11.15,699.08M,No,96.88,46.43,97.55,62.5
27,APPL.BO,246.95,44.00K,Distribution Services,Medical Distributors,98.0,82.0,94.0,98.0,5.1714,3.5393,17.02K,9.44K,246.95,32.32,4.24B,No,208.36,,215.84,150.06
28,ASIACAP.BO,96.62,0.39K,Finance,Finance/Rental/Leasing,98.0,98.0,96.0,98.0,2.5429,0.4036,1.57K,1.52K,96.62,17.37,298.75M,No,64.31,33.68,68.22,42.52
29,TRANSCHEM.BO,341.05,5.92K,Health Technology,Pharmaceuticals: Other,98.0,93.0,97.0,94.0,8.825,5.5321,5.43K,7.74K,356.15,38.31,4.17B,No,268.4,167.17,282.27,206.35
30,HIKLASS.BO,68.5,0.03K,Finance,Investment Banks/Brokers,98.0,1.0,22.0,97.0,1.705,0.9857,0.32K,0.11K,108.35,6.81,2.07B,No,85.32,46.92,80.85,60.7
31,INTEGFD.BO,154.45,2.41K,Process Industries,Agricultural Commodities/Milling,98.0,72.0,96.0,98.0,9.5286,9.475,3.59K,2.66K,155.2,20.71,2.89B,No,138.46,67.65,142.7,84.91
32,SANGINITA.NS,52.64,206.54K,Process Industries,Chemicals: Specialty,98.0,97.0,98.0,98.0,0.85,0.0036,186.09K,134.79K,52.64,9.09,1.36B,No,34.72,18.51,37.46,22.85
33,STLTECH.NS,533.85,3591.55K,Technology Services,Information Technology Services,98.0,10.0,97.0,98.0,33.45,29.8893,4285.01K,2471.91K,679.9,84.6,274.35B,No,533.47,242.32,552.14,302.35
34,EMROCK.BO,250.15,2.63K,Consumer Durables,Homebuilding,98.0,10.0,38.0,80.0,17.0929,16.9286,3.04K,1.44K,305.95,25.39,3.96B,No,280.23,208.65,275.57,260.7
35,SIGMAADV.NS,573.65,528.00K,Technology Services,Information Technology Services,98.0,88.0,98.0,97.0,33.4393,30.3357,490.87K,505.77K,638.1,100.0,101.10B,No,454.58,251.39,485.2,290.69
36,SHENTRA.BO,115.9,0.25K,Process Industries,Chemicals: Specialty,97.0,89.0,95.0,97.0,0.77,0.0,0.05K,0.10K,115.9,16.65,514.38M,No,93.43,,97.69,70.38
37,AXISOL.BO,320.25,12.12K,Technology Services,Information Technology Services,97.0,12.0,70.0,98.0,5.4393,4.0107,4.17K,1.62K,350.0,15.0,15.10B,No,293.62,165.8,300.93,218.36
38,MAXGROW.BO,71.94,86.17K,Commercial Services,Personnel Services,97.0,98.0,93.0,90.0,3.1379,2.5621,20.31K,54.22K,73.56,7.5,2.87B,No,53.33,44.74,55.14,53.37
39,SIMANDHAR.BO,142.1,2.67K,Distribution Services,Wholesale Distributors,97.0,4.0,56.0,98.0,7.525,5.6179,2.74K,0.30K,180.95,21.5,434.39M,No,147.25,,145.16,121.7
