Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
1,APOLLOIN.BO,137.5,140.3,0.74K,Process Industries,Agricultural Commodities/Milling,98.0,96.0,98.0,98.0,2.6471,0.0,3.87K,2.65K,146.05,5.16,1.43B,No,127.55,99.27,38.63,108.04,54.99,496
2,AXISOL.BO,465.45,443.3,22.89K,Technology Services,Information Technology Services,98.0,97.0,97.0,98.0,12.8143,10.15,5.35K,9.95K,465.45,22.12,21.94B,No,359.98,336.83,198.02,354.06,259.11,497
3,MRUTR.BO,98.31,96.39,1.82K,Finance,Investment Banks/Brokers,98.0,98.0,98.0,98.0,1.8014,0.0,3.26K,1.26K,98.31,0.56,71.02B,No,80.96,62.56,24.86,70.34,36.67,495
4,LIPPISYS.BO,249.35,254.4,14.58K,Producer Manufacturing,Industrial Machinery,98.0,88.0,99.0,98.0,8.5857,4.6714,34.86K,5.10K,281.2,19.9,1.75B,No,251.68,203.81,79.88,222.67,107.83,494
6,ISERA.BO,143.9,143.9,0.02K,Technology Services,Packaged Software,98.0,45.0,97.0,98.0,0.0,0.0,2.93K,1.61K,143.9,3.49,1.21B,No,143.9,126.41,58.59,134.32,81.83,494
7,SESHACHAL.BO,77.73,77.73,0.16K,Technology Services,Information Technology Services,98.0,80.0,9.0,47.0,2.0836,1.4,0.87K,0.02K,105.31,2.39,53.97M,No,72.13,82.64,71.44,82.42,88.54,495
9,TANDHANIN.BO,149.25,149.0,1.02K,Finance,Investment Banks/Brokers,98.0,34.0,96.0,98.0,9.3214,9.1857,3.41K,4.72K,164.0,10.48,7.43B,No,150.27,143.44,63.55,147.82,87.44,496
10,SAMTELIN.BO,39.14,37.28,4.77K,Producer Manufacturing,Miscellaneous Manufacturing,98.0,0.0,71.0,98.0,3.115,1.7071,11.86K,14.56K,72.95,1.89,277.42M,No,51.12,54.1,24.17,52.56,33.38,244
11,SALSAIN.BO,363.6,355.7,0.64K,Finance,Financial Conglomerates,98.0,97.0,70.0,96.0,24.5429,14.4429,0.96K,1.08K,828.95,14.58,2.54B,No,357.47,283.15,242.62,299.43,342.16,495
12,MODMA.BO,38.78,40.82,2.30K,Producer Manufacturing,Metal Fabrication,98.0,0.0,1.0,98.0,3.2464,2.5171,2.74K,1.67K,85.79,1.1,4.52B,No,49.24,61.38,29.73,55.98,40.52,495
