Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
6,ARIHANT.NS,890.4,900.8,5.09K,Finance,Real Estate Development,98.0,12.0,59.0,,57.4571,56.4393,6.32K,2.79K,1225.0,39.65,9.67B,No,914.08,986.14,,997.13,,116
18,SANGINITA.NS,73.89,75.39,296.63K,Process Industries,Chemicals: Specialty,98.0,96.0,96.0,98.0,1.4321,0.2143,273.11K,39.18K,76.89,9.26,1.91B,No,64.07,60.94,31.37,61.99,39.68,499
19,STLTECH.NS,823.75,867.1,1029.61K,Technology Services,Information Technology Services,98.0,93.0,90.0,98.0,45.975,41.3964,2056.55K,1985.83K,912.0,84.6,423.45B,No,805.49,683.24,388.9,704.76,496.93,501
22,TBZ.NS,674.85,692.45,626.80K,Consumer Durables,Other Consumer Specialties,98.0,98.0,98.0,98.0,38.4643,31.6393,2999.08K,1340.74K,698.6,110.5,45.03B,No,519.64,369.62,212.34,392.63,238.13,501
24,SIGMAADV.NS,949.65,936.7,279.43K,Technology Services,Information Technology Services,98.0,97.0,94.0,98.0,50.8179,49.0393,339.55K,310.92K,980.0,140.1,167.37B,No,821.92,712.03,387.96,738.35,474.44,500
30,BATLIBOI.NS,83.77,84.28,18.59K,Producer Manufacturing,Industrial Machinery,98.0,37.0,39.0,,3.3779,3.3764,74.38K,38.76K,106.5,15.7,3.96B,No,85.79,86.36,,86.28,,117
35,KABRAEXTRU.NS,806.1,732.85,520.79K,Producer Manufacturing,Industrial Machinery,98.0,95.0,98.0,98.0,49.2036,46.5893,358.19K,364.25K,806.1,180.0,28.19B,No,653.47,538.05,311.18,569.75,350.05,500
39,BODALCHEM.NS,195.08,199.53,2298.58K,Process Industries,Industrial Specialties,97.0,98.0,98.0,98.0,11.3514,9.8421,1887.07K,3058.70K,206.0,42.81,24.57B,No,167.31,110.28,71.33,116.85,81.31,500
46,INDSWFTLAB.NS,401.25,405.05,640.95K,Health Technology,Pharmaceuticals: Major,97.0,92.0,97.0,96.0,23.4357,22.8714,1308.49K,830.55K,419.8,87.15,34.89B,No,378.53,313.86,183.82,319.27,213.0,500
48,CUPID.NS,266.3,273.85,30958.29K,Consumer Non-Durables,Household/Personal Care,97.0,25.0,92.0,97.0,12.8893,12.8893,32712.65K,24539.87K,299.0,41.82,358.08B,No,275.64,262.34,150.7,266.14,176.17,501
