Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,ADR_Pct
13,SWANDEF.NS,1865.7,9.05K,Producer Manufacturing,Trucks/Construction/Farm Machinery,98.0,25.0,97.0,98.0,28.57K,25.75K,2489.0,147.38,98.29B,No,1899.51,,1904.97,1533.99,4.42
18,STELLANT.BO,541.0,1.36K,Finance,Investment Banks/Brokers,98.0,1.0,4.0,97.0,6.38K,2.69K,683.8,24.07,2.99B,No,610.39,380.65,627.96,505.18,6.23
24,EASTINDIA.BO,102.4,0.91K,Process Industries,Containers/Packaging,98.0,7.0,46.0,59.0,3.48K,1.57K,148.0,44.0,1.51B,No,108.08,,107.31,105.45,6.21
28,CALLISTA.BO,120.1,0.90K,Consumer Durables,Home Furnishings,98.0,0.0,5.0,96.0,3.97K,5.44K,225.95,15.16,365.90M,No,184.75,,187.03,134.82,4.27
57,APIS.BO,61.14,7.42K,Consumer Non-Durables,Food: Major Diversified,97.0,2.0,5.0,94.0,26.49K,13.73K,110.42,11.78,8.42B,No,61.48,47.38,61.74,60.69,5.47
66,AMITSEC.BO,48.03,0.02K,Commercial Services,Miscellaneous Commercial Services,96.0,1.0,8.0,22.0,0.81K,0.56K,67.16,7.28,341.01M,No,53.11,44.17,53.3,49.91,5.3
74,RAPID.BO,133.8,3.20K,Transportation,Air Freight/Couriers,96.0,7.0,97.0,96.0,2.73K,3.36K,147.35,44.44,509.94M,No,124.78,81.74,140.81,112.71,0.43
85,VEL.BO,49.95,15.36K,Distribution Services,Wholesale Distributors,96.0,54.0,60.0,93.0,28.34K,14.91K,55.99,12.87,1.17B,No,45.04,36.52,45.1,41.83,6.24
101,TDPOWERSYS.NS,1219.6,947.11K,Producer Manufacturing,Electrical Products,95.0,92.0,93.0,93.0,1195.70K,1379.61K,1289.2,387.05,190.54B,No,948.03,725.96,964.33,812.62,4.73
110,SUBAM.BO,234.95,6.40K,Process Industries,Pulp & Paper,95.0,93.0,85.0,94.0,15.85K,23.68K,236.8,70.77,5.46B,No,182.21,161.32,183.65,182.68,4.01
114,HPBL.BO,272.65,2.40K,Process Industries,Containers/Packaging,95.0,96.0,97.0,95.0,7.18K,13.96K,284.45,96.0,2.91B,No,195.2,180.56,199.61,181.87,7.99
120,ASARFI.BO,252.8,48.00K,Health Services,Hospital/Nursing Management,95.0,88.0,92.0,94.0,48.17K,59.80K,256.95,90.55,4.97B,No,188.46,165.41,193.16,180.3,5.78
130,RRFIN.BO,81.78,4.12K,Finance,Insurance Brokers/Services,94.0,39.0,32.0,0.0,4.54K,2.56K,263.7,15.45,904.54M,No,84.24,116.31,82.1,129.06,6.85
131,BRAHMINFRA.BO,155.0,25.48K,Industrial Services,Engineering & Construction,94.0,21.0,79.0,95.0,25.54K,13.26K,178.9,43.0,4.50B,No,153.95,117.24,153.0,132.19,4.53
133,MAHASTEEL.NS,822.5,0.64K,Non-Energy Minerals,Steel,94.0,2.0,55.0,90.0,9.83K,4.19K,1050.0,234.0,13.52B,No,883.97,674.59,905.92,808.3,4.67
135,KIRLOSENG.NS,1728.9,124.05K,Producer Manufacturing,Electrical Products,94.0,66.0,92.0,95.0,527.50K,401.65K,1765.0,664.05,251.33B,No,1508.65,1164.0,1517.96,1277.4,3.65
142,AVANTIFEED.NS,1435.2,421.27K,Process Industries,Agricultural Commodities/Milling,94.0,44.0,93.0,97.0,1477.96K,749.12K,1593.8,614.25,195.54B,No,1306.95,914.46,1315.43,1027.43,5.92
146,KSHINTL.NS,624.65,279.09K,Producer Manufacturing,Electrical Products,94.0,82.0,96.0,,355.29K,522.64K,701.95,330.0,42.32B,No,494.03,,513.31,,6.61
