Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
9,KARTKIN.BO,10527.05,0.03K,Finance,Financial Conglomerates,98.0,98.0,98.0,98.0,0.02K,0.06K,10741.85,1036.0,2.57B,No
28,CALLISTA.BO,147.25,7.53K,Consumer Durables,Home Furnishings,98.0,0.0,23.0,97.0,2.96K,3.07K,225.95,15.16,448.61M,No
44,STLTECH.NS,400.9,2909.34K,Technology Services,Information Technology Services,97.0,98.0,98.0,98.0,8018.18K,5622.63K,434.7,67.55,195.71B,No
53,MTARTECH.NS,6810.0,1187.49K,Electronic Technology,Aerospace & Defense,97.0,97.0,97.0,97.0,824.44K,1762.85K,7730.0,1390.5,209.47B,No
67,PARMESHWAR.BO,214.5,4.00K,Non-Energy Minerals,Other Metals/Minerals,96.0,97.0,94.0,97.0,30.08K,82.20K,241.5,60.01,3.28B,No
68,MODINSU.BO,372.7,36.03K,Producer Manufacturing,Electrical Products,96.0,94.0,94.0,97.0,94.86K,118.44K,402.0,97.0,17.57B,No
71,AUTOINT.BO,448.95,0.98K,Finance,Finance/Rental/Leasing,96.0,90.0,33.0,2.0,1.43K,2.11K,1031.0,82.01,1.56B,No
78,SALSTEEL.NS,61.82,120.39K,Non-Energy Minerals,Steel,96.0,81.0,91.0,92.0,158.76K,130.53K,63.49,14.37,8.95B,No
87,NNTL.BO,34.52,0.98K,Technology Services,Information Technology Services,96.0,82.0,,,3.06K,2.45K,42.15,14.84,111.43M,No
98,SAKAR.NS,766.8,153.26K,Health Technology,Pharmaceuticals: Major,96.0,95.0,96.0,96.0,188.43K,489.83K,794.0,306.0,16.83B,No
100,OMNI.NS,406.85,202.42K,Producer Manufacturing,Metal Fabrication,95.0,92.0,,,1261.83K,604.18K,479.4,176.25,50.31B,No
103,HSIL.BO,386.05,62.80K,Health Technology,Medical Specialties,95.0,95.0,91.0,90.0,37.91K,108.88K,422.85,89.99,5.03B,No
104,RAPICUT.BO,190.95,2.69K,Non-Energy Minerals,Other Metals/Minerals,95.0,46.0,93.0,97.0,9.06K,5.98K,204.95,66.66,1.03B,No
105,VEL.BO,49.31,21.96K,Distribution Services,Wholesale Distributors,95.0,81.0,57.0,87.0,22.13K,9.05K,55.99,13.05,1.26B,No
110,WHEELS.NS,1564.2,247.67K,Producer Manufacturing,Auto Parts: Oem,95.0,97.0,97.0,95.0,204.66K,441.20K,1657.7,705.85,38.22B,No
113,FREDUN.BO,2365.0,9.27K,Health Technology,Pharmaceuticals: Major,95.0,95.0,88.0,92.0,10.00K,13.60K,2550.0,690.0,12.94B,No
119,OMAXAUTO.NS,200.81,58.53K,Producer Manufacturing,Auto Parts: Oem,95.0,98.0,96.0,96.0,210.89K,859.64K,240.0,82.91,4.31B,No
124,BBOX.NS,945.1,1061.72K,Technology Services,Information Technology Services,95.0,98.0,96.0,95.0,961.01K,2544.73K,966.0,435.05,167.75B,No
129,CPPLUS.NS,2375.1,208.13K,Consumer Durables,Electronics/Appliances,95.0,72.0,95.0,94.0,395.48K,324.95K,2575.0,1015.0,279.78B,No
130,KMEW.NS,2010.2,108.93K,Producer Manufacturing,Trucks/Construction/Farm Machinery,95.0,86.0,80.0,91.0,136.41K,218.83K,2285.4,732.7,49.14B,No
140,SAFFRON.BO,32.05,0.91K,Finance,Real Estate Development,94.0,65.0,18.0,0.0,7.42K,3.38K,104.13,6.39,230.29M,No
144,SUBAM.BO,220.0,8.00K,Process Industries,Pulp & Paper,94.0,87.0,87.0,93.0,16.57K,19.92K,244.0,70.77,6.05B,No
152,IDEAFORGE.NS,776.85,337.98K,Electronic Technology,Aerospace & Defense,94.0,98.0,97.0,95.0,2194.70K,3693.55K,888.0,366.0,33.71B,No
155,OMNITEX.BO,764.85,0.35K,Process Industries,Textiles,94.0,16.0,95.0,91.0,0.81K,0.55K,892.0,282.05,3.22B,No
169,SHADOWFAX.NS,189.45,4168.59K,Technology Services,Packaged Software,93.0,96.0,96.0,,2111.16K,4578.89K,197.63,98.55,110.64B,No
194,JSTL.BO,84.1,23.11K,Health Services,Medical/Nursing Services,93.0,63.0,85.0,91.0,22.53K,27.81K,93.9,32.85,1.68B,No
217,SOUTHWEST.NS,249.55,366.05K,Energy Minerals,Coal,92.0,46.0,88.0,89.0,332.13K,567.84K,268.79,121.0,7.44B,No
229,SENORES.NS,1056.55,611.14K,Health Technology,Pharmaceuticals: Major,91.0,90.0,90.0,89.0,347.46K,947.85K,1194.4,499.55,48.66B,No
232,GOKULAGRO.NS,236.92,467.57K,Process Industries,Agricultural Commodities/Milling,91.0,88.0,93.0,90.0,2715.05K,900.03K,249.92,119.21,69.91B,No
241,APEX.NS,430.65,318.39K,Consumer Non-Durables,Food: Meat/Fish/Dairy,91.0,23.0,81.0,96.0,943.40K,732.05K,514.5,208.74,13.46B,No
243,SCI.NS,337.25,8658.59K,Transportation,Air Freight/Couriers,91.0,83.0,89.0,89.0,10346.96K,16887.88K,368.75,178.6,157.09B,No
244,NETWEB.NS,3746.4,548.65K,Electronic Technology,Computer Peripherals,91.0,50.0,83.0,78.0,1941.41K,1593.00K,4492.0,1700.1,213.32B,No
245,LUMAXTECH.NS,1626.1,109.31K,Producer Manufacturing,Auto Parts: Oem,91.0,18.0,40.0,83.0,271.12K,210.51K,1898.0,647.65,110.83B,No
265,AGRIBIO.BO,299.45,4.13K,Distribution Services,Wholesale Distributors,90.0,77.0,91.0,90.0,10.35K,11.68K,314.0,177.95,3.26B,No
266,SGFIN.NS,568.35,176.24K,Finance,Investment Banks/Brokers,90.0,84.0,94.0,92.0,389.84K,530.81K,650.0,323.0,37.45B,No
267,VGCL.BO,57.32,3.87K,Finance,Investment Managers,90.0,87.0,95.0,90.0,17.52K,12.24K,58.9,28.1,1.31B,No
278,OSIAJEE.BO,461.0,23.78K,Process Industries,Textiles,90.0,89.0,67.0,79.0,18.43K,25.94K,495.5,202.0,2.49B,No
280,RRKABEL.NS,1918.9,206.82K,Producer Manufacturing,Electrical Products,90.0,95.0,92.0,92.0,518.24K,794.10K,2049.0,1165.0,217.04B,No
284,NGIL.NS,39.5,6.44K,Consumer Non-Durables,Food: Specialty/Candy,90.0,71.0,94.0,90.0,37.61K,41.40K,42.34,22.01,703.70M,No
285,CLEANMAX.NS,1223.9,137.56K,Utilities,Alternative Power Generation,90.0,93.0,,,476.89K,350.33K,1398.6,727.1,143.29B,No
295,POWERICA.NS,540.35,226.52K,Producer Manufacturing,Electrical Products,89.0,93.0,,,617.58K,477.26K,557.9,365.1,68.38B,No
296,AVANTIFEED.NS,1267.4,287.04K,Process Industries,Agricultural Commodities/Milling,89.0,7.0,69.0,96.0,896.36K,538.02K,1593.8,614.25,172.68B,No
298,SOBME.BO,905.0,0.29K,Non-Energy Minerals,Construction Materials,89.0,68.0,86.0,64.0,0.53K,0.61K,920.6,423.4,8.82B,No
302,GLOBAL.NS,102.67,48.33K,Commercial Services,Miscellaneous Commercial Services,89.0,60.0,68.0,93.0,124.58K,182.04K,121.9,55.3,5.23B,No
305,HINDALUMI.BO,106.65,3.58K,Non-Energy Minerals,Aluminum,89.0,56.0,69.0,95.0,12.13K,15.49K,162.55,57.25,671.92M,No
308,CHOKSI.BO,134.0,0.52K,Health Technology,Medical Specialties,89.0,0.0,81.0,87.0,6.40K,3.63K,212.9,75.0,763.95M,No
311,BALAMINES.NS,1708.8,436.59K,Process Industries,Chemicals: Specialty,89.0,97.0,95.0,86.0,217.94K,668.35K,1945.0,968.1,55.37B,No
314,GMDCLTD.NS,643.85,1544.04K,Distribution Services,Wholesale Distributors,89.0,10.0,72.0,75.0,5201.82K,2965.00K,771.9,340.0,204.74B,No
316,SUNFLAG.NS,358.55,192.22K,Non-Energy Minerals,Steel,89.0,95.0,94.0,91.0,849.53K,3564.81K,428.0,192.15,64.62B,No
330,GYFTR.BO,181.35,15.67K,Finance,Investment Banks/Brokers,88.0,19.0,37.0,62.0,60.49K,14.32K,235.96,86.81,13.93B,No
350,ANTELOPUS.NS,750.3,107.53K,Energy Minerals,Integrated Oil,88.0,92.0,92.0,91.0,324.86K,239.57K,789.9,357.0,26.38B,No
358,AETHER.NS,1095.9,215.25K,Process Industries,Chemicals: Major Diversified,87.0,25.0,77.0,93.0,382.73K,419.27K,1275.1,725.0,145.40B,No
360,LOKESHMACH.NS,243.21,3.81K,Technology Services,Information Technology Services,87.0,12.0,92.0,88.0,91.11K,24.19K,286.8,138.96,5.18B,No
382,GRAPHITE.NS,748.0,1443.74K,Process Industries,Industrial Specialties,87.0,83.0,77.0,91.0,2096.85K,2314.35K,802.4,505.8,146.14B,No
386,TMB.NS,679.4,128.43K,Finance,Regional Banks,87.0,54.0,59.0,89.0,502.23K,299.60K,770.0,411.8,107.58B,No
401,BHARATSE.NS,181.43,162.22K,Producer Manufacturing,Auto Parts: Oem,86.0,52.0,69.0,56.0,312.30K,474.53K,239.45,96.55,11.39B,No
405,UTLSOLAR.NS,270.15,234.49K,Electronic Technology,Semiconductors,86.0,71.0,89.0,,583.17K,463.20K,313.0,172.0,82.91B,No
412,CENTUM.NS,2909.2,28.43K,Electronic Technology,Electronic Components,86.0,31.0,82.0,84.0,113.94K,91.05K,3198.8,1962.1,42.88B,No
413,SARTHAKGL.BO,36.3,0.00K,Finance,Investment Banks/Brokers,86.0,14.0,83.0,4.0,0.73K,1.60K,76.57,20.19,108.90M,No
422,KMCSHIL.BO,95.08,81.78K,Health Services,Hospital/Nursing Management,86.0,77.0,73.0,89.0,85.63K,151.21K,97.6,62.5,15.51B,No
423,NEPHROPLUS.NS,649.7,258.63K,Health Services,Medical/Nursing Services,85.0,84.0,77.0,,123.35K,353.24K,663.9,446.0,65.19B,No
431,EBGNG.NS,417.75,153.78K,Technology Services,Information Technology Services,85.0,48.0,88.0,85.0,427.73K,713.71K,484.8,239.0,47.63B,No
432,PARACABLES.NS,54.72,1651.87K,Producer Manufacturing,Electrical Products,85.0,96.0,94.0,90.0,2365.04K,8826.76K,62.75,28.3,16.70B,No
435,DHANBANK.NS,33.18,2279.92K,Finance,Major Banks,85.0,93.0,93.0,86.0,1904.95K,3097.91K,34.0,19.45,13.10B,No
440,LUDLOWJUT.BO,356.05,3.15K,Process Industries,Textiles,85.0,96.0,95.0,53.0,8.99K,18.42K,555.0,162.0,3.84B,No
457,ONESOURCE.NS,1854.5,150.05K,Health Technology,Pharmaceuticals: Major,84.0,91.0,95.0,71.0,551.50K,310.16K,2248.0,1057.0,212.61B,No
471,MAHALIFE.BO,172.0,9.60K,Process Industries,Chemicals: Agricultural,84.0,52.0,27.0,,38.73K,24.00K,205.05,111.0,4.03B,No
476,RIDDHI.BO,667.8,1.19K,Process Industries,Pulp & Paper,84.0,92.0,89.0,86.0,2.46K,5.17K,815.9,405.0,4.76B,No
477,SHREEREF.BO,227.8,89.50K,Producer Manufacturing,Industrial Machinery,84.0,66.0,87.0,67.0,107.27K,178.35K,311.5,153.0,8.15B,No
480,DHAMPURE.BO,117.5,2.37K,Process Industries,Agricultural Commodities/Milling,84.0,11.0,82.0,91.0,7.50K,3.25K,136.95,82.0,1.03B,No
485,RASRESOR.BO,52.03,0.25K,Consumer Services,Hotels/Resorts/Cruise Lines,84.0,95.0,87.0,88.0,2.78K,1.76K,64.9,33.34,206.55M,No
487,SUBSM.BO,84.5,0.14K,Process Industries,Textiles,84.0,98.0,89.0,87.0,0.11K,0.04K,85.11,36.56,358.32M,No
488,GOLKUNDIA.BO,249.1,2.96K,Consumer Durables,Other Consumer Specialties,83.0,27.0,76.0,85.0,5.29K,2.57K,314.9,156.0,1.73B,No
490,KERNEX.NS,1354.0,98.51K,Electronic Technology,Computer Communications,83.0,88.0,74.0,68.0,198.69K,364.05K,1626.0,850.0,22.75B,No
492,IFINSEC.BO,195.8,0.17K,Finance,Finance/Rental/Leasing,83.0,56.0,83.0,79.0,4.48K,1.07K,223.8,125.0,5.72B,No
495,SOFTTECH.NS,413.8,2.91K,Technology Services,Packaged Software,83.0,96.0,92.0,85.0,10.78K,32.91K,469.5,215.0,5.73B,No
497,ASTERDM.NS,748.9,308.19K,Health Services,Hospital/Nursing Management,83.0,81.0,88.0,77.0,955.84K,950.87K,770.0,519.1,387.13B,No
502,KELENRG.BO,4643.6,0.13K,Process Industries,Industrial Specialties,83.0,73.0,90.0,73.0,1.06K,1.57K,5198.0,2900.0,4.64B,No
506,RELIABLE.NS,132.21,23.74K,Technology Services,Data Processing Services,83.0,55.0,25.0,46.0,56.52K,65.52K,175.0,65.0,1.36B,No
507,BLACKROSE.NS,102.55,27.24K,Distribution Services,Wholesale Distributors,83.0,,,,38.27K,69.84K,110.68,80.05,,No
510,YAANENT.BO,112.95,0.08K,Consumer Services,Other Consumer Services,83.0,63.0,48.0,85.0,1.58K,2.92K,133.9,59.16,350.14M,No
