Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
24,EMROCK.BO,279.35,1.53K,Consumer Durables,Homebuilding,98.0,19.0,43.0,91.0,18.0786,18.0464,3.16K,2.20K,305.95,24.19,4.42B,No,283.23,201.58,282.1,258.56
50,INTEGFD.BO,144.6,0.59K,Process Industries,Agricultural Commodities/Milling,97.0,59.0,95.0,98.0,6.3607,6.0893,3.86K,2.97K,155.0,20.71,2.71B,No,133.18,64.4,138.93,81.03
53,MODINSU.BO,527.7,48.79K,Producer Manufacturing,Electrical Products,97.0,94.0,97.0,97.0,33.825,32.0214,116.28K,98.05K,579.0,97.55,24.88B,No,431.09,255.14,454.93,312.04
83,COSPOWER.BO,1897.15,0.12K,Producer Manufacturing,Electrical Products,96.0,61.0,96.0,95.0,72.7714,55.8929,1.68K,0.83K,2092.35,527.65,3.48B,No,1495.64,1020.67,1527.13,1122.67
88,THANGAMAYL.NS,6283.0,113.28K,Consumer Durables,Other Consumer Specialties,96.0,81.0,93.0,95.0,344.5499,335.1357,204.29K,285.93K,6572.0,1750.1,195.29B,No,4740.15,3583.98,5018.5,4078.01
96,RPTECH.NS,761.15,577.17K,Distribution Services,Electronics Distributors,96.0,96.0,96.0,96.0,45.2607,44.3036,1246.74K,1618.27K,812.85,275.6,50.16B,No,593.23,413.78,628.21,459.39
101,AEROFLEX.NS,458.95,844.67K,Producer Manufacturing,Industrial Machinery,96.0,58.0,94.0,96.0,27.7429,27.4607,3172.36K,1519.10K,521.9,158.0,60.73B,No,414.93,255.51,437.16,295.14
108,OMNI.NS,500.45,261.74K,Producer Manufacturing,Metal Fabrication,95.0,33.0,94.0,,27.575,27.4,786.28K,614.29K,590.1,176.25,61.89B,No,460.2,,476.19,
111,KSHINTL.NS,857.95,134.02K,Producer Manufacturing,Electrical Products,95.0,57.0,95.0,97.0,34.5714,34.0821,537.59K,286.35K,908.9,330.0,58.13B,No,760.25,,784.1,
126,PARMESHWAR.BO,195.55,2.00K,Non-Energy Minerals,Other Metals/Minerals,95.0,17.0,88.0,88.0,4.9393,4.3393,30.22K,8.67K,241.5,60.01,2.99B,No,199.26,133.65,199.89,160.08
130,PANKAJPO.BO,66.24,9.38K,Producer Manufacturing,Miscellaneous Manufacturing,95.0,48.0,28.0,95.0,3.8486,3.8421,7.56K,13.70K,75.97,15.0,367.23M,No,66.1,47.6,67.26,60.69
136,CRYOGENIC.BO,288.7,33.00K,Industrial Services,Oilfield Services/Equipment,94.0,92.0,91.0,93.0,12.275,10.6214,61.70K,15.67K,293.0,89.3,4.12B,No,235.8,190.54,244.38,195.49
137,MODISONLTD.NS,296.05,48.80K,Industrial Services,Engineering & Construction,94.0,3.0,97.0,96.0,19.7321,19.2679,217.44K,116.30K,362.7,114.0,9.61B,No,253.91,173.0,269.37,184.64
139,ATHERENERG.NS,1125.4,1306.61K,Consumer Durables,Motor Vehicles,94.0,81.0,82.0,91.0,42.7964,42.7964,5176.29K,4887.36K,1176.2,318.6,431.38B,No,980.87,765.95,998.85,824.02
144,HITECHCORP.NS,318.25,5.91K,Producer Manufacturing,Miscellaneous Manufacturing,94.0,53.0,97.0,94.0,8.8793,8.8586,32.52K,15.72K,323.77,112.0,5.47B,No,235.65,183.74,257.19,184.99
193,KMCSHIL.BO,134.45,127.17K,Health Services,Hospital/Nursing Management,93.0,82.0,90.0,93.0,5.7214,5.6107,207.58K,448.56K,142.85,62.5,21.93B,No,108.05,85.36,113.07,92.92
195,SBC.NS,42.17,6402.36K,Distribution Services,Wholesale Distributors,93.0,79.0,78.0,89.0,1.355,1.2693,13763.46K,10001.23K,45.0,14.86,20.08B,No,37.54,30.35,38.94,33.56
199,MIDWEST.BO,4101.5,0.89K,Non-Energy Minerals,Precious Metals,93.0,48.0,3.0,30.0,253.6071,230.5571,4.50K,6.10K,5900.0,997.35,53.21B,No,4227.94,3923.16,4207.42,4478.53
201,KANORICHEM.NS,135.23,25.35K,Process Industries,Chemicals: Specialty,93.0,97.0,97.0,93.0,7.1264,6.4493,40.86K,94.08K,140.3,56.0,5.91B,No,103.66,81.46,109.28,84.5
203,CMPDI.NS,269.7,2938.94K,Commercial Services,Miscellaneous Commercial Services,92.0,84.0,91.0,,12.2393,12.1357,6084.72K,7385.79K,283.69,150.16,,No,234.35,,244.6,
207,TDPOWERSYS.NS,1174.2,2015.95K,Producer Manufacturing,Electrical Products,92.0,6.0,75.0,92.0,67.0714,66.7929,1524.79K,1259.02K,1379.6,453.1,183.44B,No,1233.57,876.49,1244.39,969.22
220,ADCINDIA.BO,2353.15,1.41K,Electronic Technology,Telecommunications Equipment,92.0,31.0,95.0,92.0,47.3536,22.3607,5.24K,0.96K,2678.35,1112.0,10.82B,No,2256.06,1635.54,2345.41,1697.23
230,SUVEN.NS,314.5,1479.02K,Health Technology,Pharmaceuticals: Major,92.0,86.0,96.0,94.0,17.3321,16.8286,1901.32K,2760.63K,336.0,124.11,83.03B,No,254.46,192.63,266.21,195.1
231,COCKERILL.NS,8916.5,2.86K,Non-Energy Minerals,Steel,92.0,22.0,,,319.2143,315.2857,25.61K,10.76K,10871.5,5015.25,,No,7427.09,,7908.35,
232,MAYURUNIQ.NS,882.95,89.25K,Process Industries,Textiles,92.0,89.0,91.0,94.0,31.3322,29.7286,294.77K,158.56K,907.0,471.2,38.37B,No,723.76,570.88,762.52,604.87
238,IOLCP.NS,144.46,2557.68K,Process Industries,Chemicals: Specialty,91.0,63.0,94.0,93.0,6.3607,6.22,4107.38K,5309.58K,151.2,67.19,42.40B,No,122.13,94.53,126.78,94.58
241,JASCH.BO,274.4,3.42K,Process Industries,Textiles,91.0,85.0,94.0,93.0,12.5643,12.4571,13.17K,13.67K,283.8,126.05,1.87B,No,209.24,173.93,221.04,177.24
248,WHEELS.NS,1476.0,148.86K,Producer Manufacturing,Auto Parts: Oem,91.0,25.0,84.0,93.0,102.7,101.4857,261.05K,348.08K,1808.0,705.85,36.06B,No,1504.28,1046.04,1536.8,1127.44
258,ICIL.NS,431.7,287.18K,Process Industries,Textiles,91.0,94.0,92.0,91.0,23.6214,23.4357,989.02K,2259.89K,463.8,216.9,85.50B,No,338.57,290.04,356.35,293.8
266,PPARIVAH.BO,221.7,8.40K,Transportation,Marine Shipping,91.0,96.0,81.0,85.0,8.5464,7.9036,59.88K,47.47K,233.5,108.0,2.51B,No,174.39,159.37,182.67,166.74
282,CHANDNIMACH.BO,83.55,4.69K,Producer Manufacturing,Industrial Machinery,90.0,92.0,45.0,58.0,6.2586,6.1629,11.45K,20.42K,127.74,31.0,588.05M,No,68.14,69.22,71.31,71.37
283,APARINDS.NS,14323.0,112.19K,Electronic Technology,Electronic Equipment/Instruments,90.0,58.0,82.0,92.0,738.2143,726.6429,152.11K,205.51K,17157.0,6801.0,575.42B,No,13854.65,10331.77,14125.8,11147.13
284,NRBBEARING.NS,419.35,228.89K,Producer Manufacturing,Auto Parts: Oem,90.0,80.0,93.0,89.0,18.925,18.7143,1079.33K,891.96K,467.6,212.55,40.64B,No,377.52,297.58,392.02,306.7
285,BHARATSE.NS,242.59,936.58K,Producer Manufacturing,Auto Parts: Oem,90.0,94.0,87.0,85.0,11.4793,10.76,845.26K,4279.61K,255.74,101.0,15.23B,No,190.89,181.25,198.8,179.02
293,JSTL.BO,78.68,9.59K,Health Services,Medical/Nursing Services,90.0,48.0,62.0,82.0,4.5336,4.5279,26.77K,20.75K,93.9,32.85,1.57B,No,81.53,66.45,81.23,72.44
297,DIVGIITTS.NS,995.45,77.07K,Producer Manufacturing,Auto Parts: Oem,90.0,93.0,87.0,92.0,46.1071,45.1571,215.31K,1101.58K,1065.0,573.7,30.44B,No,792.89,684.58,825.57,721.65
299,INOXINDIA.NS,1872.7,249.62K,Producer Manufacturing,Industrial Machinery,90.0,92.0,85.0,93.0,104.7357,104.7357,430.62K,405.17K,2099.0,1065.0,169.97B,No,1640.92,1302.19,1677.95,1362.47
302,AEROENTER.NS,130.89,599.61K,Producer Manufacturing,Industrial Machinery,90.0,94.0,94.0,88.0,8.9607,8.59,1081.90K,2271.78K,149.55,62.2,14.81B,No,109.97,89.14,115.21,92.2
314,HRS.BO,255.0,5.60K,Non-Energy Minerals,Aluminum,89.0,55.0,20.0,91.0,2.475,1.8286,34.74K,55.55K,292.6,126.0,4.92B,No,235.13,,238.26,223.87
331,EMMFORCE.BO,181.35,93.60K,Producer Manufacturing,Auto Parts: Oem,89.0,98.0,84.0,81.0,9.4429,8.7286,33.56K,93.87K,191.75,85.3,3.72B,No,124.22,134.18,134.09,129.93
337,NARMADA.NS,36.2,264.52K,Process Industries,Agricultural Commodities/Milling,88.0,34.0,40.0,92.0,2.3457,2.2214,1053.84K,2765.16K,45.17,17.22,1.37B,No,36.83,29.59,37.31,32.6
344,TALBROAUTO.NS,411.15,181.94K,Producer Manufacturing,Industrial Machinery,88.0,84.0,91.0,88.0,17.8286,17.5429,380.75K,732.78K,435.0,219.9,25.38B,No,355.1,294.13,365.21,299.17
359,CONFIPET.NS,72.97,1168.68K,Retail Trade,Specialty Stores,88.0,19.0,90.0,95.0,4.1343,4.0257,4309.33K,5031.04K,80.57,28.06,24.24B,No,66.16,45.89,67.91,48.65
360,APLABPP.BO,70.11,0.47K,Electronic Technology,Electronic Equipment/Instruments,88.0,2.0,90.0,68.0,4.8657,4.2371,2.85K,1.96K,97.0,26.75,1.91B,No,79.06,65.92,79.63,65.59
365,BHEL.NS,387.5,12992.92K,Producer Manufacturing,Electrical Products,88.0,37.0,86.0,86.0,13.0857,13.0571,18563.14K,17042.72K,424.9,205.12,1349.30B,No,396.06,298.92,398.21,316.73
366,SAB.BO,203.0,0.03K,Industrial Services,Engineering & Construction,88.0,94.0,85.0,93.0,9.7821,8.9143,0.24K,0.84K,206.8,105.0,3.09B,No,160.14,135.26,170.59,136.66
368,TMB.NS,759.15,164.43K,Finance,Regional Banks,88.0,46.0,63.0,89.0,24.3321,23.5714,496.37K,270.00K,799.4,411.8,120.21B,No,730.4,595.87,733.75,652.84
373,GKL.BO,34.67,3.96K,Consumer Durables,Other Consumer Specialties,87.0,14.0,9.0,42.0,2.0414,2.0407,55.65K,27.27K,49.49,15.4,521.42M,No,39.24,34.34,38.56,38.96
376,CHOKSI.BO,166.95,1.67K,Health Technology,Medical Specialties,87.0,88.0,64.0,84.0,7.5714,7.0286,7.40K,3.49K,212.9,75.0,951.80M,No,144.08,126.83,147.42,141.95
384,WELINV.NS,1790.0,0.03K,Finance,Investment Banks/Brokers,87.0,43.0,79.0,84.0,67.6,54.4429,1.34K,0.29K,1978.7,865.0,6.56B,No,1747.57,1367.87,1786.21,1465.74
386,NGIL.NS,41.61,43.27K,Consumer Non-Durables,Food: Specialty/Candy,87.0,46.0,88.0,83.0,1.88,1.8757,35.13K,26.51K,43.89,22.01,741.29M,No,39.02,31.28,39.68,32.21
399,SGMART.NS,601.75,75.19K,Utilities,Electric Utilities,87.0,58.0,56.0,91.0,18.2786,18.2786,275.86K,148.86K,638.1,313.1,75.84B,No,588.43,443.54,596.28,490.24
405,HIGHNESS.BO,186.0,13.20K,Electronic Technology,Semiconductors,86.0,94.0,,,9.9679,9.3393,75.02K,79.87K,202.45,107.5,960.43M,No,159.77,,166.66,
415,TRITONV.BO,1131.6,1.06K,Consumer Durables,Automotive Aftermarket,86.0,75.0,72.0,88.0,61.675,60.8214,4.26K,2.19K,1250.2,630.5,5.80B,No,1030.59,842.15,1067.23,895.51
425,UNIPARTS.NS,649.45,95.50K,Producer Manufacturing,Auto Parts: Oem,86.0,56.0,79.0,84.0,22.2,22.1357,213.98K,129.56K,705.8,335.0,29.29B,No,604.25,505.09,618.95,521.77
436,PIRAMALFIN.NS,2172.7,208.48K,Finance,Finance/Rental/Leasing,86.0,75.0,57.0,84.0,64.9714,64.7714,560.48K,391.03K,2220.0,1260.0,491.04B,No,2002.4,,2038.19,1861.68
441,SHAILY.NS,2875.3,162.47K,Process Industries,Chemicals: Specialty,85.0,16.0,76.0,77.0,103.7785,103.2714,468.21K,193.45K,3233.9,1535.9,132.25B,No,2809.62,2380.51,2859.75,2369.11
456,NUVAMA.NS,1869.4,324.47K,Finance,Investment Managers,85.0,88.0,89.0,77.0,54.8286,53.3143,596.26K,614.42K,1955.0,1096.9,341.22B,No,1577.55,1413.72,1653.31,1431.43
458,AVL.NS,649.7,296.72K,Retail Trade,Electronics/Appliance Stores,85.0,89.0,77.0,81.0,24.6643,24.3,287.59K,404.88K,705.0,351.6,83.90B,No,569.41,525.1,584.65,519.5
468,ASMTEC.BO,4070.15,11.99K,Technology Services,Information Technology Services,85.0,92.0,90.0,73.0,171.3214,169.3571,28.67K,26.68K,4595.55,2099.9,59.38B,No,3446.89,3249.57,3554.73,3042.23
469,GNA.NS,473.3,159.57K,Producer Manufacturing,Auto Parts: Oem,85.0,93.0,63.0,89.0,23.3107,23.1214,295.73K,393.86K,482.0,291.8,20.32B,No,399.38,366.67,406.49,393.65
470,ICON.BO,78.95,56.40K,Commercial Services,Miscellaneous Commercial Services,84.0,97.0,86.0,90.0,3.3536,3.0786,17.16K,12.53K,81.95,38.05,620.52M,No,65.55,55.79,67.3,58.12
471,CENTUM.NS,3638.4,24.94K,Electronic Technology,Electronic Components,84.0,58.0,66.0,90.0,145.3429,145.0929,75.56K,43.23K,3916.0,2044.2,53.63B,No,3305.38,2719.06,3419.65,2851.99
476,STOVEKRAFT.NS,778.7,123.44K,Consumer Durables,Electronics/Appliances,84.0,88.0,89.0,83.0,27.7893,27.5036,256.42K,187.12K,813.95,447.05,25.78B,No,632.0,595.34,660.8,569.45
480,CYIENTDLM.NS,502.0,360.99K,Electronic Technology,Electronic Production Equipment,84.0,73.0,93.0,73.0,19.3179,18.9607,433.74K,495.91K,523.95,265.2,39.84B,No,440.01,403.15,454.12,385.89
481,ADOR.NS,1320.1,21.82K,Producer Manufacturing,Miscellaneous Manufacturing,84.0,86.0,83.0,81.0,37.4714,36.5,40.80K,28.00K,1360.0,848.0,22.97B,No,1140.15,1058.35,1172.51,1061.0
487,SHIVAM.BO,109.5,6.00K,Non-Energy Minerals,Construction Materials,84.0,67.0,8.0,93.0,3.3629,2.6636,9.30K,9.17K,130.4,56.26,1.86B,No,107.66,87.9,107.44,97.96
490,MANCREDIT.NS,245.11,580.26K,Finance,Finance/Rental/Leasing,84.0,90.0,80.0,88.0,14.235,13.4036,222.86K,592.15K,265.0,152.06,5.18B,No,198.38,179.17,207.31,181.39
