Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
40,TRANSCHEM.BO,379.55,375.1,2.10K,Health Technology,Pharmaceuticals: Other,97.0,91.0,87.0,94.0,13.925,13.2571,5.86K,4.26K,384.0,47.8,4.65B,No,340.5,333.96,222.26,338.15,251.3,497
57,MODISONLTD.NS,514.8,490.3,170.53K,Industrial Services,Engineering & Construction,97.0,98.0,95.0,98.0,32.8357,30.8679,162.70K,397.48K,546.0,114.0,16.71B,No,435.72,347.4,219.71,354.21,247.78,500
69,RSCINT.BO,82.62,81.0,12.25K,Process Industries,Chemicals: Specialty,97.0,97.0,98.0,96.0,1.6479,0.2793,12.09K,20.80K,83.14,22.42,475.04M,No,70.57,54.33,44.83,58.5,38.57,497
84,KSHINTL.NS,1174.3,1152.05,187.02K,Producer Manufacturing,Electrical Products,96.0,87.0,90.0,97.0,48.4179,46.7786,361.68K,340.71K,1198.0,330.0,79.57B,No,1023.28,937.94,,960.6,727.87,181
86,SMTEL.BO,331.35,333.0,0.06K,Commercial Services,Miscellaneous Commercial Services,96.0,0.0,8.0,6.0,25.275,23.8214,1.01K,1.65K,594.35,47.35,5.99B,No,375.87,428.87,362.68,417.02,419.41,498
104,EXATO.BO,770.0,765.05,12.50K,Technology Services,Packaged Software,96.0,92.0,97.0,95.0,38.8857,34.375,43.82K,21.65K,785.95,266.0,7.75B,No,724.11,621.01,,644.3,458.69,191
128,TRUEGREEN.BO,210.7,209.85,21.87K,Process Industries,Textiles,95.0,81.0,69.0,82.0,14.2929,13.95,18.73K,18.73K,255.0,53.0,6.94B,No,222.8,201.12,135.5,204.61,167.26,497
129,MAYUR.BO,37.64,39.51,28.27K,Consumer Non-Durables,Apparel/Footwear,95.0,98.0,96.0,90.0,2.4429,2.0543,24.79K,17.47K,39.69,12.75,181.98M,No,29.43,25.42,22.18,26.75,22.56,497
131,TELGE.BO,226.95,231.5,12.00K,Industrial Services,Engineering & Construction,95.0,96.0,97.0,95.0,9.9857,9.1107,29.32K,28.32K,233.45,77.05,2.22B,No,191.37,173.6,122.69,176.56,129.78,235
136,IOLCP.NS,211.43,209.29,3230.93K,Process Industries,Chemicals: Specialty,95.0,94.0,93.0,97.0,10.6236,10.2793,5190.78K,5586.52K,219.04,67.19,62.06B,No,185.27,168.52,111.34,172.42,124.1,501
151,FCL.NS,58.71,58.43,30211.75K,Process Industries,Industrial Specialties,94.0,95.0,92.0,96.0,3.1907,3.0414,15369.67K,25244.15K,62.4,19.1,68.37B,No,49.75,43.5,31.24,44.73,34.19,501
152,TFCILTD.NS,143.17,141.69,4318.45K,Finance,Finance/Rental/Leasing,94.0,91.0,97.0,94.0,5.26,5.1721,12204.66K,8590.61K,147.65,51.0,66.28B,No,135.23,109.48,79.86,114.22,86.12,500
158,MACPOWER.NS,1870.4,1863.8,15.62K,Producer Manufacturing,Industrial Machinery,94.0,73.0,97.0,93.0,112.05,109.6072,57.78K,43.21K,2050.0,761.0,18.71B,No,1892.95,1619.55,1154.28,1658.87,1243.38,499
161,SANSERA.NS,4107.9,4135.8999,157.27K,Producer Manufacturing,Auto Parts: Oem,94.0,81.0,89.0,91.0,144.8214,132.3143,264.21K,199.44K,4170.0,1364.2,256.35B,No,3907.08,3579.97,2572.58,3646.92,2910.14,500
180,NEXUSSURGL.BO,35.22,32.02,23.59K,Distribution Services,Medical Distributors,94.0,98.0,96.0,92.0,3.4086,3.0129,7.77K,32.23K,35.4,13.26,192.72M,No,22.91,20.68,18.81,21.77,20.19,497
185,CORDSCABLE.NS,363.1,362.65,376.45K,Producer Manufacturing,Electrical Products,94.0,97.0,95.0,94.0,29.8186,29.4857,125.10K,657.51K,394.9,127.01,4.69B,No,278.18,237.49,197.17,242.41,204.71,500
205,CONFIPET.NS,87.84,90.66,3216.01K,Retail Trade,Specialty Stores,93.0,88.0,81.0,97.0,4.5014,4.4664,3566.46K,4576.88K,91.3,28.06,29.18B,No,78.83,77.54,54.26,78.58,62.23,501
225,SUVEN.NS,360.7,357.5,297.18K,Health Technology,Pharmaceuticals: Major,92.0,72.0,86.0,96.0,18.8643,18.8464,1300.82K,796.54K,403.35,124.11,101.92B,No,362.35,339.99,226.04,344.44,253.07,500
228,SICAGEN.NS,55.24,56.36,20.13K,Distribution Services,Wholesale Distributors,92.0,20.0,49.0,,2.2736,2.2664,70.09K,27.48K,74.06,24.35,2.19B,No,56.23,54.65,,56.13,,105
229,VINDHYATEL.NS,2818.3,2916.3999,61.02K,Industrial Services,Engineering & Construction,92.0,78.0,87.0,96.0,149.9357,148.6785,82.78K,130.40K,2952.6,963.9,33.40B,No,2579.84,2265.73,1657.47,2289.87,1775.57,501
238,LAURUSLABS.NS,1945.0,1937.0,1067.58K,Health Technology,Pharmaceuticals: Major,92.0,69.0,88.0,91.0,52.25,49.2,2726.94K,5094.13K,1955.0,823.1,1050.91B,No,1864.58,1742.54,1286.15,1764.21,1391.92,500
254,YASHHV.BO,954.95,951.35,32.75K,Producer Manufacturing,Electrical Products,92.0,60.0,84.0,92.0,32.8929,32.0322,109.01K,96.62K,1025.0,366.0,27.32B,No,942.76,937.3,648.5,948.31,732.77,429
257,EMAINDIA.BO,654.55,667.9,0.74K,Producer Manufacturing,Industrial Machinery,92.0,65.0,9.0,82.0,18.4071,15.6179,1.14K,0.95K,876.75,191.35,657.82M,No,677.66,713.17,574.76,699.42,628.06,498
265,WELINV.NS,2345.0,2339.0,0.28K,Finance,Investment Banks/Brokers,91.0,93.0,86.0,90.0,85.15,57.4214,3.04K,0.35K,2367.1,980.35,8.60B,No,2123.71,1950.48,1566.55,1995.8,1685.14,498
276,SHREEREF.BO,403.9,404.45,231.50K,Producer Manufacturing,Industrial Machinery,91.0,91.0,86.0,94.0,22.0821,21.8036,291.52K,248.65K,438.95,161.0,14.46B,No,392.76,359.69,255.35,360.35,280.22,276
283,SW1.BO,158.55,153.15,0.01K,Finance,Investment Banks/Brokers,91.0,81.0,94.0,84.0,5.5536,3.0179,0.83K,0.16K,195.0,74.4,142.70M,No,156.95,160.28,112.44,162.95,117.77,499
290,NAGPI.BO,190.1,205.1,2.62K,Electronic Technology,Electronic Equipment/Instruments,91.0,33.0,83.0,72.0,10.4,9.55,6.42K,2.64K,214.9,80.16,2.49B,No,199.62,172.17,147.62,175.78,157.28,497
314,OMAXE.NS,122.42,121.36,741.27K,Finance,Real Estate Development,90.0,96.0,94.0,85.0,10.5986,10.2693,4399.09K,12170.34K,138.89,62.5,22.48B,No,114.06,98.4,81.61,103.65,86.07,499
318,CITIPOR.BO,47.25,47.53,0.01K,Finance,Finance/Rental/Leasing,90.0,66.0,87.0,60.0,1.4414,0.7529,0.12K,0.01K,52.94,17.5,146.48M,No,48.2,42.35,37.33,43.18,41.0,496
