Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
1,Insurance Brokers/Services,Finance,97,9,0,71,RRFIN.BO
2,Cable/Satellite Tv,Consumer Services,92,97,93,92,NDLVENTURE.NS
3,Discount Stores,Retail Trade,86,53,1,9,SPICELOUNG.BO
4,Major Banks,Finance,78,62,72,83,"INDIANB.NS,UNIONBANK.NS,BANKINDIA.NS,SOUTHBANK.NS,FEDERALBNK.NS,MAHABANK.NS,RBLBANK.NS,CANBK.NS,BANDHANBNK.NS,BANKBARODA.NS,IDBI.NS,AXISBANK.NS,PNB.NS,INDUSINDBK.NS,CSBBANK.NS,CENTRALBK.NS,KOTAKBANK.NS,HDFCBANK.NS,IOB.NS"
5,Real Estate Investment Trusts,Finance,76,69,71,77,"FUNDVISER.BO,BIRET.BO,INDUSINVIT.BO,MINDSPACE.BO,NXST.BO,KRT.BO,EMBASSY.BO,ANNAINFRA.BO"
6,Precious Metals,Non-Energy Minerals,76,6,82,71,"MIDWEST.BO,DECNGOLD.BO"
7,Drugstore Chains,Retail Trade,72,64,78,76,MEDPLUS.NS
8,Computer Peripherals,Electronic Technology,72,75,62,69,"NETWEB.NS,PANACHE.NS,INDTONER.BO,CONTROLPR.NS"
9,Beverages: Non-Alcoholic,Consumer Non-Durables,71,61,60,77,"VALENCIA.BO,ORIBEVER.BO,VBL.NS"
10,Life/Health Insurance,Finance,71,58,66,72,"CANHLIFE.NS,MFSL.NS,SBILIFE.NS,STARHEALTH.NS,ICICIPRULI.NS,LICI.NS,NIVABUPA.NS,BAJAJFINSV.NS"
11,Electronic Equipment/Instruments,Electronic Technology,70,66,58,69,"CNCRD.BO,NAGPI.BO,POWERINDIA.NS,WAAREEINDO.NS,APLABPP.BO,APLAB.BO,APARINDS.NS,DIGILOGIC.BO,SHRADDHA.BO,SPECTRUM.NS,NITIRAJ.NS,TVSELECT.NS,DENORA.NS,JGTL.BO,HONAUT.NS,HINDHARD.BO,WEL.NS,GENUSPOWER.NS,HPL.NS"
12,Biotechnology,Health Technology,70,77,73,75,"TITANBIO.BO,RUBICON.NS,FERMENTA.BO,AKUMS.NS,HALEOSLABS.NS,ANL.BO,ANTHEM.NS,FABTECH.NS"
13,Specialty Insurance,Finance,67,70,66,77,"ICICIGI.NS,GICRE.NS"
14,Financial Publishing/Services,Commercial Services,67,59,66,66,"CARERATING.NS,ICRA.NS"
15,Motor Vehicles,Consumer Durables,65,51,54,58,"FORCEMOT.NS,ATHERENERG.NS,ZELIO.BO,TMCV.NS,SMLMAH.NS,EICHERMOT.NS,TVSMOTOR.NS,HEROMOTOCO.NS,SANDHAR.NS,M&M.NS,MARUTI.NS,HYUNDAI.NS,ATULAUTO.NS,TMPV.NS,ATLASCYCLE.NS,SEVL.BO,OLECTRA.NS,OLAELEC.NS"
16,Regional Banks,Finance,64,44,56,66,"KARURVYSYA.NS,TMB.NS,SBIN.NS,DCBBANK.NS,J&KBANK.NS,UJJIVANSFB.NS,AUBANK.NS,KTKBANK.NS,CUB.NS,CMBL.BO,SURYODAY.NS,EQUITASBNK.NS,ICICIBANK.NS,IDFCFIRSTB.NS,MONEYBOXX.NS,JAGSONSER.BO,CAPITALSFB.NS,JSFB.NS,FINOPB.NS,EMERALD.BO,DAMCAPITAL.NS"
17,Computer Communications,Electronic Technology,64,19,65,62,KERNEX.NS
18,Investment Trusts/Mutual Funds,Miscellaneous,63,63,63,61,"GROWW.NS,ALTIUSINVIT.BO,PSPLATINA.BO,ANANTAM.BO,ENERGYINF.BO,SUMMITSEC.NS,JINDCAP.BO"
