Rank,Industry,Sector,RS,1M_RS,3M_RS,6M_RS,Ticker
1,Insurance Brokers/Services,Finance,94,17,22,0,RRFIN.BO
2,Cable/Satellite Tv,Consumer Services,93,9,88,91,NDLVENTURE.NS
3,Computer Communications,Electronic Technology,90,93,82,81,KERNEX.NS
4,Precious Metals,Non-Energy Minerals,77,3,2,96,"MIDWEST.BO,DECNGOLD.NS"
5,Computer Peripherals,Electronic Technology,74,64,72,52,"SAMTELIN.BO,NETWEB.NS,PANACHE.NS,INDTONER.BO,CONTROLPR.NS"
6,Biotechnology,Health Technology,72,53,79,72,"TITANBIO.BO,RUBICON.NS,ANL.BO,HALEOSLABS.NS,ANTHEM.NS,AKUMS.NS,FERMENTA.NS,FABTECH.NS"
7,Alternative Power Generation,Utilities,72,59,73,59,"UEL.NS,CLEANMAX.NS,SUGSLLOYD.BO,NTPCGREEN.NS,KPEL.NS,KPIGREEN.NS,INOXGREEN.NS,POWERGRID.NS,WAAREERTL.NS,RELTD.NS"
8,Aerospace & Defense,Electronic Technology,69,78,74,68,"MTARTECH.NS,IDEAFORGE.NS,AEQUS.NS,KRISHNADEF.NS,PARAS.NS,SIKA.NS,BEL.NS,ROSSELLIND.NS,HAL.NS,BDL.NS,TANAA.BO,DRONACHRYA.BO"
9,Electrical Products,Producer Manufacturing,68,70,74,63,"HIIL.BO,MODINSU.BO,BHAGYANGR.NS,PRECWIRE.NS,TDPOWERSYS.NS,QPOWER.NS,YASHHV.BO,ATLANTAELE.NS,GVTD.BO,GVT&D.NS,COSPOWER.BO,KSHINTL.NS,KIRLOSENG.NS,CYBELEIND.BO,INDOTECH.NS,BHEL.NS,INDOSMC.BO,RISHABH.NS,RAMRAT.NS,RRKABEL.NS,HIRECT.NS,RNITAI.BO,ADVAIT.NS,FINCABLES.NS,ESABINDIA.NS,DIACABS.NS,KEI.NS,JDCABLES.BO,CGPOWER.NS,POLYCAB.NS,ACCORDTS.BO,ABB.NS,DYCL.NS,SIEMENS.NS,POWERICA.NS,SWITCHTE.BO,VOLTAMP.NS,S&SPOWER.NS,HBLENGINE.NS,RMC.NS,KECL.NS,MARSONS.NS,CORDSCABLE.NS,LGBBROSLTD.NS,PLAZACABLE.NS,ELECON.NS,ENRIN.NS,SWELECTES.NS,HIGHENE.BO,BONLON.NS,PARACABLES.NS,ALFATRAN.BO,SHILCTECH.NS,SERVOTECH.NS,BIRLACABLE.NS,VETO.NS,PROSTARM.NS,STDBAT.BO,NIPPOBATRY.NS,CLN.BO,FOCUS.NS,DCXINDIA.NS,SUZLON.NS,STARDELTA.BO,HONDAPOWER.NS,PANCARBON.BO,EXICOM.NS,LAKSELEC.BO,SALZERELEC.NS,BBL.NS,RTSPOWR.BO,ARE&M.NS,IKIO.NS,TARIL.NS,EVEREADY.NS,KAYCEEI.BO,DEL.BO,QUADFUTURE.NS,WSI.NS,EPIC.BO,VGUARD.NS,JYOTI.BO,HAVELLS.NS,JSLINDL.BO,PANAENERG.BO,CALCOM.BO,INOXWIND.NS,DLTNCBL.BO,URAVIDEF.NS"
10,Telecommunications Equipment,Electronic Technology,67,61,62,61,"HFCL.NS,ROSSTECH.NS,MIRCELECTR.NS,ADCINDIA.BO,VALIANT.BO,ASTRAMICRO.NS,TEJASNET.NS,DCI.NS,SMARTLINK.NS,AVANTEL.NS,DLINKINDIA.NS,KAVDEFENCE.NS,PUNJCOMMU.BO,PRECISIO.BO,BPL.NS"
11,Drugstore Chains,Retail Trade,65,22,58,82,MEDPLUS.NS
12,Semiconductors,Electronic Technology,64,67,71,39,"INA.NS,UTLSOLAR.NS,HIGHNESS.BO,GRERENEW.BO,EMMVEE.NS,MOSCHIP.NS,WEBELSOLAR.NS,PREMIERENE.NS,STERPOW.BO,SPELS.BO,WAAREEENER.NS,ADTECH.BO,METSL.BO,RIR.BO,VIKRAMSOLR.NS,SOLARIUM.BO"
13,Electric Utilities,Utilities,63,63,71,65,"ADANIPOWER.NS,SGMART.NS,ADANIENSOL.NS,ADANIGREEN.NS,NLCINDIA.NS,NAVA.NS,PTC.NS,TORNTPOWER.NS,JSWENERGY.NS,CESC.NS,NTPC.NS,TATAPOWER.NS,KARMAENG.NS,TEXINFRA.NS,WAA.BO,NHPC.NS,OMPOWER.NS,SJVN.NS,GIPCL.NS,PACEDIGITK.NS,EKI.BO,GITARENEW.BO,SWANCORP.NS"
14,Electronic Components,Electronic Technology,62,52,61,52,"UNIVCABLES.NS,CENTUM.NS,BCCFUBA.BO,ELPROINTL.NS,INCAP.BO,NWIL.BO,HEG.NS,MEIL.NS,GUJARATPOLY.BO,FINELINE.BO"
15,Beverages: Non-Alcoholic,Consumer Non-Durables,62,50,69,72,"ORIBEVER.BO,VBL.NS"
16,Electronic Equipment/Instruments,Electronic Technology,62,53,60,56,"APLABPP.BO,POWERINDIA.NS,APLAB.BO,CNCRD.BO,APARINDS.NS,WAAREEINDO.NS,DIGILOGIC.BO,NAGPI.BO,TVSELECT.NS,GENUSPOWER.NS,NITIRAJ.NS,DENORA.NS,HPL.NS,HINDHARD.BO,JGTL.BO,SHRADDHA.BO,HONAUT.NS,SPECTRUM.NS,WEL.NS"
17,Other Metals/Minerals,Non-Energy Minerals,62,59,48,65,"JTLDEFENCE.BO,PARMESHWAR.BO,RAPICUT.BO,VIDYAWIRES.NS,HINDCOPPER.NS,IMFA.NS,SCBL.BO,JAINREC.NS,SBCL.NS,HINDALCO.NS,POCL.NS,SERA.BO,HINDZINC.NS,ASHAPURMIN.NS,NMDC.NS,SANDUMA.NS,MIDHANI.NS,MMP.NS,MANAKALUCO.NS,CUBEXTUB.NS,GRAVITA.NS,NILE.NS,COCHINM.BO,MAITHANALL.NS,MCL.NS,CHROME.BO,NRL.NS,MOIL.NS,INDSILHYD.BO,SOUTHMG.BO,ZODJRDMKJ.BO,SHARVAYA.BO,SIYARAM.BO,KRUPALU.BO"
18,Real Estate Investment Trusts,Finance,61,21,42,67,"FUNDVISER.BO,ANNAINFRA.BO,KRT.BO,NXST.BO,MINDSPACE.BO,EMBASSY.BO,PSCELESTIA.BO,BIRET.BO"
19,Regional Banks,Finance,61,48,44,59,"TMB.NS,KTKBANK.NS,J&KBANK.NS,KARURVYSYA.NS,AUBANK.NS,UJJIVANSFB.NS,SBIN.NS,SURYODAY.NS,MONEYBOXX.NS,DCBBANK.NS,CUB.NS,EQUITASBNK.NS,JSFB.NS,CMBL.BO,CAPITALSFB.NS,JAGSONSER.BO,IDFCFIRSTB.NS,ICICIBANK.NS,DAMCAPITAL.NS,EMERALD.BO,FINOPB.NS"
20,Motor Vehicles,Consumer Durables,61,45,47,56,"ZELIO.BO,ATHERENERG.NS,FORCEMOT.NS,SMLMAH.NS,TMCV.NS,EICHERMOT.NS,TVSMOTOR.NS,SANDHAR.NS,HEROMOTOCO.NS,ATULAUTO.NS,OLECTRA.NS,M&M.NS,ATLASCYCLE.NS,MARUTI.NS,TMPV.NS,OLAELEC.NS,SEVL.BO,HYUNDAI.NS"
21,Auto Parts: Oem,Producer Manufacturing,60,53,53,57,"AMS.BO,OMAXAUTO.NS,LUMAXTECH.NS,SANSERA.NS,WHEELS.NS,BELRISE.NS,BHARATSE.NS,SHRIPISTON.NS,SJS.NS,CUMMINSIND.NS,RICOAUTO.NS,LUMAXIND.NS,UNIPARTS.NS,RACLGEAR.NS,GNA.NS,SEDEMAC.NS,JAMNAAUTO.NS,GABRIEL.NS,TENNIND.NS,MOTHERSON.NS,CARRARO.NS,DIVGIITTS.NS,PRICOLLTD.NS,JAYUSH.BO,ACGL.BO,RML.NS,SONACOMS.NS,KROSS.NS,FIEMIND.NS,NRBBEARING.NS,ASAL.NS,GSAUTO.BO,CIEINDIA.NS,TVSHLTD.NS,EMMFORCE.BO,MUNJALSHOW.NS,MUNJALAU.NS,INDNIPPON.NS,HIMTEK.BO,AUTOIND.NS,PORWAL.BO,HINDCOMPOS.NS,JMA.NS,ZFCVINDIA.NS,BOSCHLTD.NS,UNOMINDA.NS,VARROC.NS,SNL.BO,SWARAJENG.NS,NDRAUTO.NS,EXIDEIND.NS,MSUMI.NS,MENNPIS.NS,PPAP.NS,PRECAM.NS,JBMA.NS,MINDACORP.NS,BIMETAL.NS,ASKAUTOLTD.NS,AUTOAXLES.NS,SSWL.NS,SUPRAJIT.NS,SHARDAMOTR.NS,SUNCLAY.NS,ALICON.NS,ZFSTEERING.NS,SUNDRMBRAK.NS,ESCORTS.NS,KALYANIFRG.NS,REMSONSIND.NS,SHANTIGEAR.NS,MACPLASQ.BO,SAMKRG.BO,SALAUTO.BO,HITECHGEAR.NS,SUNDRMFAST.NS,RASANDIK.BO,ENKEIWHEL.BO,KINETICENG.BO,IGARASHI.NS,ISTLTD.BO,RANEHOLDIN.NS,UCAL.NS,SKFINDUS.NS,KRANTI.BO,JAGANLAM.BO,SINTERCOM.NS"
22,Integrated Oil,Energy Minerals,60,50,57,66,"IRMENERGY.NS,ANTELOPUS.NS,GNRL.NS,HINDOILEXP.NS,IOC.NS"
23,Marine Shipping,Transportation,60,56,44,62,"COASTCORP.NS,GESHIP.NS,DREDGECORP.NS,PPARIVAH.BO,GPPL.NS,GLOTTIS.NS,TRANSWORLD.NS"
