Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,ADR_Pct
1,SAMTELIN.BO,33.9,1.05K,Electronic Technology,Computer Peripherals,98.0,95.0,98.0,,1.73K,2.73K,33.91,2.83,240.28M,No,21.84,,23.61,,0.0
2,KARTKIN.BO,8015.85,0.00K,Finance,Financial Conglomerates,98.0,98.0,98.0,98.0,0.01K,0.01K,8015.85,987.0,1.96B,No,3241.37,1670.61,3655.52,2006.05,0.07
3,RANJITSE.BO,91.18,0.00K,Finance,Finance/Rental/Leasing,98.0,45.0,97.0,,0.66K,0.34K,122.1,6.24,245.04M,No,89.08,,86.79,,1.77
4,EASTSILK.NS,59.78,0.24K,Process Industries,Textiles,98.0,3.0,4.0,34.0,3.29K,0.69K,99.25,1.8,298.90M,No,64.97,57.52,64.21,70.94,4.55
5,MODMA.BO,66.75,0.40K,Producer Manufacturing,Metal Fabrication,98.0,98.0,98.0,,2.13K,7.06K,66.75,1.73,7.78B,No,25.65,,30.75,14.01,0.05
6,EMROCK.BO,292.55,2.04K,Consumer Durables,Homebuilding,98.0,76.0,98.0,,8.45K,4.76K,305.95,24.19,4.63B,No,268.61,,266.42,138.39,4.85
7,SALSAIN.BO,327.45,0.97K,Finance,Financial Conglomerates,98.0,0.0,97.0,98.0,0.72K,2.62K,828.95,13.89,2.28B,No,474.3,155.67,508.99,229.46,1.17
8,INDSOYA.BO,51.4,23.26K,Process Industries,Agricultural Commodities/Milling,98.0,98.0,98.0,98.0,2.33K,8.38K,53.48,5.16,534.56M,No,25.79,11.36,28.87,14.75,0.35
9,HIKLASS.BO,106.25,0.06K,Finance,Investment Banks/Brokers,98.0,97.0,98.0,98.0,3.21K,0.59K,106.25,6.49,3.21B,No,65.42,30.19,70.99,39.89,0.11
10,MAGNUS.BO,183.9,19.47K,Commercial Services,Miscellaneous Commercial Services,98.0,98.0,98.0,98.0,7.41K,7.92K,185.92,8.33,621.64M,No,102.62,42.55,112.45,59.72,1.36
11,SMTEL.BO,445.95,0.09K,Commercial Services,Miscellaneous Commercial Services,98.0,44.0,95.0,98.0,1.88K,0.18K,494.85,23.81,8.06B,No,433.22,,439.31,282.13,4.57
12,SURBHIN.BO,146.8,5.98K,Process Industries,Textiles,98.0,98.0,98.0,98.0,0.69K,3.27K,146.8,10.52,504.61M,No,71.37,34.09,80.45,44.55,1.34
13,SWANDEF.NS,1865.7,9.05K,Producer Manufacturing,Trucks/Construction/Farm Machinery,98.0,25.0,97.0,98.0,28.57K,25.75K,2489.0,147.38,98.29B,No,1899.51,,1904.97,1533.99,4.42
14,COVIDH.BO,77.49,0.20K,Technology Services,Packaged Software,98.0,88.0,98.0,98.0,2.24K,3.27K,77.49,1.72,651.61M,No,56.02,,61.03,32.23,0.01
15,COVANCE.BO,171.3,1.35K,Technology Services,Information Technology Services,98.0,13.0,85.0,97.0,6.16K,0.73K,171.34,9.42,3.79B,No,171.3,99.54,171.3,131.29,0.0
16,TRADWIN.BO,600.75,0.05K,Consumer Services,Other Consumer Services,98.0,36.0,2.0,,0.07K,0.08K,846.45,56.44,1.80B,No,574.34,,566.9,,4.74
17,ZSANMCOM.BO,82.81,0.10K,Finance,Investment Banks/Brokers,98.0,96.0,98.0,98.0,0.09K,0.17K,82.81,10.48,4.12B,No,53.32,23.05,59.66,30.39,0.0
18,STELLANT.BO,541.0,1.36K,Finance,Investment Banks/Brokers,98.0,1.0,4.0,97.0,6.38K,2.69K,683.8,24.07,2.99B,No,610.39,380.65,627.96,505.18,6.23
19,BELDING.BO,1418.0,0.56K,Producer Manufacturing,Metal Fabrication,98.0,5.0,98.0,98.0,0.58K,0.66K,1847.05,370.0,20.53B,No,1227.56,498.83,1358.16,753.64,4.58
20,SHANTAI.BO,92.41,3.54K,Process Industries,Textiles,98.0,95.0,98.0,98.0,7.55K,6.07K,92.41,11.15,693.08M,No,59.52,27.0,64.39,34.58,0.22
21,SIMANDHAR.BO,150.0,2.82K,Distribution Services,Wholesale Distributors,98.0,51.0,95.0,,9.82K,13.73K,151.95,21.5,458.54M,No,129.72,,132.0,,2.59
