Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
1,ISERA.BO,143.9,0.25K,Technology Services,Packaged Software,98.0,72.0,97.0,98.0,0.0,0.0,2.86K,0.51K,143.9,3.19,1.21B,No,121.1,55.86,128.9,77.74
2,SAMTELIN.BO,41.39,3.35K,Producer Manufacturing,Miscellaneous Manufacturing,98.0,1.0,87.0,98.0,3.8236,1.8493,11.00K,7.99K,72.95,1.89,293.37M,No,54.71,23.06,54.22,32.52
3,MRUTR.BO,89.06,4.28K,Finance,Investment Banks/Brokers,98.0,97.0,98.0,98.0,1.5371,0.0,3.18K,1.31K,89.06,0.56,64.34B,No,57.75,22.97,64.01,33.43
4,SALSAIN.BO,370.7,2.62K,Finance,Financial Conglomerates,98.0,98.0,16.0,98.0,21.4286,10.3714,0.93K,0.54K,828.95,14.58,2.58B,No,272.58,234.0,288.52,333.78
5,SESHACHAL.BO,77.73,0.16K,Technology Services,Information Technology Services,98.0,8.0,7.0,64.0,3.59,2.0029,0.87K,1.59K,105.31,2.39,53.97M,No,84.78,69.82,84.18,87.88
6,ARIHANT.NS,1137.9,1.62K,Finance,Real Estate Development,98.0,97.0,82.0,,75.925,75.3143,9.08K,11.71K,1225.0,39.65,12.36B,No,878.08,,910.21,
7,LIPPISYS.BO,275.7,1.05K,Producer Manufacturing,Industrial Machinery,98.0,97.0,99.0,98.0,11.2,7.8857,37.08K,16.59K,275.7,19.9,1.93B,No,190.09,75.28,211.84,101.53
8,APOLLOIN.BO,140.4,2.39K,Process Industries,Agricultural Commodities/Milling,98.0,97.0,98.0,98.0,2.4221,0.0,5.12K,0.47K,140.4,5.16,1.46B,No,90.78,35.23,100.67,50.69
9,TANDHANIN.BO,143.95,13.71K,Finance,Investment Banks/Brokers,98.0,36.0,97.0,98.0,6.9429,6.3857,2.92K,3.37K,164.0,10.48,7.16B,No,138.42,59.45,144.33,82.75
10,EASTSILK.NS,62.63,3.52K,Process Industries,Textiles,98.0,94.0,59.0,21.0,2.6493,2.4293,0.97K,0.94K,99.25,1.8,313.15M,No,51.97,65.51,52.62,60.9
11,MODMA.BO,47.6,1.50K,Producer Manufacturing,Metal Fabrication,98.0,2.0,16.0,98.0,3.8843,3.1443,2.91K,1.99K,85.79,1.1,5.55B,No,64.25,28.98,60.46,39.59
12,JTLDEFENCE.BO,599.8,6.39K,Non-Energy Minerals,Other Metals/Minerals,98.0,86.0,98.0,98.0,11.5536,11.4571,2.93K,1.97K,694.3,55.58,6.31B,No,507.35,199.95,532.62,263.41
13,CALLISTA.BO,186.5,0.82K,Consumer Durables,Home Furnishings,98.0,46.0,88.0,76.0,9.15,6.9464,2.62K,7.17K,225.95,8.33,1.41B,No,176.82,144.25,179.26,173.08
14,TRADWIN.BO,649.9,0.06K,Consumer Services,Other Consumer Services,98.0,87.0,80.0,11.0,25.3714,11.4214,0.03K,0.04K,846.45,47.04,1.95B,No,605.19,490.3,604.24,622.78
15,PARMSILK.BO,346.7,1.21K,Process Industries,Textiles,98.0,66.0,98.0,98.0,19.7714,7.3321,0.85K,2.06K,472.35,31.19,1.04B,No,269.86,132.97,301.97,167.11
16,SOURCEIND.BO,31.71,0.10K,Consumer Durables,Home Furnishings,98.0,97.0,98.0,98.0,0.5093,0.0,0.23K,0.91K,31.71,4.18,361.59M,No,21.52,10.2,23.94,13.38
17,KARTKIN.BO,8688.35,0.02K,Finance,Financial Conglomerates,98.0,38.0,87.0,98.0,162.2607,37.5964,0.02K,0.01K,10741.85,1087.8,2.12B,No,8559.32,4009.4,8443.18,5293.75
18,SMTEL.BO,427.45,2.64K,Commercial Services,Miscellaneous Commercial Services,98.0,54.0,23.0,87.0,28.3321,15.4714,0.64K,1.81K,594.35,28.96,7.72B,No,432.35,319.54,438.68,405.41
19,SANGINITA.NS,64.06,103.80K,Process Industries,Chemicals: Specialty,98.0,97.0,98.0,98.0,1.265,0.0007,164.59K,287.35K,68.02,9.09,1.66B,No,43.97,21.77,49.11,28.32
20,SPICEISLIN.BO,494.35,10.51K,Process Industries,Textiles,98.0,35.0,90.0,95.0,28.1643,27.275,19.43K,11.32K,549.0,49.68,3.08B,No,474.42,275.82,489.68,354.25
21,SURBHIN.BO,128.45,5.29K,Process Industries,Textiles,98.0,98.0,50.0,98.0,5.6986,2.4157,5.22K,6.29K,249.65,13.39,441.53M,No,119.67,69.02,106.04,90.7
22,RANJITSE.BO,58.22,0.86K,Finance,Finance/Rental/Leasing,98.0,40.0,5.0,91.0,3.645,3.0343,0.44K,0.05K,122.1,6.24,156.46M,No,63.19,,61.67,70.37
23,APPL.BO,295.5,44.00K,Distribution Services,Medical Distributors,98.0,94.0,96.0,97.0,14.0464,13.9036,17.17K,13.60K,296.15,32.32,5.07B,No,229.85,134.46,242.82,170.0
24,HIKLASS.BO,84.0,0.01K,Finance,Investment Banks/Brokers,98.0,92.0,20.0,98.0,1.3229,0.5229,0.80K,2.59K,108.35,10.02,2.54B,No,79.17,50.95,78.64,64.77
25,SHENTRA.BO,133.6,0.02K,Process Industries,Chemicals: Specialty,98.0,94.0,95.0,97.0,2.0571,0.7429,0.09K,0.22K,134.85,16.65,592.94M,No,105.65,62.79,112.35,79.57
26,CUPID.NS,230.95,11281.44K,Consumer Non-Durables,Household/Personal Care,98.0,89.0,97.0,97.0,8.8179,8.7114,29318.58K,29261.03K,234.5,30.21,310.55B,No,183.69,109.48,195.75,129.51
27,STELLANT.BO,836.0,0.99K,Finance,Investment Banks/Brokers,98.0,97.0,89.0,67.0,43.5714,31.0107,4.72K,11.06K,836.0,86.19,4.75B,No,586.12,518.16,619.31,617.77
28,SHANTAI.BO,92.27,91.87K,Process Industries,Textiles,98.0,38.0,65.0,98.0,0.2621,0.13,4.42K,0.11K,102.01,11.15,692.02M,No,95.64,51.94,94.85,69.93
29,MAXGROW.BO,84.14,1.17K,Commercial Services,Personnel Services,98.0,97.0,91.0,85.0,3.835,2.87,23.54K,38.14K,93.97,8.26,3.36B,No,60.77,49.24,64.92,57.49
30,ASIACAP.BO,89.58,0.70K,Finance,Finance/Rental/Leasing,98.0,95.0,96.0,98.0,1.8657,0.4486,1.41K,0.70K,96.62,17.37,276.98M,No,72.91,38.57,75.13,49.27
31,AXISOL.BO,367.2,8.86K,Technology Services,Information Technology Services,98.0,90.0,89.0,98.0,5.0821,3.8357,3.88K,1.23K,367.2,18.21,17.31B,No,319.8,188.52,331.97,244.39
32,STLTECH.NS,584.9,1919.36K,Technology Services,Information Technology Services,98.0,60.0,97.0,98.0,33.2607,27.0786,3121.47K,2367.10K,679.9,84.6,300.59B,No,571.67,271.9,581.7,348.75
33,BATLIBOI.NS,82.55,8.75K,Producer Manufacturing,Industrial Machinery,98.0,53.0,49.0,,4.0293,4.0164,43.09K,68.85K,97.45,15.7,3.90B,No,81.76,,81.27,
34,SIMANDHAR.BO,155.9,0.44K,Distribution Services,Wholesale Distributors,98.0,88.0,51.0,92.0,11.7286,8.2321,2.48K,6.80K,180.95,21.5,476.57M,No,146.58,,145.64,132.91
35,SIGMAADV.NS,654.7,146.02K,Technology Services,Information Technology Services,98.0,91.0,98.0,98.0,31.0464,25.0643,442.08K,268.44K,654.7,108.75,115.38B,No,522.25,279.87,554.55,330.01
36,SANCODE.BO,432.1,0.50K,Technology Services,Information Technology Services,97.0,96.0,96.0,98.0,5.4179,0.5679,2.60K,1.70K,432.1,68.0,2.24B,No,307.66,222.9,316.75,244.32
37,ACFSL.BO,67.64,1.20K,Finance,Investment Banks/Brokers,97.0,98.0,98.0,98.0,1.56,0.0,0.46K,0.72K,67.64,20.04,,No,43.21,25.95,44.82,28.56
38,EMROCK.BO,269.0,1.59K,Consumer Durables,Homebuilding,97.0,45.0,24.0,60.0,15.9071,15.8893,2.72K,3.27K,305.95,25.39,4.26B,No,268.41,223.25,266.32,266.88
39,COVANCE.BO,225.6,3.12K,Technology Services,Information Technology Services,97.0,90.0,87.0,88.0,15.2214,11.5393,8.48K,9.35K,270.0,26.67,5.00B,No,197.92,148.81,204.57,178.77
40,TRANSCHEM.BO,302.85,13.06K,Health Technology,Pharmaceuticals: Other,97.0,16.0,97.0,92.0,13.6643,11.1464,6.44K,8.88K,377.65,38.31,3.71B,No,309.21,185.35,319.2,220.62
41,PHCAP.BO,1015.05,2.76K,Finance,Investment Banks/Brokers,97.0,70.0,91.0,94.0,27.7214,27.7214,2.66K,1.98K,1035.0,165.05,3.05B,No,949.03,582.62,976.22,746.33
42,GLITTEKG.BO,65.12,5.12K,Non-Energy Minerals,Construction Materials,97.0,97.0,90.0,96.0,1.2036,0.2429,18.05K,10.52K,80.2,7.91,1.69B,No,47.12,35.43,50.0,46.82
43,SWANDEF.NS,2527.2,23.40K,Producer Manufacturing,Trucks/Construction/Farm Machinery,97.0,79.0,89.0,82.0,104.9572,101.5286,20.94K,24.66K,2550.0,337.65,133.14B,No,2170.53,1703.48,2238.41,1996.01
44,ARVAYA.BO,128.95,0.01K,Distribution Services,Medical Distributors,97.0,98.0,98.0,96.0,4.5914,0.63,0.24K,0.93K,145.0,23.0,6.19B,No,82.41,59.05,90.36,65.92
45,ARTEMISADR.BO,101.55,6.00K,Distribution Services,Food Distributors,97.0,95.0,98.0,96.0,0.1421,0.0,14.67K,0.60K,101.55,21.04,608.58M,No,80.98,49.55,82.86,53.92
46,PARMAX.BO,102.7,48.49K,Health Technology,Pharmaceuticals: Major,97.0,93.0,98.0,97.0,2.5157,0.9843,12.31K,34.59K,111.27,22.6,384.23M,No,76.51,43.3,83.51,48.93
47,INTEGFD.BO,141.85,6.20K,Process Industries,Agricultural Commodities/Milling,97.0,24.0,87.0,98.0,7.5464,7.2179,3.21K,1.44K,158.3,20.71,2.65B,No,144.62,76.02,145.52,95.55
48,VINRKLB.BO,25.0,0.20K,Health Technology,Pharmaceuticals: Major,97.0,1.0,1.0,96.0,0.7357,0.3836,1.42K,0.86K,46.65,4.5,150.70M,No,35.21,23.03,32.67,31.57
49,PHOTON.BO,334.6,0.09K,Finance,Investment Managers,97.0,98.0,98.0,97.0,4.2429,0.0,0.07K,0.04K,334.6,90.0,910.34M,No,208.14,137.36,235.85,161.08
50,CDG.BO,273.6,0.47K,Process Industries,Industrial Specialties,97.0,85.0,90.0,92.0,18.0321,17.4393,3.40K,1.98K,315.0,55.23,2.53B,No,252.16,152.87,262.04,187.54
51,SHAHFOOD.BO,404.75,0.10K,Consumer Non-Durables,Food: Specialty/Candy,97.0,98.0,98.0,96.0,13.1679,7.9821,0.58K,0.74K,421.4,97.55,9.44B,No,256.51,175.52,290.73,203.24
