Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
1,SAMTELIN.BO,41.7,40.94,45.69K,Producer Manufacturing,Miscellaneous Manufacturing,98.0,0.0,70.0,98.0,3.1929,2.3243,12.51K,13.77K,72.95,1.89,295.57M,No,47.31,53.72,24.75,52.82,33.47,247
2,SESHACHAL.BO,77.73,77.73,0.16K,Technology Services,Information Technology Services,98.0,94.0,7.0,38.0,1.3486,1.3486,0.80K,0.80K,105.31,2.39,53.97M,No,74.86,81.62,72.25,80.76,89.03,497
3,AXISOL.BO,538.75,513.1,14.99K,Technology Services,Information Technology Services,98.0,98.0,97.0,98.0,18.05,11.25,5.91K,12.32K,538.75,22.12,25.40B,No,386.69,348.38,202.06,361.39,261.55,497
4,APOLLOIN.BO,129.5,132.1,0.74K,Process Industries,Agricultural Commodities/Milling,98.0,89.0,98.0,98.0,2.7057,0.0,3.91K,2.72K,146.05,5.16,1.35B,No,131.08,103.52,40.52,107.24,54.72,498
5,SALSAIN.BO,390.25,374.3,0.51K,Finance,Financial Conglomerates,98.0,95.0,86.0,97.0,25.9571,19.6857,0.85K,0.93K,828.95,14.58,2.72B,No,374.88,294.25,249.66,300.24,342.43,498
6,MRUTR.BO,92.55,94.43,6.03K,Finance,Investment Banks/Brokers,98.0,96.0,98.0,98.0,2.0307,0.2771,4.35K,7.55K,100.23,0.56,66.86B,No,84.99,65.93,26.26,69.76,36.48,497
7,EASTSILK.NS,62.69,65.98,0.14K,Process Industries,Textiles,98.0,94.0,54.0,23.0,3.8964,3.4779,1.26K,2.73K,99.25,1.8,313.45M,No,58.0,53.29,65.54,53.72,60.51,500
8,ISERA.BO,143.9,143.9,0.50K,Technology Services,Packaged Software,98.0,52.0,97.0,98.0,0.0,0.0,2.99K,1.67K,143.9,3.69,1.21B,No,143.9,127.74,59.27,134.32,81.83,494
9,MODMA.BO,44.62,42.5,0.50K,Producer Manufacturing,Metal Fabrication,98.0,1.0,1.0,98.0,2.8129,1.8521,2.79K,0.98K,85.79,1.1,5.20B,No,47.04,58.99,30.32,56.56,40.71,497
10,ARIHANT.NS,1072.5,1096.8,6.17K,Finance,Real Estate Development,98.0,95.0,79.0,,63.5464,62.4464,9.00K,8.11K,1225.0,39.65,11.65B,No,1052.32,921.57,,933.73,,86
11,LIPPISYS.BO,234.8,239.55,1.89K,Producer Manufacturing,Industrial Machinery,98.0,33.0,99.0,98.0,6.3179,2.1929,34.65K,4.30K,281.2,20.5,1.64B,No,251.98,212.25,83.08,221.22,107.35,496
12,TANDHANIN.BO,135.0,136.5,8.46K,Finance,Investment Banks/Brokers,98.0,6.0,92.0,98.0,10.6714,10.1321,3.52K,4.56K,164.0,10.48,6.72B,No,147.04,144.76,65.43,146.39,86.97,498
13,SOURCEIND.BO,35.81,35.28,0.71K,Consumer Durables,Home Furnishings,98.0,97.0,98.0,98.0,0.69,0.1043,0.27K,0.60K,35.98,4.18,408.35M,No,30.21,24.39,11.26,25.96,14.46,497
14,JTLDEFENCE.BO,543.45,533.3,13.21K,Non-Energy Minerals,Other Metals/Minerals,98.0,5.0,95.0,98.0,18.6714,16.4464,2.25K,2.21K,694.3,55.58,5.72B,No,618.02,540.4,220.48,549.14,279.38,499
15,PARMSILK.BO,347.15,365.4,0.58K,Process Industries,Textiles,98.0,6.0,98.0,98.0,22.1571,16.55,0.96K,1.89K,472.35,31.19,1.04B,No,329.03,301.57,143.4,316.64,174.79,342
16,CALLISTA.BO,169.05,172.5,8.80K,Consumer Durables,Home Furnishings,98.0,21.0,74.0,48.0,6.9607,5.4607,2.37K,4.03K,225.95,8.33,1.44B,No,172.23,179.15,149.08,178.39,174.69,497
17,KARTKIN.BO,8500.0,8449.0,0.02K,Finance,Financial Conglomerates,98.0,15.0,45.0,98.0,196.2714,87.95,0.02K,0.01K,10741.85,1087.8,2.07B,No,8602.57,8441.07,4229.18,8375.24,5523.8,497
18,TRADWIN.BO,639.5,619.9,0.02K,Consumer Services,Other Consumer Services,98.0,79.0,34.0,15.0,32.9429,20.6286,0.03K,0.04K,846.45,47.04,1.92B,No,604.27,604.36,510.7,599.48,618.29,497
19,NEWMKTAVE.BO,57.27,56.15,0.00K,Finance,Investment Managers,98.0,96.0,98.0,98.0,1.1571,0.0,,,57.27,9.1,282.91M,No,46.47,40.45,20.65,42.0,25.83,498
20,CUPID.NS,294.86,289.87,45869.78K,Consumer Non-Durables,Household/Personal Care,98.0,95.0,98.0,98.0,11.6271,10.7757,31312.82K,31860.04K,295.0,32.87,396.49B,No,238.93,205.77,118.2,214.64,137.32,500
21,RANJITSE.BO,62.75,61.04,0.10K,Finance,Finance/Rental/Leasing,98.0,62.0,2.0,76.0,3.7021,2.9279,0.26K,0.21K,122.1,6.24,168.63M,No,60.95,62.04,,61.19,71.76,175
22,SMTEL.BO,424.65,444.55,0.74K,Commercial Services,Miscellaneous Commercial Services,98.0,52.0,55.0,80.0,29.875,21.5571,0.76K,1.72K,594.35,33.89,7.67B,No,478.97,446.85,336.8,442.64,412.92,498
23,ASIACAP.BO,100.6,98.7,0.36K,Finance,Finance/Rental/Leasing,98.0,72.0,97.0,98.0,1.9607,1.0429,1.00K,0.60K,100.6,17.37,311.06M,No,89.57,77.16,41.67,79.22,52.18,498
24,SHANTAI.BO,93.19,93.19,51.18K,Process Industries,Textiles,98.0,42.0,52.0,98.0,0.3271,0.2614,5.78K,14.30K,102.01,11.15,698.92M,No,92.42,94.9,53.9,94.27,72.35,494
25,VINRKLB.BO,35.51,33.82,2.17K,Health Technology,Pharmaceuticals: Major,98.0,77.0,25.0,94.0,0.8593,0.0907,1.43K,0.71K,46.65,4.5,214.05M,No,27.88,32.92,24.15,32.48,32.63,498
26,SANGINITA.NS,54.53,55.64,34.26K,Process Industries,Chemicals: Specialty,98.0,71.0,98.0,98.0,1.3157,0.0,147.32K,285.21K,68.02,9.23,1.41B,No,59.77,48.23,23.46,50.91,29.6,497
27,SPICEISLIN.BO,484.6,489.9,13.84K,Process Industries,Textiles,98.0,22.0,87.0,94.0,20.1464,20.0821,17.79K,6.07K,549.0,70.55,3.02B,No,497.41,489.93,290.13,492.91,363.2,495
28,BATLIBOI.NS,88.23,91.37,47.93K,Producer Manufacturing,Industrial Machinery,98.0,70.0,59.0,,6.3843,6.0871,77.78K,248.15K,106.5,15.7,4.17B,No,87.03,83.51,,83.55,,85
29,MAXGROW.BO,92.52,88.12,4.09K,Commercial Services,Personnel Services,98.0,94.0,95.0,79.0,3.0286,1.7286,24.46K,17.31K,93.97,10.52,3.70B,No,82.96,65.52,51.42,69.38,58.92,497
30,STLTECH.NS,660.8,651.0,2986.78K,Technology Services,Information Technology Services,98.0,91.0,94.0,98.0,31.9571,25.1429,2634.22K,2285.53K,683.5,84.6,339.59B,No,578.9,583.89,292.61,591.25,369.44,500
31,ACFSL.BO,77.99,82.09,1.20K,Finance,Investment Banks/Brokers,98.0,98.0,98.0,98.0,2.1879,0.0493,0.73K,1.92K,82.09,20.04,,No,65.91,51.38,28.53,54.15,32.56,499
32,SHENTRA.BO,130.9,130.9,0.00K,Process Industries,Chemicals: Specialty,98.0,84.0,94.0,97.0,1.7679,0.9464,0.10K,0.07K,134.85,16.65,580.95M,No,128.73,112.47,66.68,116.96,82.37,215
33,RAMGOPOLY.BO,37.02,36.3,201.03K,Producer Manufacturing,Miscellaneous Manufacturing,98.0,98.0,95.0,94.0,1.4614,0.2914,5.33K,7.40K,37.04,5.12,536.79M,No,25.99,20.19,17.76,21.47,20.55,496
34,SURBHIN.BO,115.05,121.1,0.25K,Process Industries,Textiles,98.0,98.0,3.0,98.0,7.7879,3.5857,4.82K,7.33K,249.65,14.05,395.47M,No,109.91,108.4,73.22,102.24,94.03,496
35,HIKLASS.BO,87.0,87.54,12.25K,Finance,Investment Banks/Brokers,98.0,93.0,9.0,97.0,0.8464,0.4121,0.66K,0.36K,108.35,11.04,2.63B,No,80.88,79.08,53.44,78.79,68.95,495
36,SANCODE.BO,503.75,493.9,2.00K,Technology Services,Information Technology Services,98.0,97.0,97.0,98.0,7.6143,1.4464,2.92K,2.35K,503.75,90.0,3.76B,No,430.07,343.48,235.67,364.09,268.99,495
37,STELLANT.BO,917.5,950.55,17.83K,Finance,Investment Banks/Brokers,98.0,98.0,96.0,80.0,52.55,33.5679,6.49K,17.71K,1058.8,98.93,5.22B,No,787.58,657.23,553.0,678.36,634.64,498
38,PARMAX.BO,115.45,113.2,0.36K,Health Technology,Pharmaceuticals: Major,97.0,90.0,98.0,98.0,2.7021,1.0657,14.15K,26.48K,115.45,22.6,431.93M,No,105.82,86.1,45.95,91.1,51.87,496
39,SIGMAADV.NS,687.15,683.85,196.96K,Technology Services,Information Technology Services,97.0,91.0,98.0,98.0,34.0964,27.525,410.35K,337.75K,721.5,108.75,121.10B,No,616.5,566.32,301.4,584.31,348.1,499
40,APPL.BO,258.2,263.45,44.80K,Distribution Services,Medical Distributors,97.0,72.0,89.0,97.0,10.5429,7.6857,16.94K,19.08K,310.25,32.32,4.43B,No,266.44,243.13,143.6,244.11,175.12,218
41,TRANSCHEM.BO,307.25,307.0,2.79K,Health Technology,Pharmaceuticals: Other,97.0,19.0,91.0,91.0,16.0964,15.4929,6.65K,9.62K,377.65,38.45,3.76B,No,328.21,320.51,193.68,322.17,225.4,495
42,GLITTEKG.BO,69.03,70.43,27.50K,Non-Energy Minerals,Construction Materials,97.0,96.0,93.0,94.0,1.3814,0.14,14.76K,14.26K,80.2,7.91,1.79B,No,62.19,50.91,37.27,52.9,48.59,495
