Rank,Ticker,Price,DVol,Sector,Industry,RS,1M_RS,3M_RS,6M_RS,AvgVol,AvgVol10,52WKH,52WKL,%Dist_52H
32,TAKE.NS,38.09,694.43K,Technology Services,Information Technology Services,98.0,14.0,83.0,98.0,1111.24K,587.17K,49.94,6.51,-23.73
35,CUPID.NS,80.65,8989.80K,Consumer Non-Durables,Household/Personal Care,97.0,69.0,51.0,97.0,50069.65K,13732.82K,105.39,11.15,-23.47
45,MAHASTEEL.NS,983.2,5.79K,Non-Energy Minerals,Steel,97.0,98.0,90.0,97.0,12.38K,15.91K,1050.0,221.9,-6.36
50,PFOCUS.NS,320.25,3757.40K,Consumer Services,Movies/Entertainment,97.0,97.0,96.0,96.0,5648.04K,4355.34K,325.85,85.0,-1.72
68,MTARTECH.NS,3555.6,351.75K,Electronic Technology,Aerospace & Defense,96.0,69.0,96.0,97.0,597.92K,352.31K,3920.0,1155.6,-9.3
69,UNIVPHOTO.NS,428.0,0.01K,Consumer Durables,Electronics/Appliances,96.0,95.0,97.0,95.0,35.27K,124.35K,515.8,174.0,-17.02
71,STLTECH.NS,192.63,8318.67K,Technology Services,Information Technology Services,96.0,96.0,97.0,95.0,8151.70K,9817.49K,205.73,58.86,-6.37
73,VENUSREM.NS,878.45,56.35K,Health Technology,Pharmaceuticals: Major,96.0,96.0,88.0,97.0,35.36K,79.82K,944.75,277.95,-7.02
75,NGLFINE.NS,2241.0,10.52K,Health Technology,Pharmaceuticals: Major,96.0,80.0,97.0,95.0,6.68K,5.26K,2575.0,980.0,-12.97
76,ACUTAAS.NS,2527.3,661.19K,Health Technology,Pharmaceuticals: Major,96.0,96.0,96.0,96.0,419.00K,610.30K,2580.0,1059.0,-2.04
86,WAAREEINDO.NS,405.8,201.34K,Electronic Technology,Electronic Equipment/Instruments,96.0,90.0,76.0,,80.57K,73.24K,725.0,165.07,-44.03
88,BGRENERGY.NS,272.1,59.20K,Industrial Services,Engineering & Construction,96.0,15.0,44.0,82.0,110.44K,105.71K,490.8,74.0,-44.56
91,ATHERENERG.NS,776.65,2971.53K,Consumer Durables,Motor Vehicles,96.0,93.0,88.0,92.0,1949.50K,3257.98K,795.9,288.15,-2.42
92,NORBTEAEXP.NS,88.2,0.20K,Consumer Non-Durables,Food: Specialty/Candy,96.0,59.0,93.0,95.0,3.62K,1.44K,99.35,30.5,-11.22
