Rank,Ticker,Price,Prev_Close,Gain_%,Dist_52WH_%,RS_Rank,Above_SMA20,Above_SMA50,Above_SMA200,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
1,OMNI.NS,732.6,610.5,20.0,0.0,56,YES,YES,,10208.16K,Producer Manufacturing,Metal Fabrication,97.0,97.0,96.0,,35.0571,34.8,544.06K,361.48K,732.6,176.25,90.60B,No,580.11,529.43,,548.75,,105
2,ELANTAS.NS,11847.5,9873.0,20.0,0.0,717,YES,YES,,40.04K,Process Industries,Industrial Specialties,78.0,93.0,84.0,,397.0714,323.9286,1.12K,0.60K,11847.5,8900.0,93.92B,No,9589.42,9831.96,,10010.85,,75
3,DIKSHA.BO,144.0,120.0,20.0,0.0,830,YES,,,33.60K,Producer Manufacturing,Miscellaneous Manufacturing,75.0,93.0,,,4.9214,4.4571,69.47K,5.76K,144.0,100.05,748.31M,No,119.17,,,,,30
4,SANJIVIN.BO,191.5,159.6,19.99,28.76,1435,YES,YES,YES,142.72K,Health Technology,Pharmaceuticals: Major,57.0,93.0,71.0,54.0,14.7393,14.6179,12.67K,10.58K,268.8,126.0,2.35B,No,152.57,149.88,177.57,153.65,164.41,496
5,ATIL.BO,126.0,105.13,19.85,19.23,1188,YES,YES,,178.00K,Producer Manufacturing,Trucks/Construction/Farm Machinery,64.0,97.0,84.0,58.0,5.5114,4.7957,19.52K,12.40K,156.0,77.0,1.72B,No,88.12,87.4,,89.76,95.64,148
6,NIYOGIN.BO,47.73,40.31,18.41,42.08,1931,YES,YES,NO,447.79K,Finance,Finance/Rental/Leasing,43.0,83.0,34.0,53.0,2.3371,2.3321,46.11K,38.12K,82.4,30.2,5.31B,No,42.6,43.38,48.13,43.67,43.4,496
7,FREDUN.BO,1313.3,1109.75,18.34,1.38,75,YES,YES,YES,292.23K,Health Technology,Pharmaceuticals: Major,96.0,98.0,93.0,97.0,74.9429,70.0393,41.46K,28.99K,1331.7,338.73,21.72B,No,950.47,880.14,666.75,913.25,718.25,499
8,ASSOCIATED.BO,119.8,102.0,17.45,9.58,738,YES,YES,YES,8.50K,Process Industries,Industrial Specialties,77.0,86.0,71.0,75.0,2.725,2.0107,0.70K,0.25K,132.5,72.0,161.97M,No,94.89,95.23,100.06,95.37,98.88,497
9,EUPHORIAIT.BO,32.45,28.0,15.89,45.87,3039,YES,YES,NO,15.60K,Technology Services,Information Technology Services,11.0,72.0,45.0,12.0,1.035,0.5321,2.01K,0.84K,59.95,22.53,94.17M,No,28.01,30.62,36.39,30.66,32.52,497
10,SHHARICH.BO,164.2,141.75,15.84,1.38,498,YES,YES,YES,23.83K,Process Industries,Chemicals: Specialty,84.0,97.0,86.0,81.0,7.2143,6.9,1.78K,1.16K,166.5,87.65,1.04B,No,132.46,118.93,113.86,123.48,113.95,496
