RS_Rank,Ticker,Price,Prev_Close,Gain_%,Dist_52WH_%,Above_SMA20,Above_SMA50,Above_SMA200,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
1109,SAMBANDAM.BO,126.0,105.0,20.0,5.97,YES,YES,YES,5.25K,Process Industries,Textiles,67.0,86.0,65.0,73.0,6.775,3.3857,0.48K,0.34K,134.0,87.0,537.34M,No,106.42,107.52,104.67,109.03,104.91,497
603,KRONOX.NS,186.19,155.16,20.0,0.0,YES,YES,YES,5888.82K,Process Industries,Chemicals: Specialty,81.0,91.0,88.0,85.0,10.1836,9.5257,182.07K,275.99K,186.19,96.0,6.91B,No,159.32,154.13,137.04,157.33,136.29,499
888,VICTMILL.BO,7373.45,6144.5498,20.0,0.0,YES,YES,YES,1.23K,Process Industries,Textiles,73.0,96.0,80.0,65.0,280.0893,258.2714,0.03K,0.04K,7373.45,4501.0,726.73M,No,5275.86,5236.84,5795.5,5365.68,5654.02,497
1097,KJMCCORP.BO,66.94,56.01,19.51,23.06,YES,YES,YES,24.17K,Finance,Investment Banks/Brokers,67.0,90.0,79.0,75.0,4.8764,4.1357,0.64K,0.80K,87.0,41.0,262.84M,No,55.75,55.33,54.27,56.45,53.1,497
371,BALRAMCHIN.NS,767.1,650.8,17.87,1.77,YES,YES,YES,33513.02K,Process Industries,Agricultural Commodities/Milling,88.0,92.0,90.0,90.0,36.1143,34.9357,707.25K,829.40K,780.95,393.55,162.22B,No,635.27,592.47,503.41,603.15,530.33,500
996,BANARISUG.NS,4240.7,3617.3999,17.23,2.24,YES,YES,YES,71.29K,Process Industries,Agricultural Commodities/Milling,70.0,90.0,73.0,69.0,124.3,122.3857,0.44K,0.60K,4338.0,3105.2,53.18B,No,3528.87,3512.63,3586.68,3561.08,3596.17,499
901,METSL.BO,163.05,139.9,16.55,2.86,YES,YES,YES,89.39K,Electronic Technology,Semiconductors,73.0,80.0,77.0,83.0,9.9107,8.6607,4.98K,6.51K,167.85,106.5,898.44M,No,146.3,143.21,134.55,144.99,138.81,496
983,SOLARA.NS,640.0,550.05,16.35,10.11,YES,YES,YES,6915.51K,Health Technology,Pharmaceuticals: Major,70.0,84.0,65.0,80.0,23.9929,23.4714,282.60K,166.09K,712.0,422.0,30.88B,No,520.71,552.2,528.47,550.15,515.63,500
331,KWIL.NS,43.47,37.71,15.27,1.87,YES,YES,,101230.79K,Consumer Non-Durables,Food: Meat/Fish/Dairy,89.0,94.0,95.0,,2.16,2.155,16115.11K,26162.70K,44.3,22.24,102.14B,No,34.57,34.38,,34.75,,129
192,INDOBORAX.NS,498.15,433.85,14.82,2.3,YES,YES,YES,6099.19K,Process Industries,Chemicals: Specialty,93.0,92.0,92.0,94.0,28.8321,28.6393,539.99K,348.94K,509.9,224.0,15.99B,No,418.41,410.1,300.48,417.12,320.12,500
