Ticker,Days,Start_Date,End_Date,Sufficient,3M_Return,6M_Return,9M_Return,12M_Return,Strength_Stock,Strength_Ref,RS,Recomputed_RS,Match
CALLISTA.BO,158,2025-08-25,2026-04-22,Short: 158d,0.6327,2.6952,11.6649,11.6649,5.4581,-0.0255,662.67,662.67,OK
TRADWIN.BO,105,2025-10-27,2026-04-22,Short: 105d,-0.1596,8.7617,8.7617,8.7617,5.1932,-0.0255,635.49,635.49,OK
RANJITSE.BO,85,2025-12-02,2026-04-22,Short: 85d,1.2141,7.7786,7.7786,7.7786,5.1528,-0.0255,631.35,631.35,OK
VINRKLB.BO,65,2026-01-13,2026-04-22,Short: 65d,4.6385,5.2119,5.2119,5.2119,4.9825,-0.0255,613.87,613.87,OK
OMEGAIN.BO,436,2024-04-22,2026-04-22,Sufficient,1.4153,2.9232,13.1928,5.1516,4.8196,-0.0255,597.16,597.16,OK
SURBHIN.BO,495,2024-04-22,2026-04-22,Sufficient,2.3754,3.5174,5.9903,9.2857,4.7088,-0.0255,585.79,585.79,OK
ZSANMCOM.BO,494,2024-04-22,2026-04-21,Sufficient,3.8515,4.6081,5.4857,5.4857,4.6565,-0.0255,580.42,580.42,OK
INDSOYA.BO,495,2024-04-22,2026-04-22,Sufficient,3.7168,5.2967,6.6546,3.3385,4.5447,-0.0255,568.95,568.95,OK
BELDING.BO,311,2024-04-22,2026-04-22,Sufficient,1.9933,3.3964,4.5209,7.4751,3.8758,-0.0255,500.31,500.31,OK
MSCTC.BO,148,2024-12-30,2026-04-22,Short: 148d,0.0355,3.2595,7.9832,7.9832,3.8594,-0.0255,498.63,498.63,OK
UPROTECH.BO,89,2025-11-28,2026-04-22,Short: 89d,1.7965,5.1657,5.1657,5.1657,3.818,-0.0255,494.38,494.38,OK
SHANTAI.BO,344,2024-04-22,2026-04-22,Sufficient,2.6072,4.8567,4.2752,4.2109,3.7114,-0.0255,483.45,483.45,OK
EASTINDIA.BO,163,2024-12-30,2026-04-22,Short: 163d,-0.0987,0.6504,8.9801,8.9801,3.6827,-0.0255,480.5,480.5,OK
SERIND.BO,159,2025-05-20,2026-04-22,Short: 159d,0.6667,3.6344,6.6736,6.6736,3.663,-0.0255,478.48,478.48,OK
GLITTEKG.BO,301,2024-12-30,2026-04-22,Sufficient,1.3986,3.0425,3.3366,8.7834,3.5919,-0.0255,471.18,471.18,OK
GDLLEAS.BO,160,2025-08-25,2026-04-22,Short: 160d,-0.4473,0.8345,8.5634,8.5634,3.4134,-0.0255,452.86,452.86,OK
VRWODAR.BO,340,2024-04-25,2026-04-22,Sufficient,2.0144,2.9522,4.5561,4.6122,3.2299,-0.0255,434.03,434.03,OK
KARTKIN.BO,495,2024-04-22,2026-04-22,Sufficient,2.918,3.1036,3.3087,3.7487,3.1994,-0.0255,430.91,430.91,OK
SPICEISLIN.BO,423,2024-04-22,2026-04-22,Sufficient,0.4595,2.9168,5.6504,6.1575,3.1287,-0.0255,423.66,423.66,OK
SWADEIN.BO,319,2024-04-22,2026-04-22,Sufficient,-0.2088,0.4853,2.9535,12.4912,3.1025,-0.0255,420.96,420.96,OK
SIMANDHAR.BO,76,2025-12-22,2026-04-22,Short: 76d,0.9823,4.3237,4.3237,4.3237,2.9872,-0.0255,409.13,409.13,OK
ISTRNETWK.BO,229,2025-01-06,2026-04-22,Short: 229d,-0.0277,0.3286,3.3519,10.9115,2.9073,-0.0255,400.94,400.94,OK
MIDWEST.BO,309,2024-12-30,2026-04-22,Sufficient,-0.1385,0.8721,2.7123,10.1647,2.6944,-0.0255,379.09,379.09,OK
MAXGROW.BO,58,2025-08-25,2026-04-22,Short: 58d,2.5921,2.5921,2.5921,2.5921,2.5921,-0.0255,368.59,368.59,OK
CHMBBRW.BO,278,2024-12-30,2026-04-22,Sufficient,1.1196,0.0428,2.4306,8.1308,2.5687,-0.0255,366.19,366.19,OK
APPL.BO,122,2025-09-30,2026-04-22,Short: 122d,1.1333,3.3022,3.3022,3.3022,2.4346,-0.0255,352.43,352.43,OK
TITANBIO.BO,495,2024-04-22,2026-04-22,Sufficient,1.4175,0.8165,4.4256,3.875,2.3905,-0.0255,347.9,347.9,OK
BIZOTIC.BO,304,2025-01-07,2026-04-22,Sufficient,-0.1609,0.4751,3.0014,8.7742,2.3858,-0.0255,347.42,347.42,OK
GUJINJEC.BO,324,2024-12-30,2026-04-22,Sufficient,1.3333,3.4249,2.8551,2.9233,2.374,-0.0255,346.21,346.21,OK
CUPID.NS,496,2024-04-22,2026-04-22,Sufficient,0.2315,1.2245,3.2985,6.6632,2.3299,-0.0255,341.68,341.68,OK
HYPERSOFT.BO,221,2025-01-06,2026-04-22,Short: 221d,0.8372,1.1477,1.9093,6.6908,2.2844,-0.0255,337.02,337.02,OK
RSTL.BO,249,2024-04-26,2026-04-22,Short: 249d,0.8947,1.9423,1.1656,6.4453,2.2685,-0.0255,335.39,335.39,OK
ASIACAP.BO,495,2024-04-22,2026-04-22,Sufficient,2.2516,2.2516,2.2516,2.2516,2.2516,-0.0255,333.65,333.65,OK
EMAINDIA.BO,222,2024-12-30,2026-04-22,Short: 222d,1.0795,3.7067,2.7326,2.6086,2.2414,-0.0255,332.6,332.6,OK
TAKE.NS,495,2024-04-22,2026-04-22,Sufficient,0.1566,1.5823,3.9243,4.7197,2.1079,-0.0255,318.91,318.91,OK
ONIXSOLAR.BO,284,2024-12-30,2026-04-22,Sufficient,2.3733,1.1989,3.4837,1.0819,2.1022,-0.0255,318.33,318.33,OK
AMITSEC.BO,203,2025-05-19,2026-04-22,Short: 203d,0.3778,0.3861,2.1448,6.9052,2.0383,-0.0255,311.77,311.77,OK
STLTECH.NS,496,2024-04-22,2026-04-22,Sufficient,2.093,1.4854,1.5403,2.5259,1.9475,-0.0255,302.45,302.45,OK
JETMALL.BO,174,2024-12-30,2026-04-22,Short: 174d,0.3573,2.6047,3.1892,3.1892,1.9395,-0.0255,301.63,301.63,OK
APIS.BO,495,2024-04-22,2026-04-22,Sufficient,-0.3077,0.8594,3.9291,4.7052,1.7757,-0.0255,284.82,284.82,OK
TRANSCHEM.BO,324,2024-12-30,2026-04-22,Sufficient,-0.009,1.8433,3.161,3.8056,1.7584,-0.0255,283.04,283.04,OK
MTARTECH.NS,496,2024-04-22,2026-04-22,Sufficient,0.9769,1.378,2.4319,2.7391,1.7005,-0.0255,277.11,277.11,OK
TELECANOR.BO,281,2024-12-30,2026-04-22,Sufficient,0.0764,2.598,2.4357,3.1628,1.6698,-0.0255,273.96,273.96,OK
PHRMASI.BO,300,2024-12-30,2026-04-21,Sufficient,-0.0363,2.3666,2.4969,3.3111,1.6204,-0.0255,268.88,268.88,OK
IBINFO.BO,305,2024-12-30,2026-04-22,Sufficient,0.9914,1.2883,2.4299,2.3929,1.6188,-0.0255,268.72,268.72,OK
AVAX.BO,189,2025-01-14,2026-04-22,Short: 189d,0.8225,2.2674,1.9363,1.9363,1.557,-0.0255,262.38,262.38,OK
PHCAP.BO,324,2024-12-30,2026-04-22,Sufficient,0.2034,2.6254,2.3932,2.248,1.5347,-0.0255,260.09,260.09,OK
PANKAJPO.BO,318,2024-12-30,2026-04-22,Sufficient,0.0663,1.6304,2.3611,3.0333,1.4315,-0.0255,249.5,249.5,OK
SPML.BO,14,2026-04-01,2026-04-22,Short: 14d,1.3714,1.3714,1.3714,1.3714,1.3714,-0.0255,243.34,243.34,OK
AMS.BO,33,2026-03-02,2026-04-22,Short: 33d,1.3604,1.3604,1.3604,1.3604,1.3604,-0.0255,242.21,242.21,OK
GENESIS.BO,493,2024-04-22,2026-04-21,Sufficient,0.0969,-0.1529,2.8316,3.8866,1.3518,-0.0255,241.32,241.32,OK
SIZEMASTER.BO,302,2024-12-31,2026-04-22,Sufficient,0.9406,1.6518,1.5438,1.6518,1.3457,-0.0255,240.7,240.7,OK
FUNDVISER.BO,310,2024-12-30,2026-04-22,Sufficient,0.9538,1.1891,1.409,2.178,1.3367,-0.0255,239.78,239.78,OK
MODINSU.BO,324,2024-12-30,2026-04-22,Sufficient,0.5389,1.4533,1.8784,2.2133,1.3246,-0.0255,238.53,238.53,OK
DHRUVCA.BO,296,2024-12-30,2026-04-22,Sufficient,1.4436,1.3941,1.2601,0.6177,1.2318,-0.0255,229.01,229.01,OK
CITYSQUARE.BO,85,2025-09-17,2026-04-21,Short: 85d,0.933,1.4002,1.4002,1.4002,1.2133,-0.0255,227.12,227.12,OK
SALSTEEL.NS,495,2024-04-22,2026-04-22,Sufficient,0.3545,1.0211,2.307,1.9905,1.2055,-0.0255,226.31,226.31,OK
BGRENERGY.NS,495,2024-04-22,2026-04-22,Sufficient,0.0131,-0.0675,2.3811,3.6107,1.1901,-0.0255,224.73,224.73,OK
BRRL.BO,212,2024-12-31,2026-04-22,Short: 212d,0.7868,1.7321,1.4342,1.1656,1.1811,-0.0255,223.81,223.81,OK
LIPPISYS.BO,320,2024-12-30,2026-04-22,Sufficient,0.7744,0.9721,1.5588,1.8256,1.1811,-0.0255,223.8,223.8,OK
RGIL.BO,495,2024-04-22,2026-04-22,Sufficient,0.4647,0.4058,2.0643,2.378,1.1555,-0.0255,221.18,221.18,OK
RAPICUT.BO,324,2024-12-30,2026-04-22,Sufficient,0.5265,1.814,1.2661,1.5607,1.1388,-0.0255,219.46,219.46,OK
CDG.BO,181,2024-12-30,2026-04-22,Short: 181d,-0.0842,2.837,1.4769,1.4769,1.1245,-0.0255,218.0,218.0,OK
GARNET.BO,324,2024-12-30,2026-04-22,Sufficient,0.4638,0.3832,1.4379,2.7922,1.1082,-0.0255,216.33,216.33,OK
SPACAPS.BO,255,2024-06-26,2026-04-22,Sufficient,0.2391,0.483,1.9932,2.5772,1.1063,-0.0255,216.13,216.13,OK
VENUSREM.NS,495,2024-04-22,2026-04-22,Sufficient,0.3812,1.2798,1.0982,2.3777,1.1036,-0.0255,215.86,215.86,OK
INTEGFD.BO,209,2024-12-30,2026-04-22,Short: 209d,1.762,1.1906,0.485,0.242,1.0883,-0.0255,214.29,214.29,OK
SATTRIX.BO,430,2024-06-10,2026-04-22,Sufficient,0.1573,0.4302,1.35,3.335,1.086,-0.0255,214.04,214.04,OK
AUTOINT.BO,495,2024-04-22,2026-04-22,Sufficient,-0.4774,-0.4699,1.4045,5.4425,1.0844,-0.0255,213.89,213.89,OK
PRECWIRE.NS,496,2024-04-22,2026-04-22,Sufficient,0.7627,0.9341,1.0682,1.8687,1.0793,-0.0255,213.36,213.36,OK
RRFIN.BO,448,2024-04-22,2026-04-22,Sufficient,-0.2315,-0.2527,0.9433,5.163,1.0781,-0.0255,213.24,213.24,OK
VEL.BO,492,2024-04-22,2026-04-22,Sufficient,0.0895,0.4788,1.8451,2.8684,1.0743,-0.0255,212.84,212.84,OK
APTPACK.BO,264,2024-12-30,2026-04-22,Sufficient,0.5206,0.9313,1.18,2.2154,1.0736,-0.0255,212.77,212.77,OK
MEERA.BO,494,2024-04-22,2026-04-22,Sufficient,1.035,1.2798,0.8474,1.1501,1.0695,-0.0255,212.35,212.35,OK
SHIVAM.BO,196,2025-01-07,2026-04-22,Short: 196d,0.7814,0.9478,1.471,1.3444,1.0652,-0.0255,211.91,211.91,OK
QPOWER.NS,284,2025-02-24,2026-04-22,Sufficient,0.8501,0.3311,0.5946,2.6735,1.0599,-0.0255,211.37,211.37,OK
PFOCUS.NS,495,2024-04-22,2026-04-22,Sufficient,0.414,0.9385,0.9329,2.593,1.0585,-0.0255,211.23,211.23,OK
MAHASTEEL.NS,495,2024-04-22,2026-04-22,Sufficient,0.115,0.6075,1.482,2.9056,1.045,-0.0255,209.84,209.84,OK
ZKHANDEN.BO,313,2024-12-30,2026-04-21,Sufficient,0.421,1.5492,1.5817,1.2442,1.0434,-0.0255,209.68,209.68,OK
ZELIO.BO,130,2025-10-08,2026-04-22,Short: 130d,0.2887,1.1997,1.6725,1.6725,1.0244,-0.0255,207.73,207.73,OK
WAAREEINDO.NS,130,2025-06-19,2026-04-22,Short: 130d,0.0497,1.3176,1.8168,1.8168,1.0101,-0.0255,206.26,206.26,OK
BHAGYANGR.NS,496,2024-04-22,2026-04-22,Sufficient,0.3068,1.1476,1.3588,1.9278,1.0095,-0.0255,206.2,206.2,OK
BRAHMINFRA.BO,324,2024-12-30,2026-04-22,Sufficient,0.2374,0.6895,1.3443,2.514,1.0045,-0.0255,205.68,205.68,OK
HIIL.BO,488,2024-04-22,2026-04-22,Sufficient,0.8975,1.0188,1.0205,1.073,0.9815,-0.0255,203.32,203.32,OK
ATHERENERG.NS,240,2025-05-06,2026-04-22,Short: 240d,0.4634,0.3151,1.6644,1.9954,0.9803,-0.0255,203.21,203.21,OK
SKM.BO,117,2025-10-17,2026-04-22,Short: 117d,1.1261,0.8719,0.8719,0.8719,0.9736,-0.0255,202.51,202.51,OK
BAJAJCON.NS,496,2024-04-22,2026-04-22,Sufficient,0.6726,0.7711,0.9777,1.7349,0.9658,-0.0255,201.71,201.71,OK
ROSSTECH.NS,337,2024-12-09,2026-04-22,Sufficient,0.5159,0.4187,0.9595,2.3004,0.9421,-0.0255,199.28,199.28,OK
APEX.NS,496,2024-04-22,2026-04-22,Sufficient,0.6989,1.0735,0.9297,1.1969,0.9196,-0.0255,196.97,196.97,OK
GVTD.BO,492,2024-04-22,2026-04-22,Sufficient,0.6177,0.4486,0.8449,2.0531,0.9164,-0.0255,196.64,196.64,OK
GKL.BO,494,2024-04-22,2026-04-22,Sufficient,-0.0373,1.0044,1.2093,2.4192,0.9117,-0.0255,196.16,196.16,OK
NATIONALUM.NS,496,2024-04-22,2026-04-22,Sufficient,0.2056,0.9218,1.3186,1.8829,0.9069,-0.0255,195.67,195.67,OK
UNIVPHOTO.NS,495,2024-04-22,2026-04-22,Sufficient,1.1127,0.5701,0.5089,1.2057,0.902,-0.0255,195.17,195.17,OK
SAFFRON.BO,303,2024-12-30,2026-04-22,Sufficient,0.0705,-0.3578,0.7424,3.9845,0.902,-0.0255,195.17,195.17,OK
POWERINDIA.NS,496,2024-04-22,2026-04-22,Sufficient,0.8709,0.7138,0.6344,1.3895,0.8959,-0.0255,194.54,194.54,OK
AVANTIFEED.NS,495,2024-04-22,2026-04-22,Sufficient,0.7903,1.1867,1.0116,0.6942,0.8946,-0.0255,194.41,194.41,OK
INLCM.BO,282,2024-12-30,2026-04-22,Sufficient,-0.2183,-0.3916,0.4458,4.8481,0.8931,-0.0255,194.26,194.26,OK
FREDUN.BO,324,2024-12-30,2026-04-22,Sufficient,0.3942,0.4276,1.1604,2.0786,0.891,-0.0255,194.04,194.04,OK
TDPOWERSYS.NS,496,2024-04-22,2026-04-22,Sufficient,0.5909,0.6675,1.1445,1.4265,0.8841,-0.0255,193.33,193.33,OK
TRUSTEDGE.BO,320,2024-12-30,2026-04-22,Sufficient,0.4769,0.7007,1.0897,1.6761,0.8841,-0.0255,193.33,193.33,OK
CITURGIA.BO,46,2026-02-10,2026-04-22,Short: 46d,0.8817,0.8817,0.8817,0.8817,0.8817,-0.0255,193.08,193.08,OK
GVT&D.NS,496,2024-04-22,2026-04-22,Sufficient,0.6173,0.4529,0.8157,1.9007,0.8808,-0.0255,192.99,192.99,OK
AHLWEST.NS,12,2026-04-06,2026-04-22,Short: 12d,0.8766,0.8766,0.8766,0.8766,0.8766,-0.0255,192.56,192.56,OK
ECOBOAR.BO,282,2024-12-30,2026-04-22,Sufficient,0.384,0.9635,1.2771,1.3706,0.8758,-0.0255,192.48,192.48,OK
