Ticker,Days,Start_Date,End_Date,Sufficient,3M_Return,6M_Return,9M_Return,12M_Return,Strength_Stock,Strength_Ref,RS,Recomputed_RS,Match
ISERA.BO,494,2024-09-09,2026-09-03,Sufficient,0.4982,2.6467,11.7458,32.0046,9.4787,0.0182,700.0,700.0,OK
ARIHANT.NS,104,2026-04-13,2026-09-08,Short: 104d,0.0415,22.1917,22.1917,22.1917,13.3316,0.0182,700.0,700.0,OK
MRUTR.BO,497,2024-09-09,2026-09-08,Sufficient,1.4155,6.8186,24.5637,178.8276,42.6082,0.0182,700.0,700.0,OK
SALSAIN.BO,497,2024-09-09,2026-09-08,Sufficient,0.479,0.1238,8.5794,24.3086,6.794,0.0182,700.0,700.0,OK
JTLDEFENCE.BO,498,2024-09-09,2026-09-08,Sufficient,1.1927,12.5311,12.5311,12.5909,8.0077,0.0182,700.0,700.0,OK
MODMA.BO,497,2024-09-09,2026-09-08,Sufficient,-0.4155,2.4058,9.3223,21.9263,6.5647,0.0182,700.0,700.0,OK
SAMTELIN.BO,264,2025-08-18,2026-09-08,Sufficient,-0.2549,1.5106,19.6032,19.6032,8.0414,0.0182,700.0,700.0,OK
SOURCEIND.BO,498,2024-09-09,2026-09-08,Sufficient,1.8408,9.1089,10.122,11.2129,6.8251,0.0182,700.0,700.0,OK
AXISOL.BO,498,2024-09-09,2026-09-08,Sufficient,0.7206,2.2315,6.7575,21.6358,6.4132,0.0182,700.0,700.0,OK
APOLLOIN.BO,497,2024-09-09,2026-09-08,Sufficient,0.1239,5.1755,10.0174,13.7392,5.836,0.0182,671.38,671.38,OK
SESHACHAL.BO,497,2024-09-09,2026-09-04,Sufficient,-0.2864,-0.367,2.4864,26.8912,5.6876,0.0182,656.81,656.81,OK
TANDHANIN.BO,497,2024-09-09,2026-09-08,Sufficient,0.1879,2.901,9.8315,13.48,5.3177,0.0182,620.48,620.48,OK
MAXGROW.BO,497,2024-09-09,2026-09-08,Sufficient,2.991,2.153,4.1343,13.2281,5.0995,0.0182,599.05,599.05,OK
VINRKLB.BO,497,2024-09-09,2026-09-08,Sufficient,0.4068,0.9096,11.4422,11.4422,4.9215,0.0182,581.57,581.57,OK
HARCR.BO,498,2024-09-09,2026-09-08,Sufficient,2.8145,3.4082,3.8498,8.5,4.2774,0.0182,518.31,518.31,OK
LIPPISYS.BO,496,2024-09-09,2026-09-08,Sufficient,0.7448,3.0453,7.7226,8.246,4.1007,0.0182,500.96,500.96,OK
PANKAJPO.BO,496,2024-09-09,2026-09-08,Sufficient,1.5895,1.6137,6.9985,8.5324,4.0647,0.0182,497.42,497.42,OK
NEWMKTAVE.BO,496,2024-09-09,2026-09-03,Sufficient,1.1078,3.7722,6.3681,6.3681,3.7448,0.0182,466.01,466.01,OK
STLTECH.NS,499,2024-09-09,2026-09-08,Sufficient,0.4162,3.7331,7.3337,6.6838,3.7166,0.0182,463.23,463.23,OK
