Metric,08/05/2026,08/06/2026,08/07/2026,08/10/2026,08/11/2026,08/12/2026,08/13/2026,08/14/2026,08/17/2026,08/18/2026,08/19/2026,08/20/2026,08/21/2026,08/24/2026,08/25/2026,08/26/2026,08/27/2026,08/31/2026,09/01/2026,09/02/2026,09/03/2026,09/04/2026
Total Stocks,3451.0,3635.0,3636.0,3637.0,3638.0,3639.0,3640.0,3640.0,3640.0,3640.0,3634.0,3467.0,3474.0,3633.0,3632.0,3646.0,3645.0,3646.0,3033.0,3676.0,3678.0,3680.0
UP 4.5% Today,301.0,269.0,264.0,320.0,292.0,296.0,302.0,325.0,318.0,283.0,261.0,300.0,262.0,295.0,347.0,307.0,356.0,353.0,186.0,236.0,331.0,342.0
Down 4.5% Today,176.0,168.0,214.0,233.0,228.0,286.0,239.0,316.0,276.0,216.0,179.0,160.0,137.0,196.0,278.0,159.0,253.0,267.0,170.0,180.0,150.0,149.0
Net 4.5% Today,125.0,101.0,50.0,87.0,64.0,10.0,63.0,9.0,42.0,67.0,82.0,140.0,125.0,99.0,69.0,148.0,103.0,86.0,16.0,56.0,181.0,193.0
UP 4.5% Today %,8.72,7.4,7.26,8.8,8.03,8.13,8.3,8.93,8.74,7.77,7.18,8.65,7.54,8.12,9.55,8.42,9.77,9.68,6.13,6.42,9.0,9.29
Down 4.5% Today %,5.1,4.62,5.89,6.41,6.27,7.86,6.57,8.68,7.58,5.93,4.93,4.61,3.94,5.39,7.65,4.36,6.94,7.32,5.61,4.9,4.08,4.05
UP 20% in 5Days,69.0,79.0,71.0,69.0,63.0,64.0,71.0,72.0,78.0,69.0,65.0,70.0,61.0,56.0,54.0,58.0,57.0,81.0,76.0,81.0,70.0,81.0
Down 20% in 5Days,18.0,19.0,20.0,18.0,16.0,18.0,26.0,27.0,34.0,27.0,22.0,19.0,19.0,16.0,21.0,25.0,22.0,30.0,24.0,26.0,24.0,21.0
UP 20% in 5Days %,2.0,2.17,1.95,1.9,1.73,1.76,1.95,1.98,2.14,1.9,1.79,2.02,1.76,1.54,1.49,1.59,1.56,2.22,2.51,2.2,1.9,2.2
Down 20% in 5Days %,0.52,0.52,0.55,0.49,0.44,0.49,0.71,0.74,0.93,0.74,0.61,0.55,0.55,0.44,0.58,0.69,0.6,0.82,0.79,0.71,0.65,0.57
Above 20SMA,1873.0,2000.0,1937.0,1896.0,1862.0,1805.0,1783.0,1699.0,1665.0,1651.0,1590.0,1609.0,1616.0,1583.0,1573.0,1624.0,1551.0,1555.0,1185.0,1420.0,1527.0,1620.0
Below 20SMA,1555.0,1609.0,1673.0,1715.0,1748.0,1810.0,1801.0,1857.0,1948.0,1967.0,2022.0,1830.0,1816.0,1852.0,1861.0,1812.0,1886.0,1885.0,1667.0,2042.0,1935.0,1843.0
Above 20SMA %,54.27,55.02,53.27,52.13,51.18,49.6,48.98,46.68,45.74,45.36,43.75,46.41,46.52,43.57,43.31,44.54,42.55,42.65,39.07,38.63,41.52,44.02
Below 20SMA %,45.06,44.26,46.01,47.15,48.05,49.74,49.48,51.02,53.52,54.04,55.64,52.78,52.27,50.98,51.24,49.7,51.74,51.7,54.96,55.55,52.61,50.08
Above 50SMA,1900.0,1987.0,1955.0,1918.0,1889.0,1827.0,1810.0,1774.0,1739.0,1712.0,1664.0,1650.0,1663.0,1631.0,1614.0,1636.0,1604.0,1622.0,1295.0,1547.0,1611.0,1669.0
Below 50SMA,1496.0,1588.0,1624.0,1659.0,1694.0,1755.0,1745.0,1748.0,1842.0,1845.0,1903.0,1752.0,1737.0,1775.0,1786.0,1770.0,1800.0,1785.0,1529.0,1878.0,1813.0,1757.0
