Symbol,Description,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Sector,Industry,"High, 52 weeks","High, 52 weeks - Currency","Low, 52 weeks","Low, 52 weeks - Currency",Exchange,Free float %,"Performance %, Year to date"
PRABHAPP,Prabha Energy Limited TEMP,100,INR,88.46588767433093,900,0.6183017312448476,Energy minerals,Oil & gas production,100,INR,51.61,INR,BSE,12.5229,74.94751574527642
SODHACAP,Sodhani Capital Ltd.,64.8,INR,19.999999999999996,56000,8.484848484848484,Finance,Investment banks/Brokers,148.97,INR,48.1,INR,BSE,,-21.167883211678838
SHRADHA,Shradha Realty Ltd,35.54,INR,19.986495611073593,594430,28.06218311255458,Industrial services,Engineering & construction,62.6195008,INR,26.34,INR,NSE,22.110299999999995,-6.719160104986883
ANJANIFOODS,Anjani Foods Limited,25.88,INR,19.98145572554473,151483,23.332717218859262,Consumer non-durables,Food: specialty/candy,29.8,INR,13,INR,BSE,56.811299999999996,10.12765957446808
SAJHOTELS,Saj Hotels Limited,32.6,INR,19.633027522935784,130000,0.6448412698412699,Consumer services,Hotels/Resorts/Cruise lines,80.25,INR,24.8,INR,NSE,,-43.793103448275865
LANDMARK,Landmark Cars Ltd.,504.55,INR,18.550281954887215,592782,197.4163253072235,Retail trade,Specialty stores,674.7,INR,340.15,INR,BSE,43.9527,6.760473973762164
DAVIN,Davin Sons Retail Limited,32.99,INR,17.82142857142858,12000,2.0689655172413794,Consumer non-durables,Apparel/Footwear,61.09,INR,19.21,INR,BSE,,-19.536585365853654
CEENIK,Ceenik Exports (India) Limited,189.45,INR,17.670807453416142,5281,4.67262431428066,Consumer non-durables,Apparel/Footwear,485.1,INR,133.15,INR,BSE,99.51520000000002,-42.57350712337072
LANDMARK,Landmark Cars Ltd.,496.4,INR,17.37999527074959,9852212,82.58412678720963,Retail trade,Specialty stores,662.8,INR,339.5,INR,NSE,43.9527,4.318587790270033
JUSTDIAL,Just Dial Ltd.,790.15,INR,16.7393070842875,42569366,24.695870495409324,Technology services,Internet software/Services,954,INR,480.5,INR,NSE,25.8566,9.348187102131186
JUSTDIAL,Just Dial Ltd.,790.35,INR,16.656826568265686,3444107,32.29491164652986,Technology services,Internet software/Services,955.1,INR,486.05,INR,BSE,25.8566,8.893634610085433
AUSTENG,Austin Engineering Co. Ltd.,174.9,INR,16.600000000000005,27190,3.093287827076224,Producer manufacturing,Metal fabrication,206.5,INR,91.8,INR,BSE,,23.212398731947882
BALPHARMA,Bal Pharma Limited,91.75,INR,16.360177552314532,20880,11.838748086409254,Health technology,Pharmaceuticals: major,112.97,INR,59.69,INR,BSE,,27.236166967133546
TBZ,Tribhovandas Bhimji Zaveri Limited,259.97,INR,15.485762516103243,17278323,5.670416035287588,Consumer durables,Other consumer specialties,264.95,INR,110.5,INR,NSE,21.9602,57.5384801842201
ROCKPP.E1,RockingDeals Circular Economy Limited TEMP,60,INR,15.384615384615385,2000,0.28169014084507044,Distribution services,Wholesale distributors,101.75,INR,51,INR,NSE,,-30.151338766006987
TBZ,Tribhovandas Bhimji Zaveri Limited,260.4,INR,15.272244355909681,700560,4.533063292449747,Consumer durables,Other consumer specialties,264.5,INR,110.95,INR,BSE,21.9602,59.70561177552895
BALPHARMA,Bal Pharma Limited,91.02,INR,14.967790829859787,543763,26.964880787082954,Health technology,Pharmaceuticals: major,103.9,INR,60,INR,NSE,,27.300699300699293
ANUBHAV,Anubhav Plast Ltd.,56,INR,14.285714285714285,123200,5.099337748344371,Non-energy minerals,Steel,80,INR,46.01,INR,BSE,,-30
GTIL,Gabion Technologies India Limited,88.5,INR,13.461538461538462,300800,9.170731707317072,Producer manufacturing,Metal fabrication,97.5,INR,43.52,INR,BSE,,-0.5617977528089888
SRGHFL,SRG Housing Finance Ltd.,316.05,INR,12.413302507558257,93,1.8235294117647058,Finance,Finance/Rental/Leasing,347.05,INR,222.35,INR,BSE,99.7861,-4.372163388804838
STML,Steelman Telecom Ltd.,72.95,INR,12.230769230769235,1200,0.4166666666666667,Communications,Specialty telecommunications,138,INR,49,INR,BSE,,-24.286455630513743
NURECA,Nureca Ltd.,275.07,INR,12.012868021338113,504015,36.908493094509296,Health technology,Medical specialties,343,INR,204,INR,NSE,31.2716,-12.952531645569623
WANBURY,Wanbury Limited,336,INR,11.832251622566154,7640235,36.68059910442559,Health technology,Pharmaceuticals: major,349.95,INR,161.5,INR,NSE,49.501999999999995,49.16759156492786
WANBURY,Wanbury Limited,336.1,INR,11.753948462177895,313851,20.737317140856042,Health technology,Pharmaceuticals: major,350.55,INR,162,INR,BSE,49.501999999999995,46.768558951965076
VRAJ,Vraj Iron & Steel Ltd.,133.26,INR,11.468005018820572,607292,30.79480340354756,Non-energy minerals,Steel,173.64,INR,93,INR,NSE,,-0.32909498878085097
KIAASA,Kiaasa Retail Limited,37.22,INR,11.437125748502995,66000,1.3253012048192772,Retail trade,Apparel/Footwear retail,123,INR,30.55,INR,BSE,40.9387,-69.73983739837398
NATPLASTI,National Plastic Technologies Ltd.,230.95,INR,11.354869816779162,7722,6.749410016606941,Process industries,Chemicals: specialty,334,INR,190,INR,BSE,,-17.811387900355875
NURECA,Nureca Ltd.,273,INR,10.975609756097562,57795,33.29205069124424,Health technology,Medical specialties,343.6,INR,200.1,INR,BSE,31.2716,-15.479876160990711
VRAJ,Vraj Iron & Steel Ltd.,133,INR,10.925771476230187,38386,27.773677736778186,Non-energy minerals,Steel,173.9,INR,93.05,INR,BSE,,-0.8572493477450657
SSL,Share Samadhan Limited,36.5,INR,10.606060606060606,14400,3.6,Commercial services,Miscellaneous commercial services,75,INR,29.35,INR,BSE,,-30.476190476190474
TECHKGREEN,Techknowgreen Solutions Limited,136.9,INR,10.49233252623083,28400,7.977528089887641,Commercial services,Miscellaneous commercial services,197.85,INR,95.5,INR,BSE,,31.63461538461539
BNALTD,B & A Limited,374.95,INR,10.279411764705879,186,1.6258741258741258,Process industries,Agricultural commodities/Milling,465,INR,310.4,INR,NSE,,-14.589977220956722
CURAA,Cura Technologies Limited,79.86,INR,10.000000000000007,506,3.6907366885485047,Technology services,Information technology services,343.2,INR,72.3,INR,BSE,,-36.94433478089223
JITFINFRA,JITF Infralogistics Ltd.,392.7,INR,9.999999999999996,43920,16.029782108836088,Transportation,Trucking,480,INR,223.85,INR,BSE,36.9747,48.69367663763724
JITFINFRA,JITF Infralogistics Ltd.,393.35,INR,9.997203579418343,460302,15.509297788679577,Transportation,Trucking,478,INR,222.35,INR,NSE,36.9747,41.56919201007738
WEPSOLN,WeP Solutions Limited,30.26,INR,9.996364958197018,300035,19.360968967987148,Electronic technology,Computer peripherals,30.26,INR,17.65,INR,BSE,,32.024432809773124
SHARDUL,Shardul Securities Limited,44.35,INR,9.995039682539685,13218,2.813657456681851,Finance,Investment banks/Brokers,44.35,INR,23.05,INR,NSE,25.160099999999996,50.33898305084747
KAHAN,Kahan Packaging Ltd.,69.69,INR,9.990530303030301,36800,14.375,Consumer durables,Home furnishings,69.69,INR,37.5,INR,BSE,,30.26168224299065
SHARDUL,Shardul Securities Limited,44.5,INR,9.985170538803754,18531,4.507881677532354,Finance,Investment banks/Brokers,58.7,INR,20.14,INR,BSE,25.160099999999996,27.142857142857142
FINOPB,FINO Payments Bank Ltd.,177,INR,9.937888198757763,2442325,17.328815574843496,Finance,Regional banks,339,INR,110.1,INR,BSE,25.002200000000002,-32.274727377080545
SSWRL,Shree Steel Wire Ropes Limited,35.6,INR,9.876543209876552,46392,4.7214956695197285,Non-energy minerals,Steel,35.6,INR,16.6,INR,BSE,,42.97188755020081
DIKSHA,Diksha Polymers Limited,120.5,INR,9.545454545454547,38400,1.5311004784688995,Producer manufacturing,Miscellaneous manufacturing,123.35,INR,108,INR,BSE,,5.240174672489083
SIMANDHAR,Simandhar Impex Limited,142.1,INR,9.433962264150944,2668,7.315601864546203,Distribution services,Wholesale distributors,180.95,INR,21.5,INR,BSE,,350.39619651347067
FINOPB,FINO Payments Bank Ltd.,176.4,INR,9.341102088886128,50668801,15.772777782637387,Finance,Regional banks,339,INR,110.03,INR,NSE,25.002200000000002,-32.284069097888676
WORTHPERI,Worth Peripherals Ltd.,143.8,INR,9.229016331181166,4169,3.8392117137857995,Process industries,Containers/Packaging,201.6,INR,103.2,INR,BSE,27.030000000000005,4.429920116194643
PSTITANIA,Property Share Investment Trust,1190000,INR,9.174311926605505,1,0.4347826086956522,Miscellaneous,Investment trusts,1190000,INR,1045000,INR,BSE,,12.158341187558907
VIDHIING,Vidhi Specialty Food Ingredients Ltd,326,INR,9.121338912133892,5980,1.1092767441429077,Consumer non-durables,Food: specialty/candy,432,INR,258.75,INR,BSE,32.281299999999995,-5.218781799680183
SKYIND,Sky Industries Limited,102,INR,9.102577815809184,19345,3.9086335441375546,Process industries,Textiles,123,INR,63.06,INR,BSE,,12.595209184236666
ARIGATO,Arigato Universe Limited,50.87,INR,9.046087888531616,10,0.04317789291882556,Technology services,Information technology services,67.99,INR,32.45,INR,BSE,,-0.5668491008600453
ALPHAIND,Alphalogic Industries Limited,151,INR,9.025270758122744,1800,0.6521739130434783,Producer manufacturing,Metal fabrication,187,INR,91.1,INR,BSE,,20.8
SATTRIX,Sattrix Information Security Limited,423.9,INR,8.76202694034637,31500,4.375,Technology services,Information technology services,451,INR,157.05,INR,BSE,26.471,76.62499999999999
CAMEXLTD,Camex Limited,42,INR,8.751941998964273,9416,4.076896432282647,Process industries,Textiles,50.39,INR,26.37,INR,BSE,,23.56575463371579
VALPLAST,Valplast Technologies Ltd.,43.5,INR,8.75,12000,0.6451612903225806,Industrial services,Engineering & construction,67.99,INR,30.8,INR,BSE,30.232799999999997,-22.321428571428573
HGS,Hinduja Global Solutions Limited,453.4,INR,8.729016786570739,75716,104.53679414607208,Commercial services,Miscellaneous commercial services,628.8,INR,341.6,INR,BSE,23.2085,0.8227707360462505
