Symbol,Description,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Sector,Industry,"High, 52 weeks","High, 52 weeks - Currency","Low, 52 weeks","Low, 52 weeks - Currency",Exchange,Free float %,"Performance %, Year to date"
SHETR,Shetron Limited,133.92,INR,19.999999999999996,111562,25.99058801602833,Process industries,Containers/Packaging,162.9,INR,83.8,INR,BSE,,7.696019300361876
SUPREMEPWR,Supreme Power Equipment Ltd.,230.9,INR,19.979215380618353,318000,4.565685570710697,Producer manufacturing,Electrical products,291.35,INR,130.55,INR,NSE,,21.494343593791104
NKIND,N.K. Industries Ltd.,64.33,INR,18.86548410938655,10,0.055991041433370664,Process industries,Agricultural commodities/Milling,88.89,INR,50.3,INR,BSE,,-7.981690745243882
PRABHA,Prabha Energy Limited,192.2,INR,17.63985799975517,5359104,102.66109087983395,Energy minerals,Oil & gas production,264.91739598,INR,137.91,INR,NSE,12.5229,4.526081954976619
KOURA,Koura Fine Diamond Jewelry Limited,47.58,INR,17.481481481481477,42000,3.088235294117647,Consumer durables,Other consumer specialties,49.1,INR,30.05,INR,BSE,,57.549668874172184
SHREESHAY,Shreeshay Engineers Ltd.,29.9,INR,17.25490196078431,2000,0.18518518518518517,Industrial services,Engineering & construction,39.05,INR,20.25,INR,BSE,,14.999999999999996
PRABHA,Prabha Energy Limited,192.1,INR,17.13414634146341,218521,89.70116169286976,Energy minerals,Oil & gas production,265.54907723,INR,136.88046671,INR,BSE,12.5229,6.561131894317768
ACML,Aditya Consumer Marketing Ltd.,37.75,INR,16.764614908753487,4000,1.5384615384615385,Retail trade,Food retail,57.87,INR,29.5,INR,BSE,27.333800000000004,-1.948051948051948
BAZELINTER,Bazel International Ltd.,21.1,INR,15.997800989554701,81462,44.92472288093531,Finance,Finance/Rental/Leasing,45.405,INR,16.5,INR,BSE,,-33.00523892681378
E2ERAIL,E To E Transportation Infrastructure Limited,303.3,INR,15.719191148416629,643200,20.049875311720697,Industrial services,Engineering & construction,347.1,INR,171,INR,NSE,67.49,-8.25771324863884
SRSOLTD,Silicon Rental Solutions Ltd.,89.95,INR,15.320512820512825,4000,0.8928571428571429,Finance,Finance/Rental/Leasing,229,INR,57,INR,BSE,,-22.490305902628172
HINDADH,Hindustan Adhesives Limited,385.45,INR,14.871107137535382,246790,,Process industries,Industrial specialties,402.65,INR,361,INR,NSE,,14.871107137535384
